step,row,col
0,0,0
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,0,8
9,0,9
10,0,10
11,1,10
12,1,9
13,1,8
14,1,7
15,1,6
16,1,5
17,1,4
18,2,4
19,2,5
20,3,5
21,3,4
22,3,3
23,3,2
24,3,1
25,3,0
26,4,0
27,4,1
28,5,1
29,5,0
30,6,0
31,6,1
32,7,1
33,7,0
34,8,0
35,8,1
36,8,2
37,7,2
38,7,3
39,7,4
40,7,5
41,8,5
42,8,4
43,8,3
44,8,4
45,8,5
46,8,6
47,8,7
48,8,8
49,8,9
50,8,10
51,7,10
52,7,9
53,7,8
54,6,8
55,6,9
56,6,10
57,5,10
58,5,9
59,5,8
60,5,7
61,5,6
62,5,5
63,5,4
64,5,3
65,5,2
66,5,1
67,4,1
68,3,1
69,2,1
70,1,1
71,1,0
72,2,0
73,2,1
74,3,1
75,3,2
76,3,3
77,3,4
78,3,5
79,3,6
80,3,7
81,4,7
82,4,6
83,5,6
84,6,6
85,6,5
86,6,6
87,6,7
88,5,7
89,5,8
90,5,9
91,4,9
92,4,10
93,3,10
94,2,10
95,2,9
96,3,9
