step,row,col
0,0,0
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,0,8
9,0,9
10,1,9
11,1,8
12,1,7
13,1,6
14,1,5
15,1,4
16,1,3
17,1,2
18,1,1
19,1,0
20,2,0
21,2,0
22,2,1
23,2,2
24,2,3
25,2,4
26,2,5
27,2,6
28,2,7
29,2,8
30,2,9
31,3,9
32,3,8
33,3,7
34,3,6
35,3,5
36,3,4
37,3,3
38,3,2
39,3,1
40,3,0
41,4,0
42,4,0
43,4,1
44,4,2
45,4,3
46,4,4
47,4,5
48,4,6
49,4,7
50,4,8
51,4,9
52,5,9
53,5,8
54,5,7
55,5,6
56,5,5
57,5,4
58,5,3
59,5,2
60,5,1
61,5,0
62,6,0
63,6,0
64,6,1
65,6,2
66,6,3
67,6,4
68,6,5
69,6,6
70,6,7
71,6,8
72,6,9
73,7,9
74,7,8
75,7,7
76,7,6
77,7,5
78,7,4
79,7,3
80,7,2
81,7,1
82,7,0
