step,row,col
0,0,0
1,1,0
2,2,0
3,3,0
4,3,1
5,3,2
6,4,2
7,5,2
8,6,2
9,7,2
10,8,2
11,9,2
12,10,2
13,11,2
14,12,2
15,13,2
16,14,2
17,15,2
18,16,2
19,17,2
20,18,2
21,19,2
22,20,2
23,21,2
24,22,2
25,23,2
26,24,2
27,25,2
28,26,2
29,27,2
30,28,2
31,29,2
32,30,2
33,31,2
34,32,2
35,33,2
36,34,2
37,35,2
38,36,2
39,37,2
40,38,2
41,39,2
42,40,2
43,41,2
44,42,2
45,43,2
46,44,2
47,45,2
48,46,2
49,47,2
50,47,3
51,47,4
52,47,5
53,46,5
54,45,5
55,45,6
56,45,7
57,44,7
58,43,7
59,43,8
60,43,9
61,43,10
62,43,11
63,43,12
64,43,13
65,42,13
66,41,13
67,40,13
68,39,13
69,39,14
70,39,15
71,39,16
72,39,17
73,39,18
74,39,19
75,39,20
76,40,20
77,41,20
78,42,20
79,43,20
80,43,21
81,43,22
82,44,22
83,45,22
84,45,23
85,45,24
86,46,24
87,47,24
88,47,25
89,47,26
90,47,27
91,47,28
92,47,29
93,47,30
94,47,31
95,47,32
96,47,33
97,47,34
98,47,35
99,47,36
100,47,37
101,47,38
102,47,39
103,47,40
104,47,41
105,47,42
106,47,43
107,47,44
108,47,45
109,47,46
110,47,47
111,46,47
112,45,47
113,44,47
114,43,47
115,42,47
116,42,46
117,42,45
118,41,45
119,40,45
120,39,45
121,39,46
122,39,47
123,38,47
124,37,47
125,36,47
126,35,47
127,34,47
128,33,47
129,32,47
130,31,47
131,30,47
132,29,47
133,28,47
134,28,46
135,28,45
136,28,44
137,28,43
138,28,42
139,29,42
140,30,42
141,31,42
142,32,42
143,33,42
144,34,42
145,35,42
146,36,42
147,36,41
148,36,40
149,36,39
150,35,39
151,34,39
152,33,39
153,32,39
154,32,38
155,32,37
156,31,37
157,30,37
158,29,37
159,29,38
160,29,39
161,28,39
162,27,39
163,27,40
164,27,41
165,27,42
166,27,43
167,26,43
168,25,43
169,24,43
170,23,43
171,23,44
172,23,45
173,23,46
174,24,46
175,25,46
176,25,47
177,25,48
178,25,49
179,24,49
180,23,49
181,22,49
182,21,49
183,20,49
184,19,49
185,18,49
186,17,49
187,16,49
188,16,48
189,16,47
190,15,47
191,14,47
192,13,47
193,12,47
194,11,47
195,11,48
196,11,49
197,10,49
198,9,49
199,8,49
200,7,49
201,6,49
202,5,49
203,4,49
204,3,49
205,2,49
206,2,48
207,2,47
208,2,46
209,2,45
210,2,44
211,3,44
212,4,44
213,4,43
214,4,42
215,4,41
216,4,40
217,5,40
218,6,40
219,7,40
220,8,40
221,9,40
222,10,40
223,11,40
224,12,40
225,13,40
226,14,40
227,15,40
228,16,40
229,17,40
230,17,41
231,17,42
232,18,42
233,18,41
234,18,40
235,18,39
236,18,38
237,18,37
238,18,36
239,19,36
240,20,36
241,21,36
242,22,36
243,23,36
244,23,37
245,23,38
246,24,38
247,24,37
248,24,36
249,25,36
250,26,36
251,26,35
252,26,34
253,27,34
254,28,34
255,28,33
256,28,32
257,29,32
258,30,32
259,31,32
260,32,32
261,33,32
262,34,32
263,35,32
264,36,32
265,37,32
266,37,33
267,37,34
268,38,34
269,39,34
270,40,34
271,41,34
272,41,35
273,41,36
274,42,36
275,43,36
276,43,37
277,43,38
278,43,39
279,43,40
280,44,40
281,45,40
282,45,41
283,45,42
284,45,43
285,44,43
286,43,43
287,42,43
288,41,43
289,40,43
290,39,43
291,38,43
292,38,42
293,38,41
294,38,40
295,38,39
296,38,38
297,39,38
298,40,38
299,41,38
300,41,39
301,40,39
302,39,39
303,39,40
304,39,41
305,39,42
306,40,42
307,41,42
308,42,42
309,43,42
310,44,42
311,45,42
312,45,43
313,45,44
314,45,45
315,44,45
316,44,44
317,44,43
318,44,42
319,44,41
320,44,40
321,44,39
322,44,38
323,44,37
324,44,36
325,45,36
326,45,37
327,45,38
328,45,39
329,45,40
330,45,41
331,44,41
332,43,41
333,42,41
334,42,40
335,42,39
336,42,38
337,42,37
338,42,36
339,42,35
340,42,34
341,42,33
342,42,32
343,42,31
344,41,31
345,40,31
346,39,31
347,38,31
348,38,30
349,38,29
350,37,29
351,36,29
352,35,29
353,34,29
354,33,29
355,32,29
356,31,29
357,30,29
358,29,29
359,28,29
360,28,28
361,28,27
362,27,27
363,26,27
364,25,27
365,25,28
366,25,29
367,24,29
368,23,29
369,23,30
370,23,31
371,23,32
372,23,33
373,22,33
374,21,33
375,20,33
376,19,33
377,18,33
378,17,33
379,16,33
380,16,32
381,16,31
382,15,31
383,14,31
384,13,31
385,13,32
386,13,33
387,12,33
388,11,33
389,11,34
390,11,35
391,11,36
392,12,36
393,13,36
394,14,36
395,15,36
396,16,36
397,17,36
398,17,37
399,17,38
400,17,39
401,16,39
402,15,39
403,14,39
404,13,39
405,12,39
406,11,39
407,10,39
408,10,38
409,11,38
410,12,38
411,13,38
412,14,38
413,15,38
414,16,38
415,16,37
416,16,36
417,16,35
418,16,34
419,17,34
420,18,34
421,19,34
422,20,34
423,21,34
424,22,34
425,23,34
426,23,35
427,22,35
428,21,35
429,20,35
430,19,35
431,18,35
432,17,35
433,17,36
434,17,37
435,16,37
436,15,37
437,14,37
438,13,37
439,12,37
440,12,36
441,12,35
442,12,34
443,13,34
444,13,35
445,13,36
446,13,37
447,12,37
448,11,37
449,10,37
450,9,37
451,8,37
452,7,37
453,6,37
454,5,37
455,4,37
456,3,37
457,2,37
458,2,36
459,2,35
460,2,34
461,2,33
462,2,32
463,3,32
464,4,32
465,5,32
466,6,32
467,6,31
468,6,30
469,7,30
470,8,30
471,8,29
472,8,28
473,9,28
474,10,28
475,10,27
476,10,26
477,11,26
478,12,26
479,13,26
480,14,26
481,14,25
482,14,24
483,15,24
484,16,24
485,16,23
486,16,22
487,17,22
488,18,22
489,19,22
490,20,22
491,21,22
492,22,22
493,23,22
494,24,22
495,25,22
496,26,22
497,26,21
498,26,20
499,27,20
500,28,20
501,28,19
502,28,18
503,29,18
504,30,18
505,31,18
506,32,18
507,33,18
508,34,18
509,35,18
510,35,19
511,35,20
512,35,21
513,35,22
514,36,22
515,37,22
516,37,23
517,37,24
518,38,24
519,39,24
520,40,24
521,41,24
522,42,24
523,43,24
524,43,25
525,43,26
526,43,27
527,43,28
528,43,29
529,42,29
530,41,29
531,40,29
532,40,28
533,41,28
534,42,28
535,42,27
536,42,26
537,43,26
538,44,26
539,45,26
540,45,27
541,44,27
542,43,27
543,42,27
544,42,26
545,42,25
546,41,25
547,40,25
548,40,24
549,40,23
550,39,23
551,38,23
552,38,22
553,39,22
554,40,22
555,41,22
556,41,23
557,41,24
558,41,25
559,40,25
560,39,25
561,39,26
562,39,27
563,38,27
564,37,27
565,36,27
566,36,26
567,37,26
568,38,26
569,38,25
570,37,25
571,36,25
572,35,25
573,34,25
574,33,25
575,32,25
576,31,25
577,30,25
578,29,25
579,28,25
580,27,25
581,26,25
582,25,25
583,24,25
584,23,25
585,22,25
586,21,25
587,21,26
588,21,27
589,21,28
590,21,29
591,20,29
592,19,29
593,18,29
594,17,29
595,16,29
596,15,29
597,14,29
598,13,29
599,12,29
600,12,28
601,13,28
602,14,28
603,15,28
604,16,28
605,16,27
606,16,26
607,17,26
608,17,27
609,17,28
610,18,28
611,19,28
612,19,29
613,19,30
614,20,30
615,21,30
616,21,31
617,20,31
618,19,31
619,18,31
620,18,30
621,18,29
622,18,28
623,19,28
624,20,28
625,20,27
626,20,26
627,21,26
628,22,26
629,23,26
630,23,27
631,22,27
632,21,27
633,20,27
634,20,26
635,20,25
636,19,25
637,18,25
638,18,24
639,19,24
