step,row,col
0,0,0
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,8,0
9,9,0
10,10,0
11,11,0
12,12,0
13,13,0
14,14,0
15,15,0
16,16,0
17,17,0
18,18,0
19,19,0
20,20,0
21,21,0
22,22,0
23,23,0
24,24,0
25,25,0
26,26,0
27,27,0
28,28,0
29,29,0
30,30,0
31,31,0
32,32,0
33,33,0
34,34,0
35,35,0
36,36,0
37,37,0
38,38,0
39,39,0
40,40,0
41,41,0
42,42,0
43,43,0
44,44,0
45,45,0
46,46,0
47,47,0
48,48,0
49,49,0
50,49,1
51,49,2
52,49,3
53,49,4
54,49,5
55,49,6
56,49,7
57,49,8
58,49,9
59,49,10
60,49,11
61,49,12
62,49,13
63,49,14
64,49,15
65,49,16
66,49,17
67,49,18
68,49,19
69,49,20
70,49,21
71,49,22
72,49,23
73,49,24
74,49,25
75,49,26
76,49,27
77,49,28
78,49,29
79,49,30
80,49,31
81,49,32
82,49,33
83,49,34
84,49,35
85,49,36
86,49,37
87,49,38
88,49,39
89,49,40
90,49,41
91,49,42
92,49,43
93,49,44
94,49,45
95,49,46
96,49,47
97,49,48
98,49,49
99,48,49
100,47,49
101,46,49
102,45,49
103,44,49
104,43,49
105,42,49
106,42,48
107,42,47
108,42,46
109,43,46
110,44,46
111,45,46
112,46,46
113,46,45
114,45,45
115,44,45
116,43,45
117,42,45
118,41,45
119,41,46
120,41,47
121,40,47
122,39,47
123,39,48
124,39,49
125,38,49
126,37,49
127,36,49
128,35,49
129,34,49
130,33,49
131,32,49
132,31,49
133,30,49
134,29,49
135,28,49
136,28,48
137,28,47
138,28,46
139,29,46
140,30,46
141,31,46
142,32,46
143,33,46
144,34,46
145,35,46
146,36,46
147,36,45
148,36,44
149,37,44
150,38,44
151,38,43
152,38,42
153,39,42
154,40,42
155,41,42
156,42,42
157,43,42
158,44,42
159,45,42
160,46,42
161,46,41
162,45,41
163,44,41
164,43,41
165,42,41
166,42,40
167,42,39
168,42,38
169,43,38
170,44,38
171,45,38
172,46,38
173,46,37
174,45,37
175,44,37
176,43,37
177,42,37
178,41,37
179,41,38
180,41,39
181,40,39
182,39,39
183,39,40
184,39,41
185,38,41
186,37,41
187,37,42
188,37,43
189,36,43
190,35,43
191,35,44
192,35,45
193,34,45
194,33,45
195,32,45
196,31,45
197,30,45
198,29,45
199,28,45
200,28,44
201,28,43
202,28,42
203,29,42
204,30,42
205,31,42
206,32,42
207,32,41
208,32,40
209,33,40
210,34,40
211,34,39
212,34,38
213,35,38
214,36,38
215,36,37
216,35,37
217,34,37
218,33,37
219,33,38
220,33,39
221,32,39
222,31,39
223,30,39
224,29,39
225,29,40
226,29,41
227,28,41
228,27,41
229,27,42
230,27,43
231,26,43
232,25,43
233,25,44
234,25,45
235,25,46
236,26,46
237,27,46
238,27,47
239,26,47
240,25,47
241,25,48
242,25,49
243,24,49
244,23,49
245,22,49
246,21,49
247,20,49
248,19,49
249,18,49
250,17,49
251,16,49
252,15,49
253,14,49
254,13,49
255,12,49
256,11,49
257,10,49
258,9,49
259,8,49
260,7,49
261,6,49
262,5,49
263,4,49
264,3,49
265,2,49
266,1,49
267,0,49
268,0,48
269,0,47
270,0,46
271,1,46
272,2,46
273,3,46
274,4,46
275,4,45
276,4,44
277,5,44
278,6,44
279,7,44
280,8,44
281,9,44
282,9,45
283,9,46
284,10,46
285,11,46
286,12,46
287,13,46
288,14,46
289,15,46
290,16,46
291,17,46
292,18,46
293,19,46
294,20,46
295,21,46
296,22,46
297,22,45
298,21,45
299,20,45
300,20,44
301,20,43
302,20,42
303,21,42
304,22,42
305,22,41
306,22,40
307,22,39
308,22,38
309,23,38
310,24,38
311,25,38
312,26,38
313,26,37
314,26,36
315,27,36
316,28,36
317,29,36
318,30,36
319,30,35
320,30,34
321,31,34
322,32,34
323,33,34
324,34,34
325,35,34
326,36,34
327,37,34
328,38,34
329,39,34
330,40,34
331,41,34
332,42,34
333,42,33
334,42,32
335,42,31
336,42,30
337,43,30
338,44,30
339,45,30
340,46,30
341,47,30
342,47,31
343,47,32
344,47,33
345,47,34
346,47,35
347,46,35
348,46,34
349,46,33
350,46,32
351,46,31
352,46,30
353,46,29
354,46,28
355,46,27
356,45,27
357,44,27
358,43,27
359,43,28
360,43,29
361,42,29
362,41,29
363,41,30
364,41,31
365,40,31
366,39,31
367,39,32
368,39,33
369,38,33
370,37,33
371,36,33
372,35,33
373,34,33
374,33,33
375,32,33
376,31,33
377,30,33
378,29,33
379,29,34
380,29,35
381,28,35
382,27,35
383,26,35
384,26,34
385,26,33
386,25,33
387,24,33
388,23,33
389,23,34
390,23,35
391,23,36
392,24,36
393,25,36
394,25,37
395,24,37
396,23,37
397,22,37
398,21,37
399,21,38
400,21,39
401,20,39
402,19,39
403,19,40
404,19,41
405,19,42
406,19,43
407,18,43
408,17,43
409,17,44
410,17,45
411,16,45
412,16,44
413,16,43
414,15,43
415,14,43
416,13,43
417,12,43
418,11,43
419,10,43
420,9,43
421,8,43
422,8,42
423,8,41
424,8,40
425,9,40
426,10,40
427,11,40
428,12,40
429,13,40
430,14,40
431,15,40
432,16,40
433,16,39
434,15,39
435,14,39
436,13,39
437,12,39
438,11,39
439,10,39
440,10,38
441,10,37
442,10,36
443,11,36
444,12,36
445,13,36
446,14,36
447,15,36
448,16,36
449,17,36
450,18,36
451,18,35
452,18,34
453,19,34
454,20,34
455,20,33
456,19,33
457,18,33
458,17,33
459,17,34
460,17,35
461,16,35
462,16,34
463,16,33
464,15,33
465,14,33
466,13,33
467,13,34
468,13,35
469,12,35
470,11,35
471,10,35
472,9,35
473,9,36
474,9,37
475,8,37
476,7,37
477,7,38
478,7,39
479,7,40
480,7,41
481,6,41
482,5,41
483,5,42
484,5,43
485,4,43
486,3,43
487,3,44
488,3,45
489,2,45
490,1,45
491,0,45
492,0,44
493,0,43
494,0,42
495,0,41
496,0,40
497,1,40
498,2,40
499,3,40
500,3,41
501,2,41
502,1,41
503,0,41
504,0,40
505,0,39
506,0,38
507,0,37
508,0,36
509,1,36
510,2,36
511,3,36
512,4,36
513,5,36
514,5,37
515,5,38
516,5,39
517,4,39
518,4,38
519,4,37
520,4,36
521,4,35
522,3,35
523,2,35
524,1,35
525,0,35
526,0,34
527,0,33
528,0,32
529,1,32
530,2,32
531,3,32
532,4,32
533,5,32
534,6,32
535,7,32
536,8,32
537,9,32
538,10,32
539,10,31
540,10,30
541,11,30
542,12,30
543,13,30
544,14,30
545,15,30
546,16,30
547,17,30
548,18,30
549,19,30
550,20,30
551,21,30
552,22,30
553,23,30
554,24,30
555,24,29
556,24,28
557,25,28
558,26,28
559,27,28
560,28,28
561,29,28
562,30,28
563,31,28
564,32,28
565,33,28
566,34,28
567,35,28
568,36,28
569,37,28
570,38,28
571,38,27
572,37,27
573,36,27
574,36,26
575,36,25
576,36,24
577,37,24
578,38,24
579,39,24
580,40,24
581,41,24
582,42,24
583,43,24
584,44,24
585,45,24
586,46,24
587,46,23
588,45,23
589,44,23
590,43,23
591,42,23
592,41,23
593,40,23
594,39,23
595,38,23
596,37,23
597,36,23
598,35,23
599,35,24
600,35,25
601,34,25
602,33,25
603,32,25
604,31,25
605,31,26
606,31,27
607,30,27
608,29,27
609,28,27
610,27,27
611,26,27
612,25,27
613,24,27
614,23,27
615,23,28
616,23,29
617,22,29
618,21,29
619,20,29
620,19,29
621,18,29
622,17,29
623,16,29
624,15,29
625,14,29
626,13,29
627,12,29
628,11,29
629,10,29
630,9,29
631,9,30
632,9,31
633,8,31
634,7,31
635,6,31
636,6,30
637,6,29
638,5,29
639,4,29
