step,row,col
0,0,0
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,8,0
9,9,0
10,10,0
11,11,0
12,11,1
13,11,2
14,12,2
15,13,2
16,14,2
17,15,2
18,16,2
19,17,2
20,18,2
21,19,2
22,20,2
23,21,2
24,22,2
25,23,2
26,24,2
27,25,2
28,26,2
29,27,2
30,28,2
31,29,2
32,30,2
33,31,2
34,32,2
35,33,2
36,34,2
37,35,2
38,36,2
39,37,2
40,38,2
41,39,2
42,40,2
43,41,2
44,42,2
45,43,2
46,44,2
47,45,2
48,46,2
49,47,2
50,47,3
51,47,4
52,47,5
53,47,6
54,47,7
55,47,8
56,47,9
57,47,10
58,47,11
59,47,12
60,47,13
61,47,14
62,47,15
63,47,16
64,47,17
65,47,18
66,47,19
67,47,20
68,47,21
69,47,22
70,47,23
71,47,24
72,47,25
73,47,26
74,47,27
75,47,28
76,47,29
77,47,30
78,47,31
79,47,32
80,47,33
81,47,34
82,47,35
83,47,36
84,47,37
85,47,38
86,47,39
87,47,40
88,47,41
89,47,42
90,47,43
91,47,44
92,47,45
93,47,46
94,47,47
95,46,47
96,45,47
97,44,47
98,43,47
99,42,47
100,41,47
101,40,47
102,39,47
103,38,47
104,37,47
105,36,47
106,35,47
107,34,47
108,33,47
109,32,47
110,31,47
111,30,47
112,29,47
113,28,47
114,27,47
115,26,47
116,25,47
117,24,47
118,23,47
119,22,47
120,21,47
121,20,47
122,19,47
123,18,47
124,17,47
125,16,47
126,15,47
127,14,47
128,13,47
129,12,47
130,11,47
131,10,47
132,9,47
133,8,47
134,7,47
135,6,47
136,5,47
137,4,47
138,3,47
139,3,48
140,4,48
141,5,48
142,6,48
143,7,48
144,8,48
145,9,48
146,10,48
147,11,48
148,12,48
149,13,48
150,14,48
151,15,48
152,16,48
153,17,48
154,18,48
155,19,48
156,20,48
157,21,48
158,22,48
159,23,48
160,24,48
161,25,48
162,26,48
163,27,48
164,28,48
165,29,48
166,30,48
167,31,48
168,32,48
169,33,48
170,34,48
171,35,48
172,36,48
173,37,48
174,38,48
175,39,48
176,40,48
177,41,48
178,42,48
179,43,48
180,44,48
181,45,48
182,46,48
183,47,48
184,48,48
185,48,47
186,48,46
187,48,45
188,48,44
189,48,43
190,48,42
191,48,41
192,48,40
193,48,39
194,48,38
195,48,37
196,48,36
197,48,35
198,48,34
199,48,33
200,48,32
201,48,31
202,48,30
203,48,29
204,48,28
205,48,27
206,48,26
207,48,25
208,48,24
209,48,23
210,48,22
211,48,21
212,48,20
213,48,19
214,48,18
215,48,17
216,48,16
217,48,15
218,48,14
219,48,13
220,48,12
221,48,11
222,48,10
223,48,9
224,48,8
225,48,7
226,48,6
227,48,5
228,48,4
229,48,3
230,48,2
231,48,1
232,47,1
233,46,1
234,45,1
235,44,1
236,43,1
237,42,1
238,41,1
239,40,1
240,39,1
241,38,1
242,37,1
243,36,1
244,35,1
245,34,1
246,33,1
247,32,1
248,31,1
249,30,1
250,29,1
251,28,1
252,27,1
253,26,1
254,25,1
255,24,1
256,23,1
257,22,1
258,21,1
259,20,1
260,19,1
261,18,1
262,17,1
263,16,1
264,15,1
265,14,1
266,13,1
267,12,1
268,12,0
269,13,0
270,14,0
271,15,0
272,16,0
273,17,0
274,18,0
275,19,0
276,20,0
277,21,0
278,22,0
279,23,0
280,24,0
281,25,0
282,26,0
283,27,0
284,28,0
285,29,0
286,30,0
287,31,0
288,32,0
289,33,0
290,34,0
291,35,0
292,36,0
293,37,0
294,38,0
295,39,0
296,40,0
297,41,0
298,42,0
299,43,0
300,44,0
301,45,0
302,46,0
303,47,0
304,48,0
305,49,0
306,49,1
307,49,2
308,49,3
309,49,4
310,49,5
311,49,6
312,49,7
313,49,8
314,49,9
315,49,10
316,49,11
317,49,12
318,49,13
319,49,14
320,49,15
321,49,16
322,49,17
323,49,18
324,49,19
325,49,20
326,49,21
327,49,22
328,49,23
329,49,24
330,49,25
331,49,26
332,49,27
333,49,28
334,49,29
335,49,30
336,49,31
337,49,32
338,49,33
339,49,34
340,49,35
341,49,36
342,49,37
343,49,38
344,49,39
345,49,40
346,49,41
347,49,42
348,49,43
349,49,44
350,49,45
351,49,46
352,49,47
353,49,48
354,49,49
355,48,49
356,47,49
357,46,49
358,45,49
359,44,49
360,43,49
361,42,49
362,41,49
363,40,49
364,39,49
365,38,49
366,37,49
367,36,49
368,35,49
369,34,49
370,33,49
371,32,49
372,31,49
373,30,49
374,29,49
375,28,49
376,27,49
377,26,49
378,25,49
379,24,49
380,23,49
381,22,49
382,21,49
383,20,49
384,19,49
385,18,49
386,17,49
387,16,49
388,15,49
389,14,49
390,13,49
391,12,49
392,11,49
393,10,49
394,9,49
395,8,49
396,7,49
397,6,49
398,5,49
399,4,49
400,3,49
401,2,49
402,1,49
403,0,49
404,0,48
405,0,47
406,0,46
407,0,45
408,0,44
409,0,43
410,0,42
411,1,42
412,2,42
413,3,42
414,4,42
415,5,42
416,6,42
417,7,42
418,8,42
419,9,42
420,10,42
421,11,42
422,12,42
423,13,42
424,14,42
425,14,41
426,14,40
427,15,40
428,16,40
429,16,39
430,16,38
431,17,38
432,18,38
433,18,37
434,18,36
435,19,36
436,20,36
437,20,35
438,20,34
439,21,34
440,22,34
441,23,34
442,24,34
443,24,33
444,24,32
445,25,32
446,26,32
447,27,32
448,28,32
449,29,32
450,30,32
451,31,32
452,32,32
453,33,32
454,34,32
455,35,32
456,36,32
457,37,32
458,38,32
459,39,32
460,39,33
461,39,34
462,40,34
463,41,34
464,41,35
465,41,36
466,42,36
467,43,36
468,43,37
469,43,38
470,43,39
471,43,40
472,43,41
473,43,42
474,43,43
475,42,43
476,41,43
477,40,43
478,39,43
479,38,43
480,37,43
481,36,43
482,35,43
483,34,43
484,33,43
485,32,43
486,31,43
487,31,44
488,31,45
489,30,45
490,29,45
491,28,45
492,27,45
493,26,45
494,25,45
495,24,45
496,23,45
497,22,45
498,21,45
499,20,45
500,20,44
501,20,43
502,20,42
503,20,41
504,19,41
505,18,41
506,18,40
507,19,40
508,20,40
509,20,39
510,20,38
511,21,38
512,21,39
513,21,40
514,21,41
515,21,42
516,21,43
517,21,44
518,22,44
519,23,44
520,24,44
521,25,44
522,26,44
523,27,44
524,28,44
525,28,43
526,28,42
527,29,42
528,29,43
529,29,44
530,30,44
531,31,44
532,32,44
533,33,44
534,34,44
535,35,44
536,36,44
537,37,44
538,38,44
539,39,44
540,40,44
541,41,44
542,42,44
543,43,44
544,44,44
545,44,43
546,44,42
547,44,41
548,44,40
549,44,39
550,44,38
551,44,37
552,44,36
553,44,35
554,44,34
555,44,33
556,44,32
557,44,31
558,44,30
559,44,29
560,44,28
561,44,27
562,43,27
563,42,27
564,41,27
565,40,27
566,39,27
567,39,28
568,39,29
569,38,29
570,37,29
571,36,29
572,35,29
573,34,29
574,33,29
575,32,29
576,31,29
577,30,29
578,29,29
579,28,29
580,27,29
581,26,29
582,25,29
583,24,29
584,23,29
585,23,30
586,23,31
587,22,31
588,21,31
589,20,31
590,19,31
591,19,32
592,19,33
593,18,33
594,17,33
595,17,34
596,17,35
597,16,35
598,15,35
599,15,36
600,15,37
601,14,37
602,13,37
603,13,38
604,13,39
605,12,39
606,11,39
607,10,39
608,10,38
609,10,37
610,9,37
611,8,37
612,8,36
613,8,35
614,8,34
615,9,34
616,10,34
617,10,33
618,10,32
619,11,32
620,12,32
621,12,31
622,12,30
623,13,30
624,14,30
625,14,29
626,14,28
627,15,28
628,16,28
629,16,27
630,16,26
631,17,26
632,18,26
633,19,26
634,20,26
635,20,25
636,20,24
637,21,24
638,22,24
639,23,24
