step,row,col
0,0,0
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,8,0
9,9,0
10,10,0
11,11,0
12,12,0
13,13,0
14,14,0
15,15,0
16,16,0
17,17,0
18,18,0
19,19,0
20,20,0
21,21,0
22,22,0
23,23,0
24,24,0
25,25,0
26,26,0
27,27,0
28,28,0
29,29,0
30,30,0
31,31,0
32,32,0
33,33,0
34,34,0
35,35,0
36,36,0
37,37,0
38,38,0
39,39,0
40,40,0
41,41,0
42,42,0
43,43,0
44,44,0
45,45,0
46,46,0
47,47,0
48,48,0
49,49,0
50,49,1
51,49,2
52,49,3
53,49,4
54,49,5
55,49,6
56,49,7
57,49,8
58,49,9
59,49,10
60,49,11
61,49,12
62,49,13
63,49,14
64,49,15
65,49,16
66,49,17
67,49,18
68,49,19
69,49,20
70,49,21
71,49,22
72,49,23
73,49,24
74,49,25
75,49,26
76,49,27
77,49,28
78,49,29
79,49,30
80,49,31
81,49,32
82,49,33
83,49,34
84,49,35
85,49,36
86,49,37
87,49,38
88,49,39
89,49,40
90,49,41
91,49,42
92,49,43
93,49,44
94,49,45
95,49,46
96,49,47
97,49,48
98,49,49
99,48,49
100,47,49
101,46,49
102,45,49
103,44,49
104,43,49
105,42,49
106,41,49
107,40,49
108,39,49
109,38,49
110,37,49
111,36,49
112,35,49
113,34,49
114,33,49
115,32,49
116,31,49
117,30,49
118,29,49
119,28,49
120,27,49
121,26,49
122,25,49
123,24,49
124,23,49
125,22,49
126,21,49
127,20,49
128,19,49
129,18,49
130,17,49
131,16,49
132,15,49
133,14,49
134,13,49
135,12,49
136,11,49
137,10,49
138,9,49
139,8,49
140,7,49
141,6,49
142,5,49
143,4,49
144,3,49
145,2,49
146,1,49
147,0,49
148,0,48
149,0,47
150,0,46
151,1,46
152,2,46
153,3,46
154,4,46
155,5,46
156,6,46
157,7,46
158,8,46
159,9,46
160,10,46
161,11,46
162,12,46
163,13,46
164,14,46
165,15,46
166,16,46
167,17,46
168,18,46
169,19,46
170,20,46
171,21,46
172,22,46
173,23,46
174,24,46
175,25,46
176,26,46
177,27,46
178,28,46
179,29,46
180,30,46
181,31,46
182,32,46
183,33,46
184,34,46
185,35,46
186,36,46
187,37,46
188,38,46
189,39,46
190,40,46
191,41,46
192,42,46
193,43,46
194,44,46
195,45,46
196,46,46
197,46,45
198,45,45
199,44,45
200,43,45
201,42,45
202,41,45
203,40,45
204,39,45
205,38,45
206,37,45
207,36,45
208,35,45
209,34,45
210,33,45
211,32,45
212,31,45
213,30,45
214,29,45
215,28,45
216,27,45
217,26,45
218,25,45
219,24,45
220,23,45
221,22,45
222,21,45
223,20,45
224,20,44
225,20,43
226,20,42
227,20,41
228,19,41
229,18,41
230,17,41
231,17,42
232,17,43
233,17,44
234,17,45
235,16,45
236,15,45
237,14,45
238,13,45
239,12,45
240,11,45
241,10,45
242,9,45
243,8,45
244,8,44
245,8,43
246,8,42
247,9,42
248,10,42
249,11,42
250,12,42
251,13,42
252,14,42
253,14,41
254,13,41
255,12,41
256,11,41
257,10,41
258,9,41
259,8,41
260,7,41
261,7,42
262,7,43
263,6,43
264,5,43
265,4,43
266,3,43
267,2,43
268,1,43
269,1,44
270,1,45
271,0,45
272,0,44
273,0,43
274,0,42
275,0,41
276,0,40
277,1,40
278,2,40
279,3,40
280,4,40
281,5,40
282,5,41
283,4,41
284,3,41
285,2,41
286,1,41
287,0,41
288,0,40
289,0,39
290,0,38
291,0,37
292,0,36
293,1,36
294,2,36
295,3,36
296,4,36
297,5,36
298,6,36
299,7,36
300,8,36
301,9,36
302,10,36
303,11,36
304,12,36
305,13,36
306,14,36
307,15,36
308,16,36
309,17,36
310,18,36
311,19,36
312,20,36
313,21,36
314,22,36
315,23,36
316,24,36
317,24,35
318,24,34
319,25,34
320,26,34
321,27,34
322,28,34
323,29,34
324,30,34
325,31,34
326,32,34
327,33,34
328,34,34
329,35,34
330,36,34
331,37,34
332,38,34
333,39,34
334,40,34
335,41,34
336,42,34
337,43,34
338,44,34
339,45,34
340,46,34
341,47,34
342,47,35
343,47,36
344,47,37
345,47,38
346,47,39
347,47,40
348,47,41
349,47,42
350,47,43
351,46,43
352,45,43
353,44,43
354,43,43
355,42,43
356,41,43
357,40,43
358,39,43
359,38,43
360,37,43
361,36,43
362,35,43
363,34,43
364,33,43
365,32,43
366,31,43
367,30,43
368,29,43
369,28,43
370,28,42
371,29,42
372,30,42
373,31,42
374,32,42
375,33,42
376,34,42
377,34,41
378,34,40
379,35,40
380,36,40
381,37,40
382,38,40
383,39,40
384,40,40
385,41,40
386,42,40
387,43,40
388,44,40
389,44,39
390,43,39
391,42,39
392,41,39
393,40,39
394,39,39
395,38,39
396,37,39
397,36,39
398,35,39
399,34,39
400,33,39
401,32,39
402,31,39
403,30,39
404,29,39
405,28,39
406,28,38
407,28,37
408,28,36
409,29,36
410,30,36
411,31,36
412,32,36
413,33,36
414,34,36
415,35,36
416,36,36
417,37,36
418,38,36
419,39,36
420,40,36
421,41,36
422,42,36
423,43,36
424,44,36
425,45,36
426,45,37
427,44,37
428,43,37
429,42,37
430,41,37
431,40,37
432,39,37
433,38,37
434,37,37
435,36,37
436,35,37
437,34,37
438,33,37
439,32,37
440,31,37
441,30,37
442,29,37
443,29,38
444,30,38
445,31,38
446,32,38
447,33,38
448,34,38
449,35,38
450,36,38
451,37,38
452,38,38
453,39,38
454,40,38
455,41,38
456,42,38
457,43,38
458,44,38
459,45,38
460,45,39
461,45,40
462,45,41
463,44,41
464,43,41
465,42,41
466,41,41
467,40,41
468,39,41
469,38,41
470,37,41
471,36,41
472,35,41
473,35,42
474,36,42
475,37,42
476,38,42
477,39,42
478,40,42
479,41,42
480,42,42
481,43,42
482,44,42
483,45,42
484,46,42
485,46,41
486,46,40
487,46,39
488,46,38
489,46,37
490,46,36
491,46,35
492,46,34
493,46,33
494,45,33
495,44,33
496,44,32
497,44,31
498,44,30
499,45,30
500,46,30
501,46,29
502,45,29
503,44,29
504,44,28
505,44,27
506,44,26
507,45,26
508,46,26
509,46,25
510,45,25
511,44,25
512,43,25
513,43,26
514,43,27
515,42,27
516,41,27
517,41,28
518,41,29
519,41,30
520,41,31
521,41,32
522,41,33
523,40,33
524,39,33
525,38,33
526,37,33
527,36,33
528,35,33
529,34,33
530,33,33
531,32,33
532,31,33
533,30,33
534,29,33
535,28,33
536,27,33
537,26,33
538,25,33
539,24,33
540,23,33
541,23,34
542,23,35
543,22,35
544,21,35
545,20,35
546,19,35
547,18,35
548,17,35
549,16,35
550,15,35
551,14,35
552,13,35
553,12,35
554,11,35
555,10,35
556,9,35
557,8,35
558,7,35
559,6,35
560,5,35
561,4,35
562,3,35
563,2,35
564,1,35
565,0,35
566,0,34
567,0,33
568,0,32
569,0,31
570,0,30
571,1,30
572,2,30
573,3,30
574,4,30
575,5,30
576,6,30
577,7,30
578,8,30
579,9,30
580,10,30
581,11,30
582,12,30
583,13,30
584,14,30
585,15,30
586,16,30
587,17,30
588,18,30
589,19,30
590,20,30
591,21,30
592,22,30
593,23,30
594,24,30
595,25,30
596,26,30
597,27,30
598,28,30
599,29,30
600,30,30
601,31,30
602,32,30
603,33,30
604,34,30
605,35,30
606,36,30
607,37,30
608,38,30
609,38,29
610,37,29
611,36,29
612,35,29
613,34,29
614,33,29
615,32,29
616,31,29
617,30,29
618,29,29
619,28,29
620,27,29
621,26,29
622,25,29
623,24,29
624,23,29
625,22,29
626,21,29
627,20,29
628,19,29
629,18,29
630,17,29
631,16,29
632,15,29
633,14,29
634,13,29
635,12,29
636,11,29
637,10,29
638,9,29
639,8,29
