step,row,col
0,0,0
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,8,0
9,9,0
10,10,0
11,11,0
12,12,0
13,13,0
14,14,0
15,15,0
16,16,0
17,17,0
18,18,0
19,19,0
20,20,0
21,21,0
22,21,1
23,21,2
24,22,2
25,23,2
26,24,2
27,25,2
28,26,2
29,27,2
30,28,2
31,29,2
32,30,2
33,31,2
34,32,2
35,33,2
36,34,2
37,35,2
38,36,2
39,37,2
40,38,2
41,39,2
42,40,2
43,41,2
44,42,2
45,43,2
46,44,2
47,45,2
48,46,2
49,47,2
50,47,3
51,47,4
52,47,5
53,47,6
54,47,7
55,47,8
56,47,9
57,47,10
58,47,11
59,47,12
60,47,13
61,47,14
62,47,15
63,47,16
64,47,17
65,47,18
66,47,19
67,47,20
68,47,21
69,47,22
70,47,23
71,47,24
72,47,25
73,47,26
74,47,27
75,47,28
76,47,29
77,47,30
78,47,31
79,47,32
80,47,33
81,47,34
82,47,35
83,47,36
84,47,37
85,47,38
86,47,39
87,47,40
88,47,41
89,47,42
90,47,43
91,47,44
92,47,45
93,47,46
94,47,47
95,46,47
96,45,47
97,44,47
98,43,47
99,42,47
100,41,47
101,40,47
102,39,47
103,38,47
104,37,47
105,36,47
106,35,47
107,34,47
108,34,46
109,34,45
110,34,44
111,34,43
112,33,43
113,32,43
114,32,42
115,32,41
116,31,41
117,30,41
118,29,41
119,28,41
120,27,41
121,26,41
122,25,41
123,25,42
124,25,43
125,25,44
126,25,45
127,24,45
128,23,45
129,23,46
130,23,47
131,22,47
132,21,47
133,20,47
134,19,47
135,18,47
136,17,47
137,16,47
138,15,47
139,14,47
140,13,47
141,12,47
142,11,47
143,10,47
144,9,47
145,8,47
146,7,47
147,6,47
148,5,47
149,4,47
150,3,47
151,3,48
152,4,48
153,5,48
154,6,48
155,7,48
156,8,48
157,9,48
158,10,48
159,11,48
160,12,48
161,13,48
162,14,48
163,15,48
164,16,48
165,17,48
166,18,48
167,19,48
168,20,48
169,21,48
170,22,48
171,23,48
172,24,48
173,25,48
174,26,48
175,27,48
176,28,48
177,29,48
178,30,48
179,31,48
180,32,48
181,33,48
182,34,48
183,35,48
184,36,48
185,37,48
186,38,48
187,39,48
188,40,48
189,41,48
190,42,48
191,43,48
192,44,48
193,45,48
194,46,48
195,47,48
196,48,48
197,48,47
198,48,46
199,48,45
200,48,44
201,48,43
202,48,42
203,48,41
204,48,40
205,48,39
206,48,38
207,48,37
208,48,36
209,48,35
210,48,34
211,48,33
212,48,32
213,48,31
214,48,30
215,48,29
216,48,28
217,48,27
218,48,26
219,48,25
220,48,24
221,48,23
222,48,22
223,48,21
224,48,20
225,48,19
226,48,18
227,48,17
228,48,16
229,48,15
230,48,14
231,48,13
232,48,12
233,48,11
234,48,10
235,48,9
236,48,8
237,48,7
238,48,6
239,48,5
240,48,4
241,48,3
242,48,2
243,48,1
244,47,1
245,46,1
246,45,1
247,44,1
248,43,1
249,42,1
250,41,1
251,40,1
252,39,1
253,38,1
254,37,1
255,36,1
256,35,1
257,34,1
258,33,1
259,32,1
260,31,1
261,30,1
262,29,1
263,28,1
264,27,1
265,26,1
266,25,1
267,24,1
268,23,1
269,22,1
270,22,0
271,23,0
272,24,0
273,25,0
274,26,0
275,27,0
276,28,0
277,29,0
278,30,0
279,31,0
280,32,0
281,33,0
282,34,0
283,35,0
284,36,0
285,37,0
286,38,0
287,39,0
288,40,0
289,41,0
290,42,0
291,43,0
292,44,0
293,45,0
294,46,0
295,47,0
296,48,0
297,49,0
298,49,1
299,49,2
300,49,3
301,49,4
302,49,5
303,49,6
304,49,7
305,49,8
306,49,9
307,49,10
308,49,11
309,49,12
310,49,13
311,49,14
312,49,15
313,49,16
314,49,17
315,49,18
316,49,19
317,49,20
318,49,21
319,49,22
320,49,23
321,49,24
322,49,25
323,49,26
324,49,27
325,49,28
326,49,29
327,49,30
328,49,31
329,49,32
330,49,33
331,49,34
332,49,35
333,49,36
334,49,37
335,49,38
336,49,39
337,49,40
338,49,41
339,49,42
340,49,43
341,49,44
342,49,45
343,49,46
344,49,47
345,49,48
346,49,49
347,48,49
348,47,49
349,46,49
350,45,49
351,44,49
352,43,49
353,42,49
354,41,49
355,40,49
356,39,49
357,38,49
358,37,49
359,36,49
360,35,49
361,34,49
362,33,49
363,32,49
364,32,48
365,32,47
366,32,46
367,32,45
368,32,44
369,33,44
370,33,45
371,33,46
372,33,47
373,33,48
374,33,49
375,32,49
376,31,49
377,30,49
378,29,49
379,28,49
380,27,49
381,26,49
382,25,49
383,24,49
384,24,48
385,24,47
386,24,46
387,25,46
388,25,47
389,25,48
390,25,49
391,24,49
392,23,49
393,22,49
394,21,49
395,20,49
396,19,49
397,18,49
398,17,49
399,16,49
400,15,49
401,14,49
402,13,49
403,12,49
404,11,49
405,10,49
406,9,49
407,8,49
408,7,49
409,6,49
410,5,49
411,4,49
412,3,49
413,2,49
414,1,49
415,0,49
416,0,48
417,0,47
418,0,46
419,0,45
420,0,44
421,1,44
422,2,44
423,3,44
424,4,44
425,5,44
426,6,44
427,7,44
428,8,44
429,9,44
430,10,44
431,11,44
432,12,44
433,13,44
434,14,44
435,15,44
436,16,44
437,17,44
438,18,44
439,19,44
440,20,44
441,21,44
442,21,45
443,20,45
444,19,45
445,18,45
446,17,45
447,16,45
448,15,45
449,14,45
450,13,45
451,12,45
452,11,45
453,10,45
454,9,45
455,8,45
456,7,45
457,6,45
458,5,45
459,4,45
460,3,45
461,2,45
462,1,45
463,0,45
464,0,44
465,0,43
466,0,42
467,0,41
468,0,40
469,1,40
470,2,40
471,2,39
472,2,38
473,3,38
474,4,38
475,5,38
476,6,38
477,7,38
478,8,38
479,9,38
480,10,38
481,11,38
482,12,38
483,13,38
484,14,38
485,15,38
486,16,38
487,16,37
488,16,36
489,17,36
490,18,36
491,19,36
492,20,36
493,21,36
494,22,36
495,23,36
496,24,36
497,25,36
498,26,36
499,27,36
500,28,36
501,29,36
502,30,36
503,31,36
504,32,36
505,33,36
506,34,36
507,34,35
508,34,34
509,35,34
510,36,34
511,37,34
512,38,34
513,39,34
514,40,34
515,41,34
516,42,34
517,43,34
518,43,35
519,43,36
520,43,37
521,43,38
522,43,39
523,43,40
524,43,41
525,43,42
526,44,42
527,44,41
528,44,40
529,44,39
530,44,38
531,44,37
532,44,36
533,44,35
534,44,34
535,44,33
536,43,33
537,42,33
538,42,32
539,42,31
540,41,31
541,40,31
542,39,31
543,38,31
544,37,31
545,36,31
546,35,31
547,34,31
548,33,31
549,33,32
550,33,33
551,32,33
552,31,33
553,30,33
554,29,33
555,28,33
556,27,33
557,26,33
558,25,33
559,24,33
560,23,33
561,22,33
562,21,33
563,20,33
564,19,33
565,18,33
566,18,32
567,18,31
568,17,31
569,16,31
570,15,31
571,14,31
572,13,31
573,12,31
574,11,31
575,10,31
576,9,31
577,8,31
578,7,31
579,6,31
580,5,31
581,4,31
582,3,31
583,3,32
584,4,32
585,5,32
586,6,32
587,7,32
588,8,32
589,9,32
590,10,32
591,11,32
592,12,32
593,13,32
594,14,32
595,15,32
596,16,32
597,17,32
598,17,33
599,16,33
600,15,33
601,14,33
602,13,33
603,12,33
604,11,33
605,10,33
606,9,33
607,8,33
608,7,33
609,6,33
610,5,33
611,4,33
612,3,33
613,2,33
614,1,33
615,1,34
616,1,35
617,1,36
618,2,36
619,3,36
620,4,36
621,5,36
622,6,36
623,7,36
624,8,36
625,9,36
626,10,36
627,11,36
628,12,36
629,13,36
630,14,36
631,15,36
632,15,37
633,14,37
634,13,37
635,12,37
636,11,37
637,10,37
638,9,37
639,8,37
