step,row,col
0,0,0
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,8,0
9,9,0
10,10,0
11,11,0
12,12,0
13,13,0
14,14,0
15,15,0
16,16,0
17,17,0
18,18,0
19,19,0
20,20,0
21,21,0
22,22,0
23,23,0
24,24,0
25,25,0
26,26,0
27,27,0
28,28,0
29,29,0
30,30,0
31,31,0
32,32,0
33,33,0
34,34,0
35,35,0
36,36,0
37,37,0
38,38,0
39,39,0
40,40,0
41,41,0
42,42,0
43,43,0
44,44,0
45,45,0
46,46,0
47,47,0
48,48,0
49,49,0
50,49,1
51,49,2
52,49,3
53,49,4
54,49,5
55,49,6
56,49,7
57,49,8
58,49,9
59,49,10
60,49,11
61,49,12
62,49,13
63,49,14
64,49,15
65,49,16
66,49,17
67,49,18
68,49,19
69,49,20
70,49,21
71,49,22
72,49,23
73,49,24
74,49,25
75,49,26
76,49,27
77,49,28
78,49,29
79,49,30
80,49,31
81,49,32
82,49,33
83,49,34
84,49,35
85,49,36
86,49,37
87,49,38
88,49,39
89,49,40
90,49,41
91,49,42
92,49,43
93,49,44
94,49,45
95,49,46
96,49,47
97,49,48
98,49,49
99,48,49
100,47,49
101,46,49
102,45,49
103,44,49
104,43,49
105,42,49
106,41,49
107,40,49
108,39,49
109,38,49
110,37,49
111,36,49
112,35,49
113,34,49
114,33,49
115,32,49
116,31,49
117,30,49
118,29,49
119,28,49
120,27,49
121,26,49
122,25,49
123,24,49
124,23,49
125,22,49
126,21,49
127,20,49
128,19,49
129,18,49
130,17,49
131,16,49
132,15,49
133,14,49
134,13,49
135,12,49
136,11,49
137,10,49
138,9,49
139,8,49
140,7,49
141,6,49
142,5,49
143,4,49
144,3,49
145,2,49
146,1,49
147,0,49
148,0,48
149,0,47
150,0,46
151,1,46
152,2,46
153,3,46
154,4,46
155,5,46
156,6,46
157,7,46
158,8,46
159,9,46
160,10,46
161,11,46
162,12,46
163,13,46
164,14,46
165,15,46
166,16,46
167,17,46
168,18,46
169,19,46
170,20,46
171,21,46
172,22,46
173,23,46
174,24,46
175,24,45
176,23,45
177,22,45
178,21,45
179,20,45
180,19,45
181,18,45
182,17,45
183,16,45
184,15,45
185,14,45
186,13,45
187,12,45
188,11,45
189,10,45
190,9,45
191,8,45
192,7,45
193,6,45
194,5,45
195,4,45
196,3,45
197,2,45
198,1,45
199,0,45
200,0,44
201,0,43
202,0,42
203,0,41
204,0,40
205,1,40
206,2,40
207,3,40
208,4,40
209,5,40
210,6,40
211,7,40
212,8,40
213,9,40
214,10,40
215,11,40
216,12,40
217,13,40
218,14,40
219,15,40
220,16,40
221,16,39
222,15,39
223,14,39
224,13,39
225,12,39
226,11,39
227,10,39
228,9,39
229,8,39
230,7,39
231,6,39
232,5,39
233,4,39
234,3,39
235,2,39
236,1,39
237,0,39
238,0,38
239,0,37
240,0,36
241,1,36
242,2,36
243,3,36
244,4,36
245,5,36
246,6,36
247,7,36
248,8,36
249,9,36
250,10,36
251,11,36
252,12,36
253,13,36
254,14,36
255,15,36
256,16,36
257,17,36
258,18,36
259,19,36
260,20,36
261,21,36
262,22,36
263,23,36
264,24,36
265,25,36
266,26,36
267,27,36
268,28,36
269,29,36
270,30,36
271,31,36
272,32,36
273,33,36
274,34,36
275,35,36
276,36,36
277,37,36
278,38,36
279,39,36
280,40,36
281,41,36
282,42,36
283,43,36
284,44,36
285,45,36
286,46,36
287,47,36
288,47,37
289,47,38
290,47,39
291,47,40
292,47,41
293,47,42
294,47,43
295,47,44
296,47,45
297,47,46
298,47,47
299,46,47
300,45,47
301,44,47
302,43,47
303,42,47
304,41,47
305,40,47
306,39,47
307,38,47
308,37,47
309,36,47
310,35,47
311,34,47
312,33,47
313,32,47
314,32,46
315,32,45
316,32,44
317,33,44
318,34,44
319,34,43
320,33,43
321,32,43
322,31,43
323,30,43
324,29,43
325,28,43
326,27,43
327,26,43
328,25,43
329,24,43
330,23,43
331,22,43
332,22,42
333,22,41
334,22,40
335,23,40
336,24,40
337,25,40
338,26,40
339,27,40
340,28,40
341,29,40
342,30,40
343,31,40
344,32,40
345,33,40
346,34,40
347,34,39
348,33,39
349,32,39
350,31,39
351,30,39
352,29,39
353,28,39
354,27,39
355,26,39
356,25,39
357,24,39
358,23,39
359,22,39
360,22,38
361,23,38
362,24,38
363,25,38
364,26,38
365,27,38
366,28,38
367,29,38
368,30,38
369,31,38
370,32,38
371,33,38
372,34,38
373,35,38
374,35,39
375,35,40
376,35,41
377,34,41
378,33,41
379,32,41
380,31,41
381,30,41
382,29,41
383,28,41
384,27,41
385,26,41
386,25,41
387,24,41
388,23,41
389,23,42
390,24,42
391,25,42
392,26,42
393,27,42
394,28,42
395,29,42
396,30,42
397,31,42
398,32,42
399,33,42
400,34,42
401,35,42
402,35,43
403,35,44
404,35,45
405,34,45
406,33,45
407,33,46
408,34,46
409,35,46
410,36,46
411,37,46
412,38,46
413,39,46
414,40,46
415,40,45
416,40,44
417,41,44
418,42,44
419,43,44
420,44,44
421,44,43
422,43,43
423,42,43
424,41,43
425,40,43
426,40,42
427,40,41
428,40,40
429,41,40
430,42,40
431,43,40
432,44,40
433,44,39
434,43,39
435,42,39
436,41,39
437,40,39
438,40,38
439,41,38
440,42,38
441,43,38
442,44,38
443,45,38
444,45,39
445,45,40
446,45,41
447,44,41
448,43,41
449,42,41
450,41,41
451,41,42
452,42,42
453,43,42
454,44,42
455,45,42
456,45,43
457,45,44
458,45,45
459,44,45
460,43,45
461,42,45
462,41,45
463,41,46
464,42,46
465,43,46
466,44,46
467,45,46
468,46,46
469,46,45
470,46,44
471,46,43
472,46,42
473,46,41
474,46,40
475,46,39
476,46,38
477,46,37
478,46,36
479,46,35
480,45,35
481,44,35
482,43,35
483,42,35
484,41,35
485,40,35
486,39,35
487,38,35
488,37,35
489,36,35
490,35,35
491,34,35
492,33,35
493,32,35
494,31,35
495,30,35
496,29,35
497,28,35
498,27,35
499,26,35
500,25,35
501,24,35
502,23,35
503,22,35
504,21,35
505,20,35
506,19,35
507,18,35
508,18,34
509,18,33
510,18,32
511,19,32
512,20,32
513,21,32
514,22,32
515,23,32
516,24,32
517,25,32
518,26,32
519,27,32
520,28,32
521,29,32
522,30,32
523,31,32
524,32,32
525,33,32
526,34,32
527,35,32
528,36,32
529,37,32
530,38,32
531,39,32
532,40,32
533,41,32
534,42,32
535,43,32
536,44,32
537,45,32
538,46,32
539,46,31
540,45,31
541,44,31
542,43,31
543,42,31
544,41,31
545,40,31
546,39,31
547,38,31
548,37,31
549,36,31
550,35,31
551,34,31
552,33,31
553,32,31
554,31,31
555,30,31
556,29,31
557,28,31
558,27,31
559,26,31
560,25,31
561,24,31
562,23,31
563,22,31
564,21,31
565,20,31
566,19,31
567,18,31
568,17,31
569,17,32
570,17,33
571,16,33
572,15,33
573,14,33
574,13,33
575,12,33
576,11,33
577,10,33
578,9,33
579,8,33
580,7,33
581,6,33
582,5,33
583,4,33
584,3,33
585,2,33
586,1,33
587,1,34
588,1,35
589,0,35
590,0,34
591,0,33
592,0,32
593,0,31
594,0,30
595,1,30
596,2,30
597,3,30
598,4,30
599,5,30
600,6,30
601,7,30
602,8,30
603,9,30
604,10,30
605,11,30
606,12,30
607,13,30
608,14,30
609,14,29
610,14,28
611,15,28
612,16,28
613,17,28
614,18,28
615,19,28
616,20,28
617,21,28
618,22,28
619,23,28
620,24,28
621,25,28
622,26,28
623,27,28
624,28,28
625,29,28
626,30,28
627,31,28
628,32,28
629,33,28
630,34,28
631,35,28
632,36,28
633,37,28
634,38,28
635,39,28
636,40,28
637,41,28
638,42,28
639,43,28
