step,row,col
0,0,0
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,0,8
9,0,9
10,0,10
11,0,11
12,1,11
13,1,10
14,1,9
15,1,8
16,2,8
17,2,9
18,2,10
19,2,11
20,3,11
21,3,10
22,3,9
23,3,8
24,3,7
25,3,6
26,3,5
27,3,4
28,3,3
29,3,2
30,3,1
31,3,0
32,4,0
33,4,1
34,4,2
35,5,2
36,5,1
37,5,0
38,6,0
39,6,1
40,6,2
41,6,3
42,6,4
43,6,5
44,6,6
45,6,7
46,6,8
47,6,9
48,6,10
49,6,11
50,7,11
51,7,10
52,7,9
53,7,8
54,8,8
55,8,9
56,8,10
57,8,11
58,9,11
59,9,10
60,9,9
61,9,8
62,9,7
63,9,6
64,9,5
65,9,4
66,9,3
67,9,2
68,9,1
69,9,0
70,8,0
71,8,1
72,8,2
73,7,2
74,7,1
75,7,0
76,6,0
77,5,0
78,4,0
79,3,0
80,2,0
81,2,1
82,2,2
83,1,2
84,1,1
85,1,0
86,1,1
87,1,2
88,0,2
89,0,3
90,0,4
91,1,4
92,1,5
93,1,6
94,2,6
95,2,5
96,2,4
97,3,4
98,4,4
99,4,5
100,4,6
101,5,6
102,5,5
103,5,4
104,6,4
105,7,4
106,7,5
107,7,6
108,8,6
109,8,5
110,8,4
111,7,4
112,6,4
113,6,5
114,6,6
115,6,7
116,6,8
117,5,8
118,5,9
119,5,10
120,5,11
121,4,11
122,4,10
123,4,9
124,4,8
