step,row,col
0,0,0
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,8,0
9,9,0
10,9,1
11,8,1
12,7,1
13,6,1
14,5,1
15,4,1
16,3,1
17,2,1
18,1,1
19,0,1
20,0,2
21,1,2
22,2,2
23,3,2
24,4,2
25,5,2
26,6,2
27,7,2
28,8,2
29,9,2
30,8,2
31,7,2
32,6,2
33,5,2
34,4,2
35,3,2
36,2,2
37,1,2
38,0,2
39,0,3
40,0,4
41,1,4
42,2,4
43,3,4
44,4,4
45,5,4
46,6,4
47,7,4
48,8,4
49,9,4
50,9,5
51,8,5
52,7,5
53,6,5
54,5,5
55,4,5
56,3,5
57,2,5
58,1,5
59,0,5
60,0,6
61,1,6
62,2,6
63,3,6
64,4,6
65,5,6
66,6,6
67,7,6
68,8,6
69,9,6
70,9,5
71,9,4
72,8,4
73,7,4
74,6,4
75,5,4
76,4,4
77,3,4
78,3,3
79,3,4
80,4,4
81,5,4
82,6,4
83,6,3
84,6,4
85,7,4
86,8,4
87,9,4
88,9,3
89,9,4
90,9,5
91,9,6
92,8,6
93,7,6
94,6,6
95,5,6
96,4,6
97,3,6
98,2,6
99,1,6
100,0,6
101,0,7
102,0,8
103,1,8
104,2,8
105,3,8
106,4,8
107,5,8
108,6,8
109,7,8
110,8,8
111,9,8
112,9,9
113,8,9
114,7,9
115,6,9
116,5,9
117,4,9
118,3,9
119,2,9
120,1,9
121,0,9
122,0,10
123,1,10
124,2,10
125,3,10
126,4,10
127,5,10
128,6,10
129,7,10
130,8,10
131,9,10
132,9,11
133,8,11
134,7,11
135,6,11
136,5,11
137,4,11
138,3,11
139,2,11
140,1,11
141,0,11
142,0,10
143,0,9
144,0,8
145,1,8
146,2,8
147,3,8
148,3,7
149,3,8
150,4,8
151,5,8
152,6,8
153,6,7
154,6,8
155,7,8
156,8,8
157,9,8
158,9,7
