step,row,col
0,0,0
1,1,0
2,1,1
3,2,1
4,2,0
5,2,1
6,2,2
7,2,1
8,2,2
9,2,1
10,3,1
11,4,1
12,3,1
13,3,0
14,3,1
15,3,0
16,4,0
17,5,0
18,4,0
19,4,1
20,3,1
21,2,1
22,1,1
23,0,1
24,0,0
25,1,0
26,2,0
27,3,0
28,4,0
29,5,0
30,5,1
31,6,1
32,5,1
33,4,1
34,5,1
35,4,1
36,5,1
37,5,0
38,5,1
39,4,1
40,4,0
41,4,1
42,4,2
43,5,2
44,5,1
45,6,1
46,5,1
47,5,2
48,4,2
49,3,2
50,3,1
51,3,0
52,2,0
53,2,1
54,1,1
55,1,0
56,2,0
57,2,1
58,3,1
59,2,1
60,2,0
61,3,0
62,2,0
63,1,0
64,1,1
65,0,1
66,0,2
67,0,1
68,0,2
69,0,3
70,0,4
71,1,4
72,2,4
73,2,5
74,3,5
75,3,4
76,3,3
77,3,2
78,4,2
79,4,1
80,5,1
81,5,2
82,4,2
83,5,2
84,5,1
85,5,2
86,6,2
87,6,1
88,5,1
89,6,1
90,6,0
91,5,0
92,5,1
93,5,2
94,6,2
95,6,3
96,6,4
97,5,4
98,6,4
99,7,4
100,7,5
101,7,6
102,7,5
103,7,6
104,6,6
105,6,7
106,6,6
107,6,5
108,5,5
109,6,5
110,7,5
111,7,4
112,6,4
113,6,3
114,6,4
115,5,4
116,5,5
117,6,5
118,5,5
119,6,5
120,5,5
121,5,4
122,5,5
123,5,6
124,5,5
125,5,6
126,4,6
127,3,6
128,2,6
129,2,5
130,2,6
131,3,6
132,2,6
133,2,5
134,2,6
135,1,6
136,2,6
137,3,6
138,3,5
139,3,6
140,4,6
141,3,6
142,4,6
143,4,5
144,3,5
145,4,5
146,3,5
147,2,5
148,2,6
149,2,5
150,2,6
151,2,5
152,1,5
153,0,5
154,0,6
155,1,6
156,0,6
157,0,7
158,0,6
159,0,5
160,1,5
161,1,6
162,2,6
163,3,6
164,3,7
165,3,8
166,2,8
167,1,8
168,2,8
169,2,9
170,1,9
171,0,9
172,0,10
173,0,9
174,0,8
175,0,9
176,1,9
177,2,9
178,2,10
179,3,10
180,3,11
181,2,11
182,2,10
183,3,10
184,2,10
185,3,10
186,3,11
187,3,10
188,3,9
189,3,8
190,4,8
191,3,8
192,2,8
193,1,8
194,2,8
195,1,8
196,0,8
197,0,9
198,0,10
199,1,10
200,0,10
201,0,9
202,0,10
203,1,10
204,1,9
205,2,9
206,2,8
207,1,8
208,1,9
209,1,8
210,0,8
211,0,7
212,0,8
213,1,8
214,2,8
215,3,8
216,4,8
217,4,9
218,3,9
219,2,9
220,3,9
221,3,8
222,2,8
223,1,8
224,0,8
225,1,8
226,1,9
227,1,8
228,1,9
229,0,9
230,0,8
231,0,7
232,0,6
233,0,7
234,0,6
235,0,5
236,1,5
237,0,5
238,0,6
239,0,7
240,0,6
241,0,5
242,1,5
243,1,6
244,0,6
245,0,5
246,1,5
247,1,6
248,0,6
249,0,7
250,0,6
251,1,6
252,2,6
253,3,6
254,4,6
255,4,5
256,4,6
257,5,6
258,6,6
259,6,5
260,7,5
261,7,6
262,7,5
263,7,6
264,7,5
265,7,4
266,8,4
267,9,4
268,9,5
269,8,5
270,8,6
271,9,6
272,9,5
273,9,6
274,9,7
275,9,6
276,9,5
277,9,6
278,8,6
279,9,6
280,9,5
281,9,4
282,8,4
283,9,4
284,8,4
285,8,5
286,9,5
287,9,6
288,8,6
289,8,5
290,7,5
291,7,6
292,6,6
293,6,5
294,5,5
295,5,4
296,6,4
297,7,4
298,7,5
299,7,4
300,6,4
301,6,3
302,6,4
303,5,4
304,6,4
305,6,3
306,6,2
307,6,1
308,7,1
309,6,1
310,6,0
311,7,0
312,6,0
313,7,0
314,6,0
315,7,0
316,7,1
317,7,0
318,7,1
319,7,0
320,8,0
321,9,0
322,9,1
323,9,0
324,9,1
325,9,2
326,8,2
327,9,2
328,8,2
329,8,1
330,7,1
331,8,1
332,9,1
333,8,1
334,7,1
335,7,0
336,8,0
337,8,1
338,9,1
339,8,1
340,8,2
341,7,2
342,7,1
343,7,2
344,7,1
345,7,0
346,6,0
347,6,1
348,6,2
349,6,3
350,6,4
351,6,3
352,6,2
353,7,2
354,6,2
355,7,2
356,6,2
357,5,2
358,6,2
359,6,3
360,6,4
361,6,5
362,5,5
363,5,4
364,4,4
365,3,4
366,3,3
367,3,4
368,2,4
369,1,4
370,0,4
371,0,5
372,0,6
373,1,6
374,0,6
375,0,7
376,0,6
377,1,6
378,2,6
379,3,6
380,3,7
381,3,8
382,4,8
383,3,8
384,2,8
385,2,9
386,1,9
387,2,9
388,2,8
389,2,9
390,2,8
391,2,9
392,2,10
393,2,11
394,2,10
395,2,11
396,2,10
397,1,10
398,1,11
399,2,11
400,3,11
401,4,11
402,3,11
403,3,10
404,3,11
405,4,11
406,5,11
407,5,10
408,6,10
409,6,11
410,7,11
411,7,10
412,7,11
413,8,11
414,9,11
415,9,10
416,9,11
417,8,11
418,7,11
419,8,11
420,9,11
421,9,10
422,9,9
423,9,8
424,8,8
425,7,8
426,7,9
427,8,9
428,7,9
429,6,9
430,7,9
431,6,9
432,6,10
433,7,10
434,6,10
435,5,10
436,5,9
437,5,8
438,5,9
439,6,9
440,5,9
441,6,9
442,6,10
443,5,10
444,4,10
445,5,10
446,5,9
447,4,9
448,4,8
449,3,8
450,2,8
451,2,9
452,2,8
453,3,8
454,2,8
455,1,8
456,1,9
457,2,9
458,2,10
459,2,11
460,3,11
461,2,11
462,1,11
463,0,11
464,1,11
465,0,11
466,0,10
467,0,9
468,1,9
469,1,8
470,1,9
471,2,9
472,3,9
473,3,10
474,2,10
475,2,11
476,3,11
477,4,11
478,4,10
479,4,11
480,4,10
481,4,9
482,4,8
483,5,8
484,6,8
485,5,8
486,4,8
487,5,8
488,6,8
489,5,8
490,6,8
491,5,8
492,5,9
493,5,8
494,6,8
495,7,8
496,8,8
497,9,8
498,8,8
499,8,9
500,7,9
