step,row,col
0,0,0
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,8,0
9,9,0
10,9,1
11,8,1
12,7,1
13,6,1
14,5,1
15,4,1
16,3,1
17,2,1
18,1,1
19,0,1
20,0,2
21,1,2
22,1,3
23,0,3
24,0,4
25,1,4
26,2,4
27,3,4
28,4,4
29,5,4
30,5,5
31,4,5
32,3,5
33,2,5
34,1,5
35,0,5
36,0,6
37,1,6
38,2,6
39,3,6
40,3,7
41,2,7
42,1,7
43,0,7
44,0,8
45,1,8
46,1,9
47,0,9
48,0,10
49,1,10
50,2,10
51,3,10
52,3,11
53,2,11
54,1,11
55,0,11
56,0,10
57,0,9
58,0,8
59,0,7
60,0,6
61,0,5
62,0,4
63,1,4
64,2,4
65,3,4
66,4,4
67,4,3
68,5,3
69,5,2
70,4,2
71,4,1
72,5,1
73,6,1
74,7,1
75,8,1
76,8,2
77,9,2
78,9,3
79,8,3
80,8,4
81,9,4
82,9,5
83,8,5
84,8,6
85,7,6
86,6,6
87,7,6
88,8,6
89,9,6
90,9,7
91,8,7
92,7,7
93,6,7
94,6,8
95,5,8
96,4,8
97,5,8
98,6,8
99,7,8
100,7,9
101,6,9
102,5,9
103,4,9
104,5,9
105,6,9
106,6,10
107,7,10
108,8,10
109,9,10
110,9,11
111,8,11
112,7,11
113,6,11
