step,row,col
0,0,0
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,0,8
9,0,9
10,0,10
11,0,11
12,1,11
13,1,10
14,1,9
15,1,8
16,1,7
17,1,6
18,1,5
19,1,4
20,1,3
21,1,2
22,1,1
23,1,0
24,2,0
25,2,1
26,3,1
27,3,0
28,4,0
29,4,1
30,4,2
31,4,3
32,4,4
33,4,5
34,5,5
35,5,4
36,5,3
37,5,2
38,5,1
39,5,0
40,6,0
41,6,1
42,7,1
43,7,0
44,8,0
45,8,1
46,8,2
47,8,3
48,8,4
49,8,5
50,8,6
51,8,7
52,9,7
53,9,6
54,9,5
55,9,4
56,9,3
57,9,2
58,9,1
59,9,0
60,8,0
61,8,1
62,8,2
63,8,3
64,8,4
65,8,5
66,8,6
67,7,6
68,7,7
69,7,8
70,7,9
71,7,10
72,7,11
73,8,11
74,8,10
75,9,10
76,9,11
77,8,11
78,7,11
79,6,11
80,6,10
81,6,9
82,6,8
83,6,7
84,6,6
85,6,7
86,6,8
87,5,8
88,5,9
89,4,9
90,4,8
91,5,8
92,6,8
93,6,7
94,6,6
95,7,6
96,8,6
97,8,5
98,8,4
99,8,3
100,8,2
101,8,1
102,7,1
103,6,1
104,5,1
105,4,1
106,4,2
107,4,3
108,4,4
109,3,4
110,2,4
111,2,5
112,2,6
113,2,7
114,3,7
115,3,6
116,3,5
117,2,5
118,2,6
119,2,7
120,1,7
121,1,8
122,1,9
123,1,10
124,2,10
125,2,11
126,3,11
127,3,10
