step,row,col
0,0,0
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,8,0
9,9,0
10,9,1
11,8,1
12,7,1
13,6,1
14,5,1
15,4,1
16,3,1
17,2,1
18,1,1
19,0,1
20,0,2
21,1,2
22,1,3
23,0,3
24,0,4
25,1,4
26,2,4
27,3,4
28,4,4
29,5,4
30,5,5
31,4,5
32,3,5
33,2,5
34,1,5
35,0,5
36,0,6
37,1,6
38,2,6
39,3,6
40,3,7
41,2,7
42,1,7
43,0,7
44,0,8
45,1,8
46,1,9
47,0,9
48,0,10
49,1,10
50,2,10
51,3,10
52,3,11
53,2,11
54,1,11
55,0,11
56,0,10
57,0,9
58,0,8
59,0,7
60,0,6
61,0,5
62,0,4
63,1,4
64,2,4
65,3,4
66,4,4
67,4,3
68,5,3
69,5,2
70,4,2
71,4,3
72,4,4
73,3,4
74,2,4
75,1,4
76,1,3
77,1,2
78,1,1
79,2,1
80,3,1
81,4,1
82,5,1
83,6,1
84,7,1
85,8,1
86,8,2
87,9,2
88,9,3
89,8,3
90,8,4
91,9,4
92,9,5
93,8,5
94,8,6
95,7,6
96,6,6
97,7,6
98,8,6
99,9,6
100,9,7
101,8,7
102,7,7
103,6,7
104,6,8
105,5,8
106,4,8
107,5,8
108,6,8
109,7,8
110,7,9
111,6,9
112,5,9
113,4,9
114,5,9
115,6,9
116,6,10
117,7,10
118,8,10
119,9,10
120,9,11
121,8,11
122,7,11
123,6,11
124,6,10
125,6,9
126,6,8
127,6,7
128,6,6
129,7,6
130,8,6
131,8,5
132,8,4
133,8,3
134,8,2
135,8,1
136,7,1
137,6,1
