step,row,col
0,0,0
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,0,8
9,0,9
10,0,10
11,1,10
12,1,9
13,1,8
14,1,7
15,1,6
16,1,5
17,1,4
18,0,4
19,0,3
20,0,2
21,0,1
22,1,1
23,1,0
24,2,0
25,2,1
26,3,1
27,3,2
28,3,3
29,3,4
30,2,4
31,2,5
32,1,5
33,1,6
34,1,7
35,1,8
36,1,9
37,2,9
38,2,10
39,3,10
40,3,9
41,4,9
42,5,9
43,5,8
44,5,7
45,4,7
46,3,7
47,3,6
48,3,5
49,3,4
50,3,3
51,3,2
52,3,1
53,3,0
54,4,0
55,4,1
56,5,1
57,5,2
58,5,3
59,5,4
60,5,5
61,5,6
62,4,6
63,4,7
64,5,7
65,5,8
66,5,9
67,5,10
68,4,10
69,4,9
70,5,9
71,5,8
72,5,7
73,5,6
74,5,5
75,5,4
76,5,3
77,5,2
78,5,1
79,5,0
80,6,0
81,6,1
82,7,1
83,7,2
84,7,3
85,7,4
86,7,5
87,6,5
88,6,6
89,6,7
90,6,8
91,6,9
92,6,10
93,7,10
94,7,9
95,7,8
96,8,8
97,8,7
98,8,6
99,8,5
100,8,4
101,8,3
102,8,2
103,8,1
104,8,0
105,7,0
106,7,1
107,7,2
108,7,3
109,7,4
110,7,5
111,8,5
112,8,6
113,8,7
114,8,8
115,8,9
116,8,10
