step,row,col
0,0,0
1,1,0
2,2,0
3,1,0
4,2,0
5,2,1
6,3,1
7,2,1
8,1,1
9,2,1
10,2,0
11,2,1
12,2,0
13,1,0
14,0,0
15,1,0
16,0,0
17,0,1
18,0,0
19,1,0
20,2,0
21,3,0
22,4,0
23,4,1
24,3,1
25,3,0
26,4,0
27,5,0
28,4,0
29,4,1
30,5,1
31,5,2
32,6,2
33,6,3
34,5,3
35,4,3
36,5,3
37,4,3
38,5,3
39,5,2
40,4,2
41,5,2
42,6,2
43,7,2
44,7,1
45,8,1
46,8,2
47,8,1
48,9,1
49,9,0
50,9,1
51,8,1
52,8,0
53,9,0
54,8,0
55,8,1
56,7,1
57,6,1
58,7,1
59,7,0
60,6,0
61,6,1
62,5,1
63,5,2
64,6,2
65,5,2
66,6,2
67,6,3
68,6,4
69,7,4
70,6,4
71,6,3
72,6,2
73,5,2
74,4,2
75,4,3
76,4,2
77,4,3
78,5,3
79,4,3
80,4,2
81,5,2
82,5,3
83,5,2
84,5,1
85,5,0
86,6,0
87,6,1
88,6,0
89,5,0
90,4,0
91,5,0
92,5,1
93,5,2
94,5,3
95,6,3
96,6,4
97,7,4
98,8,4
99,7,4
100,7,3
101,6,3
102,6,4
103,7,4
104,6,4
105,6,5
106,7,5
107,7,6
108,7,5
109,8,5
110,9,5
111,8,5
112,7,5
113,8,5
114,9,5
115,9,4
116,9,5
117,8,5
118,8,4
119,8,5
120,8,4
121,7,4
122,6,4
123,6,5
124,6,6
125,7,6
126,6,6
127,6,7
128,7,7
129,7,6
130,7,5
131,8,5
132,9,5
133,8,5
134,9,5
135,9,4
136,9,3
137,9,4
138,9,3
139,8,3
140,8,2
141,8,3
142,9,3
143,8,3
144,9,3
145,8,3
146,7,3
147,7,2
148,8,2
149,7,2
150,8,2
151,7,2
152,8,2
153,8,1
154,9,1
155,9,2
156,9,1
157,9,2
158,9,3
159,8,3
160,7,3
161,7,2
162,6,2
163,7,2
164,6,2
165,5,2
166,5,3
167,6,3
168,6,2
169,7,2
170,7,3
171,8,3
172,7,3
173,6,3
174,7,3
175,8,3
176,7,3
177,7,2
178,7,1
179,8,1
180,7,1
181,7,0
182,8,0
183,7,0
184,7,1
185,7,0
186,6,0
187,6,1
188,6,2
189,6,3
190,5,3
191,5,2
192,4,2
193,4,3
194,5,3
195,4,3
196,5,3
197,5,2
198,6,2
199,6,3
200,6,4
201,6,3
202,6,4
203,7,4
204,6,4
205,6,3
206,6,2
207,6,3
208,6,4
209,7,4
210,8,4
211,9,4
212,8,4
213,7,4
214,7,5
215,6,5
216,7,5
217,6,5
218,7,5
219,8,5
220,9,5
221,8,5
222,7,5
223,7,4
224,7,5
225,7,4
226,8,4
227,8,3
228,7,3
229,7,4
230,7,5
231,7,6
232,7,7
233,6,7
234,7,7
235,7,6
236,7,5
237,7,4
238,8,4
239,8,3
240,9,3
241,9,4
242,9,3
243,9,2
244,9,3
245,9,2
246,9,3
247,9,2
248,8,2
249,7,2
250,7,3
251,6,3
252,6,2
253,6,1
254,5,1
255,6,1
256,6,2
257,6,1
258,6,0
259,5,0
260,6,0
261,6,1
262,7,1
263,7,2
264,8,2
265,9,2
266,8,2
267,8,1
268,9,1
269,9,0
270,8,0
271,7,0
272,7,1
273,7,2
274,8,2
275,9,2
276,9,1
277,9,2
278,9,3
279,9,4
280,9,5
281,8,5
282,8,4
283,8,5
284,8,4
285,9,4
286,8,4
287,8,5
288,8,4
289,8,3
290,7,3
291,8,3
292,9,3
293,9,4
294,8,4
295,8,5
296,7,5
297,6,5
298,7,5
299,7,6
300,6,6
301,7,6
302,7,7
303,7,6
304,7,5
305,8,5
306,7,5
307,7,4
308,6,4
309,6,5
310,6,4
311,6,5
312,6,4
313,6,3
314,5,3
315,4,3
316,5,3
317,4,3
318,4,2
319,4,3
320,5,3
321,5,2
322,5,3
323,6,3
324,6,4
325,6,3
326,5,3
327,6,3
328,5,3
329,4,3
330,5,3
331,4,3
332,5,3
333,5,2
334,5,1
335,4,1
336,4,0
337,5,0
338,4,0
339,5,0
340,4,0
341,3,0
342,4,0
343,5,0
344,4,0
345,3,0
346,3,1
347,4,1
348,3,1
349,3,0
350,4,0
351,5,0
352,5,1
353,5,0
354,5,1
355,5,0
356,4,0
357,5,0
358,5,1
359,5,2
360,4,2
361,4,3
362,4,2
363,4,1
364,5,1
365,6,1
366,7,1
367,8,1
368,7,1
369,8,1
370,8,0
371,8,1
372,7,1
373,6,1
374,5,1
375,4,1
376,3,1
377,2,1
378,1,1
379,1,2
380,1,1
381,2,1
382,3,1
383,2,1
384,3,1
385,4,1
386,4,0
387,4,1
388,5,1
389,6,1
390,5,1
391,5,2
392,5,1
393,6,1
394,5,1
395,5,0
396,5,1
397,4,1
398,5,1
399,6,1
400,6,2
401,7,2
402,7,1
403,6,1
404,5,1
405,5,0
406,4,0
407,3,0
408,3,1
409,3,0
410,4,0
411,3,0
412,2,0
413,1,0
414,1,1
415,0,1
416,0,0
417,1,0
418,0,0
419,1,0
420,0,0
421,1,0
422,1,1
423,1,0
424,2,0
425,3,0
426,4,0
427,3,0
428,2,0
429,2,1
430,2,0
431,2,1
432,1,1
433,2,1
434,3,1
435,3,0
436,4,0
437,5,0
438,4,0
439,4,1
440,5,1
441,5,0
442,4,0
443,4,1
444,5,1
445,6,1
446,6,0
447,7,0
448,7,1
449,7,2
450,6,2
451,5,2
452,5,1
453,5,0
454,5,1
455,4,1
456,5,1
457,6,1
458,6,2
459,6,3
460,7,3
461,8,3
462,7,3
463,6,3
464,5,3
465,6,3
466,7,3
467,7,4
468,8,4
469,8,3
470,8,2
471,8,3
472,7,3
473,7,4
474,7,5
475,7,4
476,7,5
477,7,4
478,8,4
479,8,3
480,7,3
481,8,3
482,8,2
483,8,1
484,7,1
485,8,1
486,9,1
487,8,1
488,8,2
489,8,1
490,8,0
491,9,0
492,9,1
493,9,0
494,9,1
495,8,1
496,8,2
497,9,2
498,9,3
499,9,2
500,9,3
