step,row,col
0,0,0
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,8,0
9,9,0
10,9,1
11,8,1
12,7,1
13,6,1
14,5,1
15,5,2
16,6,2
17,7,2
18,8,2
19,9,2
20,9,3
21,8,3
22,7,3
23,7,4
24,8,4
25,9,4
26,9,5
27,8,5
28,7,5
29,7,6
30,7,7
31,6,7
32,4,7
33,4,2
34,4,1
35,3,1
36,2,1
37,1,1
38,1,2
39,1,3
40,1,4
41,2,4
42,3,4
43,3,5
44,2,5
45,1,5
46,1,6
47,2,6
48,3,6
49,3,7
50,2,7
51,1,7
52,1,8
53,2,8
54,3,8
55,4,8
56,5,8
57,5,9
58,4,9
59,3,9
60,2,9
61,1,9
62,1,10
63,2,10
64,3,10
65,4,10
66,5,10
67,6,10
68,7,10
69,8,10
70,9,10
71,9,11
72,8,11
73,7,11
74,6,11
75,5,11
76,4,11
77,3,11
78,2,11
79,1,11
