step,row,col
0,0,0
1,0,1
2,0,0
3,1,0
4,1,1
5,2,1
6,2,0
7,2,1
8,3,1
9,3,0
10,4,0
11,4,1
12,4,0
13,5,0
14,5,1
15,6,1
16,6,0
17,6,1
18,7,1
19,7,0
20,8,0
21,8,1
22,8,0
23,9,0
24,9,1
25,9,2
26,8,2
27,8,3
28,9,3
29,9,4
30,8,4
31,8,5
32,9,5
33,9,6
34,8,6
35,8,7
36,9,7
37,8,7
38,7,7
39,6,7
40,6,6
41,7,6
42,7,7
43,7,8
44,6,8
45,6,9
46,7,9
47,7,10
48,6,10
49,6,11
50,7,11
51,8,11
52,8,10
53,8,11
54,9,11
55,9,10
56,8,10
57,7,10
58,7,9
59,6,9
60,5,9
61,4,9
62,4,8
63,5,8
64,6,8
65,6,7
66,6,6
67,7,6
68,8,6
69,8,5
70,8,4
71,8,3
72,8,2
73,8,1
74,7,1
75,6,1
76,5,1
77,5,2
78,5,3
79,4,3
80,4,2
81,4,3
82,4,4
83,4,5
84,4,4
85,5,4
86,5,5
87,4,5
88,3,5
89,2,5
90,2,4
91,3,4
92,3,5
93,3,6
94,2,6
95,2,7
96,3,7
97,2,7
98,1,7
99,0,7
100,0,6
101,1,6
102,1,7
103,1,8
104,0,8
105,0,9
106,1,9
107,1,10
108,0,10
109,0,11
110,1,11
111,2,11
112,2,10
113,2,11
114,3,11
115,3,10
116,2,10
117,1,10
118,1,9
119,1,8
120,1,7
121,1,6
122,1,5
123,0,5
124,0,4
125,1,4
126,1,3
127,0,3
128,0,2
129,1,2
