step,row,col
0,0,0
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,8,0
9,9,0
10,9,1
11,9,2
12,9,3
13,9,4
14,9,5
15,9,6
16,9,7
17,8,7
18,7,7
19,7,8
20,7,9
21,7,10
22,8,10
23,9,10
24,9,11
25,8,11
26,7,11
27,6,11
28,6,10
29,6,9
30,5,9
31,4,9
32,4,8
33,5,8
34,6,8
35,6,7
36,6,6
37,7,6
38,8,6
39,8,5
40,8,4
41,8,3
42,8,2
43,8,1
44,7,1
45,6,1
46,5,1
47,5,2
48,5,3
49,5,4
50,5,5
51,4,5
52,3,5
53,3,6
54,3,7
55,2,7
56,1,7
57,1,8
58,1,9
59,1,10
60,2,10
61,3,10
62,3,11
63,2,11
64,1,11
65,0,11
66,0,10
67,0,9
68,0,8
69,0,7
70,0,6
71,0,5
72,0,4
73,0,3
74,0,2
75,1,2
76,1,3
77,1,4
78,1,5
79,1,6
80,2,6
81,2,5
82,2,4
83,3,4
84,4,4
85,4,3
86,4,2
87,4,1
88,3,1
89,2,1
90,1,1
91,0,1
92,0,0
