step,row,col
0,0,0
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,0,8
9,0,9
10,0,10
11,0,11
12,1,11
13,1,10
14,1,9
15,1,8
16,1,7
17,1,6
18,1,5
19,1,4
20,1,3
21,1,2
22,1,1
23,1,0
24,2,0
25,3,0
26,4,0
27,5,0
28,6,0
29,7,0
30,8,0
31,9,0
32,9,1
33,9,2
34,9,3
35,9,4
36,9,5
37,8,5
38,8,4
39,8,3
40,8,2
41,8,1
42,7,1
43,7,2
44,7,3
45,7,4
46,7,5
47,7,6
48,7,7
49,6,7
50,6,6
51,6,5
52,6,4
53,6,3
54,6,2
55,6,1
56,5,1
57,5,2
58,5,3
59,4,3
60,4,2
61,4,1
62,3,1
63,2,1
64,3,1
65,4,1
66,4,2
67,4,3
68,5,3
69,5,2
70,4,2
71,5,2
72,5,1
73,4,1
74,5,1
75,6,1
76,6,2
77,5,2
78,6,2
79,6,3
80,5,3
81,6,3
82,6,4
83,6,5
84,6,6
85,6,7
86,7,7
87,7,6
88,6,6
89,7,6
90,7,5
91,6,5
92,7,5
93,7,4
94,6,4
95,7,4
96,7,3
97,6,3
98,7,3
99,7,2
100,6,2
101,7,2
102,7,1
103,6,1
104,7,1
105,8,1
106,8,2
107,7,2
108,8,2
109,8,3
110,7,3
111,8,3
112,8,4
113,7,4
114,8,4
115,8,5
116,7,5
117,8,5
118,9,5
119,9,4
120,8,4
121,9,4
122,9,3
123,8,3
124,9,3
125,9,2
126,8,2
127,9,2
128,9,1
129,8,1
130,9,1
131,9,0
132,8,0
133,8,1
134,8,0
135,7,0
136,7,1
137,7,0
138,6,0
139,6,1
140,6,0
141,5,0
142,5,1
143,5,0
144,4,0
145,4,1
146,4,0
147,3,0
148,3,1
149,3,0
150,2,0
151,2,1
152,2,0
153,1,0
154,1,1
155,2,1
156,1,1
157,1,2
158,1,3
159,1,4
160,2,4
161,2,5
162,2,6
163,2,7
164,2,8
165,2,9
166,2,10
167,2,11
168,3,11
169,3,10
170,3,9
171,3,8
172,3,7
173,3,6
174,3,5
175,3,4
176,3,5
177,3,6
178,3,7
179,3,8
180,4,8
181,4,9
182,4,10
183,4,11
184,5,11
185,5,10
186,5,9
187,5,8
188,5,9
189,5,10
190,6,10
191,6,11
192,7,11
193,7,10
194,8,10
195,8,11
196,9,11
197,9,10
198,9,11
199,8,11
200,8,10
201,9,10
202,8,10
203,7,10
204,7,11
205,8,11
206,7,11
207,6,11
208,6,10
209,7,10
210,6,10
211,5,10
212,5,11
213,6,11
214,5,11
215,4,11
216,4,10
217,5,10
218,4,10
219,4,9
220,5,9
221,4,9
222,4,8
223,5,8
224,4,8
225,3,8
226,3,9
227,4,9
228,3,9
229,3,10
230,4,10
231,3,10
232,3,11
233,4,11
234,3,11
235,2,11
236,2,10
237,3,10
238,2,10
239,2,9
240,3,9
241,2,9
242,2,8
243,3,8
244,2,8
245,2,7
246,3,7
247,2,7
248,2,6
249,3,6
250,2,6
251,2,5
252,3,5
253,2,5
254,2,4
255,3,4
256,2,4
257,1,4
258,1,5
259,2,5
260,1,5
261,1,6
262,2,6
263,1,6
264,1,7
265,2,7
266,1,7
267,1,8
268,2,8
269,1,8
270,1,9
271,2,9
272,1,9
273,1,10
274,2,10
275,1,10
276,1,11
277,2,11
278,1,11
279,0,11
280,0,10
281,1,10
282,0,10
283,0,9
284,1,9
285,0,9
286,0,8
287,1,8
288,0,8
289,0,7
290,1,7
291,0,7
292,0,6
293,1,6
294,0,6
295,0,5
296,1,5
297,0,5
298,0,4
299,1,4
300,0,4
301,0,3
302,1,3
303,0,3
304,0,2
305,1,2
306,0,2
307,0,1
308,1,1
309,0,1
310,0,0
311,1,0
312,0,0
