step,row,col
0,0,0
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,8,0
9,9,0
10,10,0
11,11,0
12,12,0
13,13,0
14,14,0
15,15,0
16,16,0
17,17,0
18,18,0
19,19,0
20,20,0
21,21,0
22,22,0
23,23,0
24,23,1
25,23,2
26,23,3
27,23,4
28,23,5
29,23,6
30,23,7
31,23,8
32,23,9
33,23,10
34,24,10
35,25,10
36,26,10
37,27,10
38,28,10
39,29,10
40,30,10
41,31,10
42,32,10
43,33,10
44,34,10
45,35,10
46,36,10
47,37,10
48,38,10
49,39,10
50,40,10
51,41,10
52,42,10
53,43,10
54,44,10
55,45,10
56,46,10
57,47,10
58,48,10
59,49,10
60,50,10
61,51,10
62,52,10
63,53,10
64,54,10
65,55,10
66,56,10
67,57,10
68,58,10
69,59,10
70,60,10
71,61,10
72,62,10
73,63,10
74,64,10
75,65,10
76,66,10
77,67,10
78,68,10
79,69,10
80,70,10
81,71,10
82,72,10
83,73,10
84,74,10
85,75,10
86,76,10
87,77,10
88,78,10
89,79,10
90,80,10
91,81,10
92,82,10
93,83,10
94,84,10
95,85,10
96,86,10
97,87,10
98,88,10
99,89,10
100,90,10
101,91,10
102,92,10
103,93,10
104,94,10
105,95,10
106,96,10
107,97,10
108,98,10
109,99,10
110,100,10
111,101,10
112,102,10
113,103,10
114,104,10
115,105,10
116,106,10
117,107,10
118,108,10
119,109,10
120,110,10
121,111,10
122,112,10
123,113,10
124,114,10
125,115,10
126,116,10
127,117,10
128,118,10
129,119,10
130,120,10
131,121,10
132,122,10
133,123,10
134,124,10
135,125,10
136,126,10
137,127,10
138,128,10
139,129,10
140,130,10
141,131,10
142,132,10
143,133,10
144,134,10
145,135,10
146,136,10
147,137,10
148,138,10
149,139,10
150,140,10
151,141,10
152,142,10
153,143,10
154,144,10
155,145,10
156,146,10
157,147,10
158,148,10
159,149,10
160,150,10
161,151,10
162,152,10
163,153,10
164,154,10
165,155,10
166,156,10
167,157,10
168,158,10
169,159,10
170,160,10
171,161,10
172,162,10
173,163,10
174,164,10
175,165,10
176,166,10
177,167,10
178,168,10
179,169,10
180,170,10
181,171,10
182,172,10
183,173,10
184,174,10
185,175,10
186,176,10
187,177,10
188,178,10
189,179,10
190,180,10
191,181,10
192,182,10
193,183,10
194,184,10
195,185,10
196,186,10
197,187,10
198,188,10
199,189,10
200,190,10
201,191,10
202,192,10
203,193,10
204,194,10
205,195,10
206,196,10
207,197,10
208,198,10
209,199,10
210,199,11
211,199,12
212,199,13
213,199,14
214,199,15
215,199,16
216,199,17
217,199,18
218,199,19
219,198,19
220,197,19
221,196,19
222,195,19
223,194,19
224,193,19
225,192,19
226,191,19
227,190,19
228,189,19
229,188,19
230,187,19
231,186,19
232,185,19
233,184,19
234,183,19
235,182,19
236,181,19
237,180,19
238,179,19
239,178,19
240,177,19
241,176,19
242,175,19
243,175,20
244,175,21
245,175,22
246,176,22
247,177,22
248,178,22
249,179,22
250,179,23
251,179,24
252,179,25
253,179,26
254,179,27
255,179,28
256,179,29
257,179,30
258,179,31
259,179,32
260,179,33
261,179,34
262,179,35
263,179,36
264,179,37
265,179,38
266,179,39
267,179,40
268,179,41
269,179,42
270,179,43
271,178,43
272,177,43
273,176,43
274,175,43
275,175,44
276,175,45
277,175,46
278,176,46
279,177,46
280,178,46
281,179,46
282,180,46
283,181,46
284,182,46
285,183,46
286,184,46
287,185,46
288,186,46
289,187,46
290,188,46
291,189,46
292,190,46
293,191,46
294,192,46
295,193,46
296,194,46
297,195,46
298,196,46
299,197,46
300,198,46
301,199,46
302,199,47
303,199,48
304,199,49
305,199,50
306,199,51
307,199,52
308,199,53
309,199,54
310,199,55
311,199,56
312,199,57
313,199,58
314,199,59
315,199,60
316,199,61
317,199,62
318,199,63
319,199,64
320,199,65
321,199,66
322,199,67
323,198,67
324,197,67
325,196,67
326,195,67
327,194,67
328,193,67
329,192,67
330,191,67
331,190,67
332,189,67
333,188,67
334,187,67
335,186,67
336,185,67
337,184,67
338,183,67
339,182,67
340,182,66
341,182,65
342,182,64
343,183,64
344,184,64
345,185,64
346,186,64
347,187,64
348,188,64
349,189,64
350,190,64
351,191,64
352,192,64
353,193,64
354,194,64
355,195,64
356,196,64
357,196,63
358,195,63
359,194,63
360,193,63
361,192,63
362,191,63
363,190,63
364,189,63
365,188,63
366,187,63
367,186,63
368,185,63
369,184,63
370,183,63
371,182,63
372,182,62
373,182,61
374,182,60
375,183,60
376,184,60
377,185,60
378,186,60
379,187,60
380,188,60
381,189,60
382,190,60
383,191,60
384,192,60
385,193,60
386,194,60
387,195,60
388,196,60
389,196,59
390,195,59
391,194,59
392,193,59
393,192,59
394,191,59
395,190,59
396,189,59
397,188,59
398,187,59
399,186,59
400,185,59
401,184,59
402,183,59
403,182,59
404,182,58
405,182,57
406,182,56
407,183,56
408,184,56
409,185,56
410,186,56
411,187,56
412,188,56
413,189,56
414,190,56
415,191,56
416,192,56
417,193,56
418,194,56
419,195,56
420,196,56
421,196,55
422,195,55
423,194,55
424,193,55
425,192,55
426,191,55
427,190,55
428,189,55
429,188,55
430,187,55
431,186,55
432,185,55
433,184,55
434,183,55
435,182,55
436,181,55
437,180,55
438,179,55
439,179,56
440,179,57
441,179,58
442,179,59
443,179,60
444,179,61
445,179,62
446,179,63
447,179,64
448,179,65
449,179,66
450,179,67
451,178,67
452,177,67
453,176,67
454,175,67
455,175,68
456,175,69
457,175,70
458,176,70
459,177,70
460,178,70
461,179,70
462,179,71
463,179,72
464,179,73
465,179,74
466,179,75
467,179,76
468,179,77
469,179,78
470,179,79
471,179,80
472,179,81
473,179,82
474,180,82
475,181,82
476,182,82
477,183,82
478,184,82
479,185,82
480,186,82
481,187,82
482,188,82
483,189,82
484,190,82
485,191,82
486,192,82
487,193,82
488,194,82
489,195,82
490,196,82
491,197,82
492,198,82
493,199,82
494,199,83
495,199,84
496,199,85
497,199,86
498,199,87
499,199,88
500,199,89
501,199,90
502,199,91
503,198,91
504,197,91
505,196,91
506,195,91
507,194,91
508,193,91
509,192,91
510,191,91
511,190,91
512,189,91
513,188,91
514,187,91
515,186,91
516,185,91
517,184,91
518,183,91
519,182,91
520,181,91
521,180,91
522,179,91
523,178,91
524,177,91
525,176,91
526,175,91
527,174,91
528,173,91
529,172,91
530,171,91
531,170,91
532,169,91
533,168,91
534,167,91
535,166,91
536,165,91
537,164,91
538,163,91
539,162,91
540,161,91
541,160,91
542,159,91
543,158,91
544,157,91
545,156,91
546,155,91
547,154,91
548,153,91
549,152,91
550,151,91
551,150,91
552,149,91
553,148,91
554,147,91
555,146,91
556,145,91
557,144,91
558,143,91
559,143,92
560,143,93
561,143,94
562,144,94
563,145,94
564,146,94
565,147,94
566,148,94
567,149,94
568,150,94
569,151,94
570,152,94
571,153,94
572,153,95
573,153,96
574,153,97
575,153,98
576,153,99
577,153,100
578,153,101
579,153,102
580,153,103
581,153,104
582,153,105
583,153,106
584,153,107
585,153,108
586,153,109
587,153,110
588,153,111
589,153,112
590,153,113
591,153,114
592,153,115
593,152,115
594,151,115
595,150,115
596,149,115
597,148,115
598,147,115
599,146,115
600,145,115
601,144,115
602,143,115
603,143,116
604,143,117
605,143,118
606,144,118
607,145,118
608,146,118
609,147,118
610,148,118
611,149,118
612,150,118
613,151,118
614,152,118
615,153,118
616,154,118
617,155,118
618,156,118
619,157,118
620,158,118
621,159,118
622,160,118
623,161,118
624,162,118
625,163,118
626,164,118
627,165,118
628,166,118
629,167,118
630,168,118
631,169,118
632,170,118
633,171,118
634,172,118
635,173,118
636,174,118
637,175,118
638,176,118
639,177,118
