step,row,col
0,0,0
1,1,0
2,1,1
3,1,0
4,1,1
5,0,1
6,0,2
7,0,3
8,0,2
9,0,3
10,0,4
11,0,3
12,0,4
13,0,5
14,0,4
15,1,4
16,1,3
17,1,4
18,1,3
19,1,4
20,1,3
21,0,3
22,1,3
23,1,2
24,1,1
25,0,1
26,1,1
27,2,1
28,1,1
29,1,0
30,1,1
31,1,0
32,1,1
33,0,1
34,1,1
35,1,0
36,2,0
37,2,1
38,3,1
39,4,1
40,5,1
41,5,0
42,5,1
43,5,2
44,5,3
45,6,3
46,7,3
47,7,2
48,7,3
49,7,4
50,8,4
51,8,3
52,9,3
53,9,4
54,9,3
55,8,3
56,9,3
57,8,3
58,8,4
59,9,4
60,10,4
61,11,4
62,11,5
63,10,5
64,11,5
65,11,4
66,11,3
67,12,3
68,13,3
69,13,4
70,13,3
71,13,2
72,14,2
73,14,1
74,15,1
75,15,0
76,15,1
77,15,0
78,16,0
79,16,1
80,17,1
81,17,2
82,17,1
83,17,2
84,17,3
85,18,3
86,19,3
87,20,3
88,20,2
89,19,2
90,18,2
91,19,2
92,18,2
93,18,1
94,18,2
95,19,2
96,18,2
97,17,2
98,17,3
99,18,3
100,18,2
101,17,2
102,16,2
103,17,2
104,18,2
105,18,3
106,19,3
107,20,3
108,20,2
109,21,2
110,20,2
111,21,2
112,20,2
113,21,2
114,21,3
115,21,4
116,20,4
117,19,4
118,18,4
119,18,5
120,18,4
121,18,5
122,18,6
123,18,7
124,18,6
125,18,5
126,18,4
127,18,3
128,18,2
129,18,3
130,18,4
131,18,3
132,19,3
133,18,3
134,18,2
135,17,2
136,17,3
137,17,2
138,18,2
139,19,2
140,20,2
141,19,2
142,19,1
143,18,1
144,19,1
145,19,2
146,19,1
147,18,1
148,17,1
149,17,0
150,18,0
151,17,0
152,17,1
153,18,1
154,17,1
155,17,2
156,17,1
157,17,0
158,18,0
159,18,1
160,19,1
161,19,0
162,18,0
163,19,0
164,18,0
165,18,1
166,19,1
167,18,1
168,19,1
169,19,2
170,20,2
171,19,2
172,18,2
173,19,2
174,19,1
175,18,1
176,18,2
177,17,2
178,17,3
179,18,3
180,17,3
181,17,2
182,17,3
183,16,3
184,16,2
185,16,3
186,16,2
187,17,2
188,18,2
189,18,3
190,18,4
191,19,4
192,19,5
193,19,6
194,19,7
195,18,7
196,17,7
197,18,7
198,17,7
199,16,7
200,15,7
201,15,8
202,14,8
203,15,8
204,14,8
205,15,8
206,15,9
207,14,9
208,15,9
209,15,8
210,15,7
211,15,6
212,16,6
213,16,7
214,16,6
215,16,5
216,15,5
217,15,4
218,14,4
219,13,4
220,13,5
221,12,5
222,12,4
223,12,5
224,13,5
225,13,4
226,13,3
227,14,3
228,13,3
229,13,4
230,14,4
231,15,4
232,15,3
233,14,3
234,13,3
235,14,3
236,14,2
237,15,2
238,15,3
239,15,2
240,15,3
241,16,3
242,16,4
243,16,3
244,15,3
245,14,3
246,14,4
247,14,3
248,13,3
249,13,2
250,12,2
251,12,3
252,12,4
253,13,4
254,13,3
255,13,2
256,12,2
257,13,2
258,14,2
259,13,2
260,13,1
261,13,0
262,14,0
263,14,1
264,14,0
265,14,1
266,14,0
267,15,0
268,16,0
269,15,0
270,16,0
271,16,1
272,15,1
273,16,1
274,16,2
275,16,3
276,16,2
277,16,3
278,16,2
279,15,2
280,14,2
281,15,2
282,14,2
283,13,2
284,12,2
285,13,2
286,13,1
287,12,1
288,13,1
289,13,2
290,14,2
291,15,2
292,16,2
293,17,2
294,17,3
295,16,3
296,16,4
297,16,5
298,15,5
299,15,6
300,15,7
301,15,8
302,15,9
303,14,9
304,13,9
305,12,9
306,11,9
307,12,9
308,12,10
309,12,9
310,12,8
311,11,8
312,11,9
313,11,10
314,12,10
315,11,10
316,10,10
317,11,10
318,11,11
319,12,11
320,12,10
321,13,10
322,13,9
323,14,9
324,13,9
325,12,9
326,11,9
327,10,9
328,10,8
329,9,8
330,9,9
331,10,9
332,11,9
333,12,9
334,11,9
335,11,10
336,10,10
337,10,11
338,10,10
339,11,10
340,12,10
341,11,10
342,12,10
343,13,10
344,13,11
345,13,10
346,13,11
347,13,10
348,13,11
349,12,11
350,11,11
351,10,11
352,11,11
353,10,11
354,11,11
355,10,11
356,11,11
357,10,11
358,9,11
359,10,11
360,10,12
361,9,12
362,10,12
363,10,13
364,9,13
365,9,12
366,8,12
367,8,13
368,8,14
369,8,15
370,8,16
371,8,17
372,8,16
373,8,17
374,9,17
375,9,18
376,9,19
377,10,19
378,10,20
379,10,21
380,10,22
381,10,23
382,10,22
383,9,22
384,9,21
385,8,21
386,9,21
387,8,21
388,7,21
389,7,22
390,8,22
391,7,22
392,7,23
393,7,22
394,7,23
395,7,22
396,6,22
397,5,22
398,5,23
399,4,23
400,4,24
401,4,25
402,3,25
403,2,25
404,3,25
405,2,25
406,2,26
407,1,26
408,1,25
409,1,26
410,1,27
411,0,27
412,1,27
413,1,26
414,1,25
415,1,24
416,0,24
417,0,25
418,0,26
419,0,25
420,0,24
421,0,25
422,0,24
423,0,23
424,1,23
425,0,23
426,0,22
427,1,22
428,0,22
429,0,23
430,1,23
431,2,23
432,3,23
433,3,24
434,3,23
435,2,23
436,2,22
437,2,23
438,2,22
439,1,22
440,1,23
441,2,23
442,2,24
443,2,25
444,2,26
445,2,27
446,3,27
447,2,27
448,1,27
449,2,27
450,2,26
451,2,27
452,1,27
453,1,26
454,2,26
455,1,26
456,0,26
457,0,25
458,0,24
459,1,24
460,1,23
461,1,22
462,0,22
463,1,22
464,0,22
465,1,22
466,2,22
467,2,23
468,2,24
469,2,23
470,3,23
471,3,22
472,2,22
473,1,22
474,1,23
475,0,23
476,1,23
477,0,23
478,0,22
479,0,23
480,0,22
481,1,22
482,0,22
483,1,22
484,2,22
485,1,22
486,0,22
487,0,23
488,0,24
489,0,23
490,0,24
491,0,23
492,1,23
493,2,23
494,2,22
495,2,21
496,3,21
497,3,20
498,2,20
499,2,19
500,2,20
501,3,20
502,3,19
503,2,19
504,1,19
505,1,18
506,0,18
507,0,17
508,0,18
509,0,19
510,0,18
511,0,17
512,0,16
513,1,16
514,1,17
515,1,16
516,0,16
517,0,15
518,1,15
519,2,15
520,1,15
521,0,15
522,1,15
523,1,14
524,0,14
525,0,13
526,0,14
527,1,14
528,0,14
529,1,14
530,1,13
531,0,13
532,0,14
533,0,15
534,0,14
535,1,14
536,0,14
537,1,14
538,2,14
539,1,14
540,0,14
541,0,15
542,1,15
543,1,14
544,0,14
545,0,15
546,1,15
547,0,15
548,0,14
549,0,15
550,1,15
551,2,15
552,3,15
553,3,16
554,3,15
555,3,14
556,3,13
557,3,14
558,3,15
559,4,15
560,5,15
561,5,16
562,6,16
563,6,17
564,5,17
565,4,17
566,3,17
567,4,17
568,5,17
569,4,17
570,4,18
571,4,19
572,4,18
573,4,17
574,4,18
575,5,18
576,5,17
577,6,17
578,5,17
579,6,17
580,5,17
581,4,17
582,3,17
583,4,17
584,5,17
585,4,17
586,5,17
587,4,17
588,5,17
589,4,17
590,5,17
591,4,17
592,4,18
593,4,17
594,3,17
595,4,17
596,4,18
597,4,19
598,5,19
599,6,19
600,7,19
601,6,19
602,5,19
603,5,18
604,4,18
605,4,19
606,5,19
607,5,18
608,5,19
609,6,19
610,7,19
611,8,19
612,8,18
613,8,17
614,7,17
615,8,17
616,9,17
617,9,18
618,9,17
619,10,17
620,11,17
621,10,17
622,10,18
623,9,18
624,10,18
625,10,17
626,10,18
627,9,18
628,9,19
629,9,18
630,9,19
631,10,19
632,9,19
633,9,18
634,8,18
635,8,17
636,8,18
637,7,18
638,6,18
639,7,18
