step,row,col
0,0,0
1,1,0
2,2,0
3,3,0
4,3,1
5,3,2
6,4,2
7,5,2
8,5,3
9,5,4
10,6,4
11,7,4
12,8,4
13,9,4
14,10,4
15,11,4
16,12,4
17,13,4
18,14,4
19,15,4
20,16,4
21,17,4
22,18,4
23,19,4
24,20,4
25,21,4
26,22,4
27,23,4
28,24,4
29,25,4
30,25,5
31,25,6
32,25,7
33,25,8
34,25,9
35,25,10
36,26,10
37,27,10
38,28,10
39,28,9
40,28,8
41,29,8
42,30,8
43,31,8
44,32,8
45,33,8
46,34,8
47,35,8
48,35,9
49,35,10
50,35,11
51,34,11
52,33,11
53,33,12
54,33,13
55,33,14
56,33,15
57,33,16
58,33,17
59,33,18
60,34,18
61,35,18
62,36,18
63,37,18
64,37,19
65,37,20
66,38,20
67,39,20
68,40,20
69,40,19
70,40,18
71,41,18
72,42,18
73,43,18
74,44,18
75,45,18
76,46,18
77,47,18
78,47,19
79,47,20
80,48,20
81,49,20
82,49,21
83,49,22
84,50,22
85,51,22
86,52,22
87,53,22
88,54,22
89,55,22
90,55,23
91,55,24
92,56,24
93,57,24
94,57,25
95,57,26
96,58,26
97,59,26
98,60,26
99,61,26
100,62,26
101,63,26
102,64,26
103,65,26
104,66,26
105,66,25
106,66,24
107,66,23
108,66,22
109,67,22
110,68,22
111,69,22
112,70,22
113,71,22
114,72,22
115,73,22
116,74,22
117,75,22
118,76,22
119,77,22
120,77,23
121,77,24
122,78,24
123,79,24
124,79,25
125,79,26
126,80,26
127,81,26
128,82,26
129,83,26
130,84,26
131,84,25
132,84,24
133,85,24
134,86,24
135,86,23
136,86,22
137,87,22
138,88,22
139,88,21
140,88,20
141,89,20
142,90,20
143,91,20
144,92,20
145,93,20
146,94,20
147,95,20
148,96,20
149,97,20
150,98,20
151,99,20
152,99,21
153,99,22
154,100,22
155,101,22
156,102,22
157,102,21
158,102,20
159,103,20
160,104,20
161,104,19
162,104,18
163,104,17
164,104,16
165,105,16
166,106,16
167,107,16
168,108,16
169,109,16
170,109,17
171,109,18
172,109,19
173,109,20
174,110,20
175,111,20
176,112,20
177,113,20
178,113,21
179,113,22
180,114,22
181,115,22
182,115,23
183,115,24
184,116,24
185,117,24
186,118,24
187,119,24
188,120,24
189,120,23
190,120,22
191,121,22
192,122,22
193,123,22
194,124,22
195,125,22
196,125,23
197,125,24
198,125,25
199,125,26
200,126,26
201,127,26
202,128,26
203,129,26
204,130,26
205,130,25
206,130,24
207,130,23
208,130,22
209,130,21
210,130,20
211,130,19
212,130,18
213,131,18
214,132,18
215,133,18
216,134,18
217,135,18
218,135,19
219,135,20
220,135,21
221,135,22
222,136,22
223,137,22
224,138,22
225,139,22
226,140,22
227,141,22
228,142,22
229,143,22
230,144,22
231,145,22
232,146,22
233,147,22
234,148,22
235,149,22
236,150,22
237,151,22
238,152,22
239,153,22
240,154,22
241,155,22
242,156,22
243,157,22
244,157,23
245,157,24
246,158,24
247,159,24
248,159,25
249,159,26
250,160,26
251,161,26
252,162,26
253,163,26
254,164,26
255,165,26
256,166,26
257,167,26
258,168,26
259,169,26
260,170,26
261,171,26
262,171,27
263,171,28
264,172,28
265,173,28
266,174,28
267,175,28
268,176,28
269,177,28
270,178,28
271,179,28
272,180,28
273,181,28
274,182,28
275,183,28
276,184,28
277,185,28
278,185,29
279,185,30
280,186,30
281,187,30
282,188,30
283,188,29
284,188,28
285,189,28
286,190,28
287,191,28
288,192,28
289,193,28
290,194,28
291,195,28
292,196,28
293,196,27
294,196,26
295,197,26
296,198,26
297,198,25
298,198,24
299,198,23
300,197,23
301,196,23
302,196,22
303,196,21
304,195,21
305,194,21
306,193,21
307,192,21
308,192,20
309,192,19
310,192,18
311,193,18
312,194,18
313,195,18
314,196,18
315,196,17
316,196,16
317,197,16
318,198,16
319,199,16
320,199,17
321,198,17
322,197,17
323,197,18
324,197,19
325,196,19
326,195,19
327,194,19
328,193,19
329,192,19
330,192,18
331,192,17
332,191,17
333,190,17
334,190,16
335,190,15
336,190,14
337,190,13
338,189,13
339,188,13
340,187,13
341,186,13
342,186,12
343,186,11
344,185,11
345,184,11
346,184,10
347,184,9
348,184,8
349,184,7
350,183,7
351,183,8
352,183,9
353,183,10
354,183,11
355,183,12
356,183,13
357,183,14
358,183,15
359,183,16
360,184,16
361,185,16
362,185,17
363,185,18
364,186,18
365,187,18
366,188,18
367,189,18
368,189,19
369,189,20
370,190,20
371,191,20
372,191,21
373,190,21
374,189,21
375,188,21
376,188,20
377,188,19
378,187,19
379,186,19
380,186,18
381,186,17
382,186,16
383,187,16
384,187,17
385,187,18
386,187,19
387,186,19
388,185,19
389,184,19
390,183,19
391,182,19
392,181,19
393,180,19
394,179,19
395,179,20
396,179,21
397,178,21
398,177,21
399,177,22
400,177,23
401,177,24
402,177,25
403,177,26
404,177,27
405,176,27
406,175,27
407,174,27
408,173,27
409,172,27
410,172,26
411,173,26
412,174,26
413,174,25
414,174,24
415,175,24
416,175,25
417,175,26
418,176,26
419,177,26
420,178,26
421,179,26
422,180,26
423,181,26
424,182,26
425,182,25
426,182,24
427,182,23
428,181,23
429,180,23
430,179,23
431,178,23
432,178,22
433,179,22
434,180,22
435,180,21
436,180,20
437,181,20
438,181,21
439,181,22
440,182,22
441,183,22
442,184,22
443,185,22
444,186,22
445,187,22
446,187,23
447,187,24
448,188,24
449,189,24
450,190,24
451,191,24
452,191,25
453,191,26
454,192,26
455,193,26
456,194,26
457,195,26
458,195,27
459,194,27
460,193,27
461,192,27
462,192,26
463,192,25
464,192,24
465,193,24
466,193,25
467,193,26
468,193,27
469,192,27
470,191,27
471,190,27
472,189,27
473,188,27
474,188,26
475,189,26
476,190,26
477,190,25
478,189,25
479,188,25
480,187,25
481,186,25
482,186,24
483,186,23
484,185,23
485,184,23
486,183,23
487,183,24
488,183,25
489,183,26
490,184,26
491,185,26
492,185,27
493,184,27
494,183,27
495,182,27
496,181,27
497,180,27
498,179,27
499,178,27
500,177,27
501,176,27
502,176,26
503,176,25
504,176,24
505,176,23
506,176,22
507,176,21
508,175,21
509,174,21
510,173,21
511,172,21
512,171,21
513,171,22
514,171,23
515,171,24
516,171,25
517,170,25
518,169,25
519,168,25
520,167,25
521,166,25
522,165,25
523,164,25
524,164,24
525,164,23
526,164,22
527,164,21
528,164,20
529,165,20
530,166,20
531,166,19
532,165,19
533,164,19
534,163,19
535,162,19
536,161,19
537,160,19
538,159,19
539,159,20
540,159,21
541,158,21
542,157,21
543,156,21
544,155,21
545,154,21
546,153,21
547,152,21
548,151,21
549,150,21
550,150,20
551,150,19
552,149,19
553,148,19
554,147,19
555,146,19
556,145,19
557,144,19
558,143,19
559,142,19
560,141,19
561,140,19
562,139,19
563,138,19
564,138,18
565,138,17
566,138,16
567,138,15
568,138,14
569,138,13
570,137,13
571,136,13
572,136,12
573,136,11
574,135,11
575,134,11
576,133,11
577,132,11
578,131,11
579,130,11
580,129,11
581,129,12
582,129,13
583,129,14
584,130,14
585,131,14
586,131,15
587,131,16
588,131,17
589,130,17
590,129,17
591,128,17
592,127,17
593,127,18
594,127,19
595,127,20
596,127,21
597,126,21
598,125,21
599,124,21
600,123,21
601,122,21
602,122,20
603,122,19
604,121,19
605,120,19
606,120,18
607,120,17
608,119,17
609,118,17
610,117,17
611,116,17
612,115,17
613,114,17
614,114,16
615,114,15
616,113,15
617,112,15
618,112,14
619,112,13
620,112,12
621,112,11
622,112,10
623,112,9
624,111,9
625,110,9
626,109,9
627,109,10
628,109,11
629,108,11
630,107,11
631,107,12
632,107,13
633,106,13
634,105,13
635,104,13
636,104,12
637,104,11
638,104,10
639,104,9
