step,row,col
0,0,0
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,8,0
9,9,0
10,10,0
11,11,0
12,12,0
13,13,0
14,14,0
15,15,0
16,16,0
17,17,0
18,18,0
19,19,0
20,20,0
21,21,0
22,22,0
23,23,0
24,24,0
25,25,0
26,26,0
27,27,0
28,28,0
29,29,0
30,30,0
31,31,0
32,32,0
33,33,0
34,34,0
35,35,0
36,36,0
37,37,0
38,38,0
39,39,0
40,40,0
41,41,0
42,42,0
43,43,0
44,44,0
45,45,0
46,46,0
47,47,0
48,48,0
49,49,0
50,49,1
51,48,1
52,47,1
53,46,1
54,45,1
55,44,1
56,43,1
57,42,1
58,41,1
59,40,1
60,39,1
61,38,1
62,37,1
63,36,1
64,35,1
65,34,1
66,33,1
67,32,1
68,31,1
69,30,1
70,29,1
71,28,1
72,27,1
73,26,1
74,25,1
75,24,1
76,23,1
77,22,1
78,21,1
79,20,1
80,19,1
81,18,1
82,17,1
83,16,1
84,15,1
85,14,1
86,13,1
87,12,1
88,11,1
89,10,1
90,9,1
91,8,1
92,7,1
93,6,1
94,5,1
95,4,1
96,3,1
97,2,1
98,1,1
99,0,1
100,0,2
101,1,2
102,1,3
103,0,3
104,0,4
105,1,4
106,2,4
107,3,4
108,4,4
109,5,4
110,5,5
111,4,5
112,3,5
113,2,5
114,1,5
115,0,5
116,0,4
117,1,4
118,2,4
119,3,4
120,4,4
121,4,3
122,5,3
123,5,2
124,4,2
125,4,3
126,4,4
127,4,5
128,3,5
129,2,5
130,1,5
131,1,6
132,0,6
133,0,7
134,1,7
135,1,8
136,0,8
137,1,8
138,2,8
139,3,8
140,4,8
141,5,8
142,5,9
143,4,9
144,3,9
145,2,9
146,1,9
147,0,9
148,0,8
149,1,8
150,2,8
151,3,8
152,4,8
153,4,7
154,5,7
155,5,6
156,4,6
157,4,7
158,4,8
159,4,9
160,3,9
161,2,9
162,1,9
163,1,10
164,0,10
165,0,11
166,1,11
167,1,12
168,0,12
169,1,12
170,2,12
171,3,12
172,4,12
173,5,12
174,5,13
175,4,13
176,3,13
177,2,13
178,1,13
179,0,13
180,0,12
181,1,12
182,2,12
183,3,12
184,4,12
185,4,11
186,5,11
187,5,10
188,4,10
189,4,11
190,4,12
191,4,13
192,3,13
193,2,13
194,1,13
195,1,14
196,0,14
197,0,15
198,1,15
199,1,16
200,0,16
201,1,16
202,2,16
203,3,16
204,4,16
205,5,16
206,5,17
207,4,17
208,3,17
209,2,17
210,1,17
211,0,17
212,0,16
213,1,16
214,2,16
215,3,16
216,4,16
217,4,15
218,5,15
219,5,14
220,4,14
221,4,15
222,4,16
223,4,17
224,3,17
225,2,17
226,1,17
227,1,18
228,0,18
229,0,19
230,1,19
231,1,20
232,0,20
233,1,20
234,2,20
235,3,20
236,4,20
237,5,20
238,5,21
239,4,21
240,3,21
241,2,21
242,1,21
243,0,21
244,0,20
245,1,20
246,2,20
247,3,20
248,4,20
249,4,19
250,5,19
251,5,18
252,4,18
253,4,19
254,4,20
255,4,21
256,3,21
257,2,21
258,1,21
259,1,22
260,0,22
261,0,23
262,1,23
263,1,24
264,0,24
265,1,24
266,2,24
267,3,24
268,4,24
269,5,24
270,5,25
271,4,25
272,3,25
273,2,25
274,1,25
275,0,25
276,0,24
277,1,24
278,2,24
279,3,24
280,4,24
281,4,23
282,5,23
283,5,22
284,4,22
285,4,23
286,4,24
287,4,25
288,3,25
289,2,25
290,1,25
291,1,26
292,0,26
293,0,27
294,1,27
295,1,28
296,0,28
297,1,28
298,2,28
299,3,28
300,4,28
301,5,28
302,5,29
303,4,29
304,3,29
305,2,29
306,1,29
307,0,29
308,0,28
309,1,28
310,2,28
311,3,28
312,4,28
313,4,27
314,5,27
315,5,26
316,4,26
317,4,27
318,4,28
319,4,29
320,3,29
321,2,29
322,1,29
323,1,30
324,0,30
325,0,31
326,1,31
327,1,32
328,0,32
329,1,32
330,2,32
331,3,32
332,4,32
333,5,32
334,5,33
335,4,33
336,3,33
337,2,33
338,1,33
339,0,33
340,0,32
341,1,32
342,2,32
343,3,32
344,4,32
345,4,31
346,5,31
347,5,30
348,4,30
349,4,31
350,4,32
351,4,33
352,3,33
353,2,33
354,1,33
355,1,34
356,0,34
357,0,35
358,1,35
359,1,36
360,0,36
361,1,36
362,2,36
363,3,36
364,4,36
365,5,36
366,5,37
367,4,37
368,3,37
369,2,37
370,1,37
371,0,37
372,0,36
373,1,36
374,2,36
375,3,36
376,4,36
377,4,35
378,5,35
379,5,34
380,4,34
381,4,35
382,4,36
383,4,37
384,3,37
385,2,37
386,1,37
387,1,38
388,0,38
389,0,39
390,1,39
391,1,40
392,0,40
393,1,40
394,2,40
395,3,40
396,4,40
397,5,40
398,5,41
399,4,41
400,3,41
401,2,41
402,1,41
403,0,41
404,0,40
405,1,40
406,2,40
407,3,40
408,4,40
409,4,39
410,5,39
411,5,38
412,4,38
413,4,39
414,4,40
415,4,41
416,3,41
417,2,41
418,1,41
419,1,42
420,0,42
421,0,43
422,1,43
423,1,44
424,0,44
425,1,44
426,2,44
427,3,44
428,4,44
429,5,44
430,5,45
431,4,45
432,3,45
433,2,45
434,1,45
435,0,45
436,0,44
437,1,44
438,2,44
439,3,44
440,4,44
441,4,43
442,5,43
443,5,42
444,4,42
445,4,43
446,4,44
447,4,45
448,3,45
449,2,45
450,1,45
451,1,46
452,0,46
453,0,47
454,1,47
455,1,48
456,0,48
457,1,48
458,2,48
459,3,48
460,4,48
461,5,48
462,5,49
463,4,49
464,3,49
465,2,49
466,1,49
467,0,49
468,0,48
469,1,48
470,2,48
471,3,48
472,4,48
473,4,47
474,5,47
475,5,46
476,4,46
477,4,45
478,4,44
479,4,43
480,4,42
481,4,41
482,4,40
483,4,39
484,4,38
485,4,37
486,4,36
487,4,35
488,4,34
489,4,33
490,4,32
491,4,31
492,4,30
493,4,29
494,4,28
495,4,27
496,4,26
497,4,25
498,4,24
499,4,23
500,4,22
501,4,21
502,4,20
503,4,19
504,4,18
505,4,17
506,4,16
507,4,15
508,4,14
509,4,13
510,4,12
511,4,11
512,4,10
513,4,9
514,4,8
515,4,7
516,4,6
517,4,5
518,4,4
519,4,3
520,4,2
521,4,1
522,5,1
523,6,1
524,7,1
525,8,1
526,8,2
527,8,3
528,9,3
529,9,2
530,9,3
531,9,4
532,8,4
533,9,4
534,10,4
535,11,4
536,12,4
537,13,4
538,13,5
539,12,5
540,11,5
541,10,5
542,9,5
543,8,5
544,8,4
545,9,4
546,10,4
547,11,4
548,12,4
549,12,3
550,13,3
551,13,2
552,12,2
553,12,3
554,12,4
555,12,5
556,11,5
557,10,5
558,9,5
559,9,6
560,8,6
561,8,7
562,9,7
563,9,8
564,8,8
565,9,8
566,10,8
567,11,8
568,12,8
569,13,8
570,13,9
571,12,9
572,11,9
573,10,9
574,9,9
575,8,9
576,8,8
577,9,8
578,10,8
579,11,8
580,12,8
581,12,7
582,13,7
583,13,6
584,12,6
585,12,7
586,12,8
587,12,9
588,11,9
589,10,9
590,9,9
591,9,10
592,8,10
593,8,11
594,9,11
595,9,12
596,8,12
597,9,12
598,10,12
599,11,12
600,12,12
601,13,12
602,13,13
603,12,13
604,11,13
605,10,13
606,9,13
607,8,13
608,8,12
609,9,12
610,10,12
611,11,12
612,12,12
613,12,11
614,13,11
615,13,10
616,12,10
617,12,11
618,12,12
619,12,13
620,11,13
621,10,13
622,9,13
623,9,14
624,8,14
625,8,15
626,9,15
627,9,16
628,8,16
629,9,16
630,10,16
631,11,16
632,12,16
633,13,16
634,13,17
635,12,17
636,11,17
637,10,17
638,9,17
639,8,17
