step,row,col
0,0,0
1,1,0
2,0,0
3,0,1
4,0,2
5,1,2
6,1,3
7,1,2
8,0,2
9,0,1
10,0,0
11,1,0
12,2,0
13,2,1
14,2,0
15,1,0
16,2,0
17,3,0
18,3,1
19,3,0
20,3,1
21,3,0
22,4,0
23,3,0
24,2,0
25,2,1
26,1,1
27,2,1
28,2,0
29,2,1
30,1,1
31,1,0
32,2,0
33,1,0
34,1,1
35,0,1
36,0,2
37,1,2
38,1,1
39,2,1
40,1,1
41,0,1
42,1,1
43,1,2
44,1,1
45,1,2
46,0,2
47,0,3
48,0,4
49,0,5
50,1,5
51,2,5
52,2,4
53,3,4
54,2,4
55,2,5
56,1,5
57,1,4
58,1,3
59,1,2
60,1,3
61,0,3
62,1,3
63,1,2
64,0,2
65,0,1
66,0,2
67,1,2
68,1,3
69,1,2
70,1,3
71,0,3
72,1,3
73,1,2
74,1,3
75,0,3
76,1,3
77,0,3
78,0,2
79,0,3
80,0,2
81,1,2
82,1,3
83,0,3
84,0,4
85,0,5
86,0,6
87,1,6
88,1,7
89,1,6
90,1,7
91,1,8
92,1,9
93,0,9
94,1,9
95,2,9
96,2,8
97,3,8
98,4,8
99,5,8
100,5,9
101,5,8
102,4,8
103,4,9
104,5,9
105,4,9
106,4,8
107,3,8
108,3,9
109,4,9
110,4,8
111,3,8
112,3,9
113,4,9
114,5,9
115,5,10
116,4,10
117,4,9
118,3,9
119,2,9
120,1,9
121,1,8
122,1,7
123,1,6
124,1,5
125,0,5
126,0,6
127,0,7
128,0,6
129,1,6
130,1,7
131,0,7
132,0,6
133,0,5
134,0,4
135,1,4
136,1,5
137,0,5
138,1,5
139,1,4
140,1,3
141,1,4
142,2,4
143,3,4
144,4,4
145,5,4
146,4,4
147,5,4
148,5,3
149,4,3
150,4,2
151,4,1
152,4,2
153,4,1
154,4,2
155,4,1
156,3,1
157,4,1
158,4,2
159,4,3
160,5,3
161,5,2
162,5,3
163,4,3
164,4,2
165,5,2
166,5,1
167,6,1
168,7,1
169,6,1
170,7,1
171,8,1
172,7,1
173,8,1
174,8,0
175,7,0
176,8,0
177,7,0
178,6,0
179,7,0
180,7,1
181,8,1
182,8,2
183,8,1
184,9,1
185,9,0
186,8,0
187,7,0
188,8,0
189,9,0
190,9,1
191,9,0
192,9,1
193,9,2
194,9,1
195,9,2
196,9,3
197,8,3
198,8,2
199,8,3
200,8,2
201,8,1
202,8,2
203,9,2
204,8,2
205,8,1
206,9,1
207,10,1
208,11,1
209,10,1
210,10,0
211,9,0
212,10,0
213,10,1
214,11,1
215,12,1
216,12,2
217,12,3
218,13,3
219,13,2
220,13,1
221,13,0
222,14,0
223,14,1
224,14,0
225,14,1
226,15,1
227,16,1
228,15,1
229,14,1
230,14,0
231,13,0
232,14,0
233,14,1
234,14,0
235,13,0
236,13,1
237,12,1
238,12,2
239,12,1
240,13,1
241,14,1
242,14,0
243,15,0
244,14,0
245,15,0
246,16,0
247,17,0
248,16,0
249,17,0
250,17,1
251,18,1
252,17,1
253,18,1
254,17,1
255,17,0
256,17,1
257,16,1
258,15,1
259,16,1
260,16,2
261,16,1
262,17,1
263,17,2
264,17,3
265,17,2
266,16,2
267,17,2
268,17,1
269,16,1
270,16,2
271,16,3
272,17,3
273,17,2
274,17,1
275,18,1
276,18,0
277,17,0
278,17,1
279,17,2
280,17,1
281,16,1
282,16,0
283,16,1
284,16,2
285,16,1
286,16,2
287,17,2
288,17,1
289,16,1
290,16,0
291,16,1
292,17,1
293,17,0
294,18,0
295,17,0
296,18,0
297,18,1
298,17,1
299,17,0
300,17,1
301,18,1
302,19,1
303,19,0
304,19,1
305,19,0
306,18,0
307,17,0
308,17,1
309,17,0
310,18,0
311,17,0
312,17,1
313,18,1
314,17,1
315,16,1
316,16,0
317,16,1
318,15,1
319,16,1
320,15,1
321,16,1
322,15,1
323,15,0
324,14,0
325,15,0
326,16,0
327,15,0
328,14,0
329,14,1
330,14,0
331,13,0
332,13,1
333,13,2
334,13,3
335,13,4
336,12,4
337,13,4
338,13,3
339,13,2
340,13,3
341,12,3
342,13,3
343,13,2
344,13,3
345,13,2
346,13,1
347,13,0
348,12,0
349,12,1
350,12,0
351,11,0
352,10,0
353,9,0
354,8,0
355,7,0
356,8,0
357,8,1
358,9,1
359,9,0
360,9,1
361,9,0
362,9,1
363,9,0
364,10,0
365,10,1
366,11,1
367,11,0
368,11,1
369,12,1
370,13,1
371,14,1
372,14,0
373,14,1
374,13,1
375,13,0
376,12,0
377,11,0
378,11,1
379,12,1
380,13,1
381,13,2
382,12,2
383,12,1
384,13,1
385,14,1
386,15,1
387,14,1
388,14,0
389,15,0
390,15,1
391,15,0
392,15,1
393,15,0
394,16,0
395,17,0
396,18,0
397,19,0
398,19,1
399,18,1
400,19,1
401,19,0
402,18,0
403,18,1
404,18,0
405,17,0
406,17,1
407,17,0
408,18,0
409,19,0
410,20,0
411,21,0
412,20,0
413,21,0
414,21,1
415,20,1
416,20,2
417,21,2
418,21,3
419,21,4
420,20,4
421,20,3
422,20,4
423,21,4
424,21,3
425,21,4
426,20,4
427,19,4
428,18,4
429,19,4
430,19,5
431,19,4
432,19,5
433,20,5
434,19,5
435,19,4
436,18,4
437,17,4
438,17,5
439,18,5
440,19,5
441,20,5
442,20,6
443,20,5
444,20,4
445,19,4
446,19,5
447,20,5
448,20,4
449,19,4
450,20,4
451,19,4
452,18,4
453,17,4
454,17,5
455,16,5
456,16,6
457,16,7
458,16,6
459,17,6
460,17,7
461,17,8
462,17,7
463,17,6
464,17,5
465,17,4
466,17,5
467,16,5
468,17,5
469,17,4
470,16,4
471,16,5
472,16,6
473,17,6
474,17,5
475,17,4
476,16,4
477,17,4
478,17,3
479,16,3
480,16,4
481,17,4
482,18,4
483,19,4
484,20,4
485,20,5
486,19,5
487,20,5
488,20,4
489,20,5
490,20,6
491,20,5
492,20,6
493,20,5
494,21,5
495,21,6
496,21,5
497,20,5
498,20,6
499,21,6
500,20,6
501,20,5
502,20,4
503,21,4
504,20,4
505,19,4
506,18,4
507,17,4
508,17,5
509,16,5
510,16,6
511,16,7
512,17,7
513,17,8
514,17,9
515,17,10
516,17,9
517,17,8
518,18,8
519,17,8
520,18,8
521,18,9
522,19,9
523,18,9
524,19,9
525,18,9
526,17,9
527,16,9
528,16,10
529,16,11
530,16,12
531,16,11
532,16,12
533,17,12
534,16,12
535,16,13
536,17,13
537,18,13
538,19,13
539,20,13
540,19,13
541,18,13
542,17,13
543,18,13
544,19,13
545,18,13
546,17,13
547,17,12
548,17,13
549,18,13
550,19,13
551,19,12
552,18,12
553,18,13
554,17,13
555,16,13
556,16,14
557,16,15
558,16,14
559,16,13
560,16,14
561,16,13
562,16,14
563,16,13
564,16,14
565,16,15
566,17,15
567,16,15
568,17,15
569,17,16
570,17,17
571,17,18
572,16,18
573,16,19
574,17,19
575,16,19
576,17,19
577,16,19
578,16,20
579,16,19
580,16,20
581,16,21
582,16,22
583,16,23
584,16,22
585,16,23
586,16,24
587,16,25
588,17,25
589,16,25
590,16,24
591,17,24
592,17,23
593,17,24
594,18,24
595,17,24
596,17,25
597,18,25
598,19,25
599,18,25
600,17,25
601,16,25
602,17,25
603,17,26
604,17,27
605,17,28
606,17,27
607,17,28
608,17,29
609,16,29
610,16,30
611,16,29
612,16,30
613,16,29
614,16,30
615,17,30
616,16,30
617,16,29
618,17,29
619,16,29
620,16,28
621,16,29
622,16,30
623,16,29
624,17,29
625,18,29
626,19,29
627,20,29
628,20,30
629,20,29
630,20,30
631,20,31
632,20,32
633,21,32
634,21,33
635,21,32
636,21,31
637,21,32
638,21,31
639,21,32
