step,row,col
0,0,0
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,8,0
9,9,0
10,10,0
11,11,0
12,12,0
13,13,0
14,14,0
15,15,0
16,16,0
17,17,0
18,18,0
19,19,0
20,20,0
21,21,0
22,22,0
23,23,0
24,24,0
25,25,0
26,26,0
27,27,0
28,28,0
29,29,0
30,30,0
31,31,0
32,32,0
33,33,0
34,34,0
35,35,0
36,36,0
37,37,0
38,38,0
39,39,0
40,40,0
41,41,0
42,42,0
43,43,0
44,44,0
45,45,0
46,46,0
47,47,0
48,48,0
49,49,0
50,49,1
51,48,1
52,47,1
53,46,1
54,45,1
55,45,2
56,45,3
57,45,4
58,45,5
59,45,6
60,45,7
61,45,8
62,45,9
63,45,10
64,45,11
65,45,12
66,45,13
67,45,14
68,45,15
69,45,16
70,45,17
71,45,18
72,45,19
73,45,20
74,45,21
75,45,22
76,45,23
77,45,24
78,45,25
79,45,26
80,45,27
81,45,28
82,45,29
83,45,30
84,45,31
85,45,32
86,45,33
87,45,34
88,45,35
89,45,36
90,45,37
91,45,38
92,45,39
93,45,40
94,45,41
95,45,42
96,45,43
97,45,44
98,45,45
99,45,46
100,45,47
101,45,48
102,45,49
103,44,49
104,43,49
105,42,49
106,41,49
107,40,49
108,40,48
109,40,47
110,40,46
111,40,45
112,40,44
113,41,44
114,42,44
115,43,44
116,43,45
117,42,45
118,41,45
119,40,45
120,40,44
121,40,43
122,40,42
123,40,41
124,40,40
125,41,40
126,42,40
127,43,40
128,43,41
129,42,41
130,41,41
131,40,41
132,40,40
133,40,39
134,40,38
135,40,37
136,40,36
137,41,36
138,42,36
139,43,36
140,43,37
141,42,37
142,41,37
143,40,37
144,40,36
145,40,35
146,40,34
147,40,33
148,40,32
149,41,32
150,42,32
151,43,32
152,43,33
153,42,33
154,41,33
155,40,33
156,40,32
157,40,31
158,40,30
159,40,29
160,40,28
161,41,28
162,42,28
163,43,28
164,43,29
165,42,29
166,41,29
167,40,29
168,40,28
169,40,27
170,40,26
171,40,25
172,40,24
173,41,24
174,42,24
175,43,24
176,43,25
177,42,25
178,41,25
179,40,25
180,40,24
181,40,23
182,40,22
183,40,21
184,40,20
185,41,20
186,42,20
187,43,20
188,43,21
189,42,21
190,41,21
191,40,21
192,40,20
193,40,19
194,40,18
195,40,17
196,40,16
197,41,16
198,42,16
199,43,16
200,43,17
201,42,17
202,41,17
203,40,17
204,40,16
205,40,15
206,40,14
207,40,13
208,40,12
209,41,12
210,42,12
211,43,12
212,43,13
213,42,13
214,41,13
215,40,13
216,40,12
217,40,11
218,40,10
219,40,9
220,40,8
221,41,8
222,42,8
223,43,8
224,43,9
225,42,9
226,41,9
227,40,9
228,40,8
229,40,7
230,40,6
231,40,5
232,40,4
233,41,4
234,42,4
235,43,4
236,43,5
237,42,5
238,41,5
239,40,5
240,40,4
241,40,3
242,40,2
243,41,2
244,41,3
245,41,4
246,41,5
247,41,6
248,41,7
249,41,8
250,41,9
251,41,10
252,41,11
253,41,12
254,41,13
255,41,14
256,41,15
257,41,16
258,41,17
259,41,18
260,41,19
261,41,20
262,41,21
263,41,22
264,41,23
265,41,24
266,41,25
267,41,26
268,41,27
269,41,28
270,41,29
271,41,30
272,41,31
273,41,32
274,41,33
275,41,34
276,41,35
277,41,36
278,41,37
279,41,38
280,41,39
281,41,40
282,41,41
283,41,42
284,41,43
285,41,44
286,41,45
287,41,46
288,41,47
289,41,48
290,42,48
291,43,48
292,44,48
293,44,47
294,44,46
295,44,45
296,44,44
297,44,43
298,44,42
299,44,41
300,44,40
301,44,39
302,44,38
303,44,37
304,44,36
305,44,35
306,44,34
307,44,33
308,44,32
309,44,31
310,44,30
311,44,29
312,44,28
313,44,27
314,44,26
315,44,25
316,44,24
317,44,23
318,44,22
319,44,21
320,44,20
321,44,19
322,44,18
323,44,17
324,44,16
325,44,15
326,44,14
327,44,13
328,44,12
329,44,11
330,44,10
331,44,9
332,44,8
333,44,7
334,44,6
335,44,5
336,44,4
337,44,3
338,44,2
339,44,1
340,43,1
341,42,1
342,41,1
343,40,1
344,39,1
345,38,1
346,37,1
347,37,2
348,37,3
349,37,4
350,37,5
351,37,6
352,37,7
353,37,8
354,37,9
355,37,10
356,37,11
357,37,12
358,37,13
359,37,14
360,37,15
361,37,16
362,37,17
363,37,18
364,37,19
365,37,20
366,37,21
367,37,22
368,37,23
369,37,24
370,37,25
371,37,26
372,37,27
373,37,28
374,37,29
375,37,30
376,37,31
377,37,32
378,37,33
379,37,34
380,37,35
381,37,36
382,37,37
383,37,38
384,37,39
385,37,40
386,37,41
387,37,42
388,37,43
389,37,44
390,37,45
391,37,46
392,37,47
393,37,48
394,37,49
395,36,49
396,35,49
397,34,49
398,33,49
399,32,49
400,32,48
401,32,47
402,32,46
403,32,45
404,32,44
405,33,44
406,34,44
407,35,44
408,35,45
409,34,45
410,33,45
411,32,45
412,32,44
413,32,43
414,32,42
415,32,41
416,32,40
417,33,40
418,34,40
419,35,40
420,35,41
421,34,41
422,33,41
423,32,41
424,32,40
425,32,39
426,32,38
427,32,37
428,32,36
429,33,36
430,34,36
431,35,36
432,35,37
433,34,37
434,33,37
435,32,37
436,32,36
437,32,35
438,32,34
439,32,33
440,32,32
441,33,32
442,34,32
443,35,32
444,35,33
445,34,33
446,33,33
447,32,33
448,32,32
449,32,31
450,32,30
451,32,29
452,32,28
453,33,28
454,34,28
455,35,28
456,35,29
457,34,29
458,33,29
459,32,29
460,32,28
461,32,27
462,32,26
463,32,25
464,32,24
465,33,24
466,34,24
467,35,24
468,35,25
469,34,25
470,33,25
471,32,25
472,32,24
473,32,23
474,32,22
475,32,21
476,32,20
477,33,20
478,34,20
479,35,20
480,35,21
481,34,21
482,33,21
483,32,21
484,32,20
485,32,19
486,32,18
487,32,17
488,32,16
489,33,16
490,34,16
491,35,16
492,35,17
493,34,17
494,33,17
495,32,17
496,32,16
497,32,15
498,32,14
499,32,13
500,32,12
501,33,12
502,34,12
503,35,12
504,35,13
505,34,13
506,33,13
507,32,13
508,32,12
509,32,11
510,32,10
511,32,9
512,32,8
513,33,8
514,34,8
515,35,8
516,35,9
517,34,9
518,33,9
519,32,9
520,32,8
521,32,7
522,32,6
523,32,5
524,32,4
525,33,4
526,34,4
527,35,4
528,35,5
529,34,5
530,33,5
531,32,5
532,32,4
533,32,3
534,32,2
535,33,2
536,33,3
537,33,4
538,33,5
539,33,6
540,33,7
541,33,8
542,33,9
543,33,10
544,33,11
545,33,12
546,33,13
547,33,14
548,33,15
549,33,16
550,33,17
551,33,18
552,33,19
553,33,20
554,33,21
555,33,22
556,33,23
557,33,24
558,33,25
559,33,26
560,33,27
561,33,28
562,33,29
563,33,30
564,33,31
565,33,32
566,33,33
567,33,34
568,33,35
569,33,36
570,33,37
571,33,38
572,33,39
573,33,40
574,33,41
575,33,42
576,33,43
577,33,44
578,33,45
579,33,46
580,33,47
581,33,48
582,34,48
583,35,48
584,36,48
585,36,47
586,36,46
587,36,45
588,36,44
589,36,43
590,36,42
591,36,41
592,36,40
593,36,39
594,36,38
595,36,37
596,36,36
597,36,35
598,36,34
599,36,33
600,36,32
601,36,31
602,36,30
603,36,29
604,36,28
605,36,27
606,36,26
607,36,25
608,36,24
609,36,23
610,36,22
611,36,21
612,36,20
613,36,19
614,36,18
615,36,17
616,36,16
617,36,15
618,36,14
619,36,13
620,36,12
621,36,11
622,36,10
623,36,9
624,36,8
625,36,7
626,36,6
627,36,5
628,36,4
629,36,3
630,36,2
631,36,1
632,35,1
633,34,1
634,33,1
635,32,1
636,31,1
637,30,1
638,29,1
639,29,2
