step,row,col
0,0,0
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,8,0
9,9,0
10,10,0
11,11,0
12,12,0
13,13,0
14,14,0
15,15,0
16,16,0
17,17,0
18,18,0
19,19,0
20,20,0
21,21,0
22,22,0
23,23,0
24,24,0
25,25,0
26,26,0
27,27,0
28,28,0
29,29,0
30,30,0
31,31,0
32,32,0
33,33,0
34,34,0
35,35,0
36,36,0
37,37,0
38,38,0
39,39,0
40,40,0
41,41,0
42,42,0
43,43,0
44,44,0
45,45,0
46,46,0
47,47,0
48,48,0
49,49,0
50,49,1
51,48,1
52,47,1
53,46,1
54,45,1
55,45,2
56,45,3
57,45,4
58,45,5
59,45,6
60,45,7
61,45,8
62,45,9
63,45,10
64,45,11
65,45,12
66,45,13
67,45,14
68,45,15
69,45,16
70,45,17
71,45,18
72,45,19
73,45,20
74,45,21
75,45,22
76,45,23
77,45,24
78,45,25
79,45,26
80,45,27
81,45,28
82,45,29
83,45,30
84,45,31
85,45,32
86,45,33
87,45,34
88,45,35
89,45,36
90,45,37
91,45,38
92,45,39
93,45,40
94,45,41
95,45,42
96,45,43
97,45,44
98,45,45
99,45,46
100,45,47
101,45,48
102,45,49
103,44,49
104,43,49
105,42,49
106,41,49
107,40,49
108,40,48
109,40,47
110,40,46
111,40,45
112,40,44
113,40,43
114,40,42
115,40,41
116,40,40
117,40,39
118,40,38
119,40,37
120,40,36
121,40,35
122,40,34
123,40,33
124,40,32
125,40,31
126,40,30
127,40,29
128,40,28
129,40,27
130,40,26
131,40,25
132,40,24
133,40,23
134,40,22
135,40,21
136,40,20
137,40,19
138,40,18
139,40,17
140,40,16
141,40,15
142,40,14
143,40,13
144,40,12
145,40,11
146,40,10
147,40,9
148,40,8
149,40,7
150,40,6
151,40,5
152,40,4
153,41,4
154,42,4
155,43,4
156,43,5
157,42,5
158,41,5
159,40,5
160,40,4
161,40,3
162,40,2
163,41,2
164,41,3
165,41,4
166,41,5
167,41,6
168,41,7
169,41,8
170,42,8
171,43,8
172,43,9
173,42,9
174,41,9
175,41,10
176,41,11
177,41,12
178,42,12
179,43,12
180,43,13
181,42,13
182,41,13
183,41,14
184,41,15
185,41,16
186,42,16
187,43,16
188,43,17
189,42,17
190,41,17
191,41,18
192,41,19
193,41,20
194,42,20
195,43,20
196,43,21
197,42,21
198,41,21
199,41,22
200,41,23
201,41,24
202,42,24
203,43,24
204,43,25
205,42,25
206,41,25
207,41,26
208,41,27
209,41,28
210,42,28
211,43,28
212,43,29
213,42,29
214,41,29
215,41,30
216,41,31
217,41,32
218,42,32
219,43,32
220,43,33
221,42,33
222,41,33
223,41,34
224,41,35
225,41,36
226,42,36
227,43,36
228,43,37
229,42,37
230,41,37
231,41,38
232,41,39
233,41,40
234,42,40
235,43,40
236,43,41
237,42,41
238,41,41
239,41,42
240,41,43
241,41,44
242,42,44
243,43,44
244,43,45
245,42,45
246,41,45
247,41,46
248,41,47
249,41,48
250,42,48
251,43,48
252,44,48
253,44,47
254,44,46
255,44,45
256,44,44
257,44,43
258,44,42
259,44,41
260,44,40
261,44,39
262,44,38
263,44,37
264,44,36
265,44,35
266,44,34
267,44,33
268,44,32
269,44,31
270,44,30
271,44,29
272,44,28
273,44,27
274,44,26
275,44,25
276,44,24
277,44,23
278,44,22
279,44,21
280,44,20
281,44,19
282,44,18
283,44,17
284,44,16
285,44,15
286,44,14
287,44,13
288,44,12
289,44,11
290,44,10
291,44,9
292,44,8
293,44,7
294,44,6
295,44,5
296,44,4
297,44,3
298,44,2
299,44,1
300,43,1
301,42,1
302,41,1
303,40,1
304,39,1
305,38,1
306,37,1
307,37,2
308,37,3
309,37,4
310,37,5
311,37,6
312,37,7
313,37,8
314,37,9
315,37,10
316,37,11
317,37,12
318,37,13
319,37,14
320,37,15
321,37,16
322,37,17
323,37,18
324,37,19
325,37,20
326,37,21
327,37,22
328,37,23
329,37,24
330,37,25
331,37,26
332,37,27
333,37,28
334,37,29
335,37,30
336,37,31
337,37,32
338,37,33
339,37,34
340,37,35
341,37,36
342,37,37
343,37,38
344,37,39
345,37,40
346,37,41
347,37,42
348,37,43
349,37,44
350,37,45
351,37,46
352,37,47
353,37,48
354,37,49
355,36,49
356,35,49
357,34,49
358,33,49
359,32,49
360,32,48
361,32,47
362,32,46
363,32,45
364,32,44
365,32,43
366,32,42
367,32,41
368,32,40
369,32,39
370,32,38
371,32,37
372,32,36
373,32,35
374,32,34
375,32,33
376,32,32
377,32,31
378,32,30
379,32,29
380,32,28
381,32,27
382,32,26
383,32,25
384,32,24
385,32,23
386,32,22
387,32,21
388,32,20
389,32,19
390,32,18
391,32,17
392,32,16
393,32,15
394,32,14
395,32,13
396,32,12
397,32,11
398,32,10
399,32,9
400,32,8
401,32,7
402,32,6
403,32,5
404,32,4
405,33,4
406,34,4
407,35,4
408,35,5
409,34,5
410,33,5
411,32,5
412,32,4
413,32,3
414,32,2
415,33,2
416,33,3
417,33,4
418,33,5
419,33,6
420,33,7
421,33,8
422,34,8
423,35,8
424,35,9
425,34,9
426,33,9
427,33,10
428,33,11
429,33,12
430,34,12
431,35,12
432,35,13
433,34,13
434,33,13
435,33,14
436,33,15
437,33,16
438,34,16
439,35,16
440,35,17
441,34,17
442,33,17
443,33,18
444,33,19
445,33,20
446,34,20
447,35,20
448,35,21
449,34,21
450,33,21
451,33,22
452,33,23
453,33,24
454,34,24
455,35,24
456,35,25
457,34,25
458,33,25
459,33,26
460,33,27
461,33,28
462,34,28
463,35,28
464,35,29
465,34,29
466,33,29
467,33,30
468,33,31
469,33,32
470,34,32
471,35,32
472,35,33
473,34,33
474,33,33
475,33,34
476,33,35
477,33,36
478,34,36
479,35,36
480,35,37
481,34,37
482,33,37
483,33,38
484,33,39
485,33,40
486,34,40
487,35,40
488,35,41
489,34,41
490,33,41
491,33,42
492,33,43
493,33,44
494,34,44
495,35,44
496,35,45
497,34,45
498,33,45
499,33,46
500,33,47
501,33,48
502,34,48
503,35,48
504,36,48
505,36,47
506,36,46
507,36,45
508,36,44
509,36,43
510,36,42
511,36,41
512,36,40
513,36,39
514,36,38
515,36,37
516,36,36
517,36,35
518,36,34
519,36,33
520,36,32
521,36,31
522,36,30
523,36,29
524,36,28
525,36,27
526,36,26
527,36,25
528,36,24
529,36,23
530,36,22
531,36,21
532,36,20
533,36,19
534,36,18
535,36,17
536,36,16
537,36,15
538,36,14
539,36,13
540,36,12
541,36,11
542,36,10
543,36,9
544,36,8
545,36,7
546,36,6
547,36,5
548,36,4
549,36,3
550,36,2
551,36,1
552,35,1
553,34,1
554,33,1
555,32,1
556,31,1
557,30,1
558,29,1
559,29,2
560,29,3
561,29,4
562,29,5
563,29,6
564,29,7
565,29,8
566,29,9
567,29,10
568,29,11
569,29,12
570,29,13
571,29,14
572,29,15
573,29,16
574,29,17
575,29,18
576,29,19
577,29,20
578,29,21
579,29,22
580,29,23
581,29,24
582,29,25
583,29,26
584,29,27
585,29,28
586,29,29
587,29,30
588,29,31
589,29,32
590,29,33
591,29,34
592,29,35
593,29,36
594,29,37
595,29,38
596,29,39
597,29,40
598,29,41
599,29,42
600,29,43
601,29,44
602,29,45
603,29,46
604,29,47
605,29,48
606,29,49
607,28,49
608,27,49
609,26,49
610,25,49
611,24,49
612,24,48
613,24,47
614,24,46
615,24,45
616,24,44
617,24,43
618,24,42
619,24,41
620,24,40
621,24,39
622,24,38
623,24,37
624,24,36
625,24,35
626,24,34
627,24,33
628,24,32
629,24,31
630,24,30
631,24,29
632,24,28
633,24,27
634,24,26
635,24,25
636,24,24
637,24,23
638,24,22
639,24,21
