step,row,col
0,0,0
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,0,8
9,0,9
10,0,10
11,0,11
12,0,12
13,0,13
14,0,14
15,0,15
16,0,16
17,0,17
18,0,18
19,0,19
20,0,20
21,0,21
22,0,22
23,0,23
24,0,24
25,0,25
26,0,26
27,0,27
28,0,28
29,0,29
30,0,30
31,0,31
32,0,32
33,0,33
34,0,34
35,0,35
36,0,36
37,0,37
38,0,38
39,0,39
40,0,40
41,0,41
42,0,42
43,0,43
44,0,44
45,0,45
46,0,46
47,0,47
48,0,48
49,0,49
50,1,49
51,1,48
52,1,47
53,1,46
54,1,45
55,1,44
56,1,43
57,1,42
58,1,41
59,1,40
60,1,39
61,1,38
62,1,37
63,1,36
64,1,35
65,1,34
66,1,33
67,1,32
68,1,31
69,1,30
70,1,29
71,1,28
72,1,27
73,1,26
74,1,25
75,1,24
76,1,23
77,1,22
78,1,21
79,1,20
80,1,19
81,1,18
82,1,17
83,1,16
84,1,15
85,1,14
86,1,13
87,1,12
88,1,11
89,1,10
90,1,9
91,1,8
92,1,7
93,1,6
94,1,5
95,1,4
96,1,3
97,1,2
98,1,1
99,1,0
100,2,0
101,2,1
102,2,2
103,2,3
104,2,4
105,2,5
106,2,6
107,2,7
108,2,8
109,2,9
110,2,10
111,2,11
112,2,12
113,2,13
114,2,14
115,2,15
116,2,16
117,2,17
118,2,18
119,2,19
120,2,20
121,2,21
122,2,22
123,2,23
124,2,24
125,2,25
126,2,26
127,2,27
128,2,28
129,2,29
130,2,30
131,2,31
132,2,32
133,2,33
134,2,34
135,2,35
136,2,36
137,2,37
138,2,38
139,2,39
140,2,40
141,2,41
142,2,42
143,2,43
144,2,44
145,2,45
146,2,46
147,2,47
148,2,48
149,2,49
150,3,49
151,3,48
152,3,47
153,3,46
154,3,45
155,3,44
156,3,43
157,3,42
158,3,41
159,3,40
160,3,39
161,3,38
162,3,37
163,3,36
164,3,35
165,3,34
166,3,33
167,3,32
168,3,31
169,3,30
170,3,29
171,3,28
172,3,27
173,3,26
174,3,25
175,3,24
176,3,23
177,3,22
178,3,21
179,3,20
180,3,19
181,3,18
182,3,17
183,3,16
184,3,15
185,3,14
186,3,13
187,3,12
188,3,11
189,3,10
190,3,9
191,3,8
192,3,7
193,3,6
194,3,5
195,3,4
196,3,3
197,3,2
198,3,1
199,3,0
200,4,0
201,4,1
202,4,2
203,4,3
204,5,3
205,5,2
206,5,1
207,5,0
208,6,0
209,6,1
210,6,2
211,6,3
212,7,3
213,7,2
214,7,1
215,7,0
216,8,0
217,8,1
218,8,2
219,8,3
220,8,4
221,8,5
222,8,6
223,8,7
224,8,8
225,8,9
226,8,10
227,8,11
228,8,12
229,8,13
230,8,14
231,8,15
232,8,16
233,8,17
234,8,18
235,8,19
236,8,20
237,8,21
238,8,22
239,8,23
240,8,24
241,8,25
242,8,26
243,8,27
244,8,28
245,8,29
246,8,30
247,8,31
248,8,32
249,8,33
250,8,34
251,8,35
252,8,36
253,8,37
254,8,38
255,8,39
256,8,40
257,8,41
258,8,42
259,8,43
260,8,44
261,8,45
262,8,46
263,8,47
264,8,48
265,8,49
266,9,49
267,9,48
268,9,47
269,9,46
270,9,45
271,9,44
272,9,43
273,9,42
274,9,41
275,9,40
276,9,39
277,9,38
278,9,37
279,9,36
280,9,35
281,9,34
282,9,33
283,9,32
284,9,31
285,9,30
286,9,29
287,9,28
288,9,27
289,9,26
290,9,25
291,9,24
292,9,23
293,9,22
294,9,21
295,9,20
296,9,19
297,9,18
298,9,17
299,9,16
300,9,15
301,9,14
302,9,13
303,9,12
304,9,11
305,9,10
306,9,9
307,9,8
308,9,7
