step,row,col
0,0,0
1,1,0
2,0,0
3,1,0
4,0,0
5,1,0
6,2,0
7,2,1
8,1,1
9,0,1
10,1,1
11,0,1
12,0,2
13,0,1
14,0,2
15,1,2
16,0,2
17,0,1
18,0,2
19,1,2
20,1,1
21,0,1
22,0,2
23,0,1
24,0,2
25,0,3
26,0,2
27,0,1
28,0,2
29,0,3
30,1,3
31,0,3
32,0,2
33,0,3
34,1,3
35,1,2
36,1,1
37,1,0
38,2,0
39,2,1
40,2,0
41,3,0
42,3,1
43,3,0
44,4,0
45,5,0
46,6,0
47,5,0
48,5,1
49,4,1
50,4,2
51,4,3
52,5,3
53,6,3
54,6,2
55,6,1
56,6,2
57,7,2
58,6,2
59,6,3
60,5,3
61,6,3
62,7,3
63,6,3
64,5,3
65,6,3
66,7,3
67,7,2
68,7,1
69,7,0
70,6,0
71,7,0
72,8,0
73,7,0
74,7,1
75,8,1
76,8,0
77,8,1
78,7,1
79,7,2
80,7,1
81,6,1
82,7,1
83,6,1
84,6,0
85,6,1
86,6,2
87,6,3
88,7,3
89,6,3
90,7,3
91,7,2
92,7,3
93,8,3
94,7,3
95,7,2
96,7,3
97,8,3
98,8,2
99,7,2
100,7,3
101,6,3
102,7,3
103,7,2
104,8,2
105,8,1
106,8,0
107,9,0
108,9,1
109,10,1
110,10,2
111,11,2
112,10,2
113,10,3
114,11,3
115,10,3
116,10,2
117,10,3
118,9,3
119,9,4
120,9,5
121,9,6
122,8,6
123,8,7
124,8,6
125,8,5
126,8,6
127,8,7
128,8,6
129,8,7
130,8,6
131,8,5
132,8,6
133,8,7
134,8,8
135,7,8
136,6,8
137,6,9
138,6,10
139,6,11
140,6,12
141,7,12
142,7,13
143,7,14
144,8,14
145,7,14
146,7,15
147,6,15
148,6,14
149,5,14
150,5,13
151,5,12
152,5,13
153,5,12
154,5,11
155,6,11
156,5,11
157,5,10
158,5,11
159,5,10
160,5,11
161,5,12
162,4,12
163,5,12
164,6,12
165,5,12
166,6,12
167,6,11
168,5,11
169,6,11
170,7,11
171,8,11
172,8,10
173,8,9
174,9,9
175,9,8
176,9,7
177,9,8
178,9,9
179,9,10
180,8,10
181,8,11
182,7,11
183,8,11
184,7,11
185,6,11
186,6,10
187,6,9
188,6,10
189,6,11
190,5,11
191,4,11
192,5,11
193,5,10
194,6,10
195,5,10
196,5,11
197,5,10
198,6,10
199,6,9
200,7,9
201,8,9
202,8,10
203,8,11
204,7,11
205,8,11
206,8,10
207,8,11
208,8,12
209,7,12
210,7,11
211,8,11
212,8,12
213,7,12
214,6,12
215,7,12
216,7,11
217,8,11
218,7,11
219,6,11
220,5,11
221,4,11
222,5,11
223,4,11
224,5,11
225,4,11
226,4,10
227,4,9
228,5,9
229,6,9
230,6,10
231,6,11
232,6,12
233,7,12
234,6,12
235,7,12
236,6,12
237,5,12
238,5,13
239,6,13
240,5,13
241,4,13
242,3,13
243,3,12
244,2,12
245,2,11
246,3,11
247,2,11
248,2,12
249,3,12
250,4,12
251,5,12
252,5,11
253,5,12
254,5,11
255,4,11
256,4,12
257,5,12
258,4,12
259,5,12
260,4,12
261,3,12
262,3,11
263,4,11
264,4,12
265,5,12
266,5,11
267,4,11
268,5,11
269,5,10
270,5,11
271,4,11
272,3,11
273,3,12
274,3,11
275,4,11
276,3,11
277,3,12
278,2,12
279,3,12
280,3,13
281,3,12
282,2,12
283,2,11
284,2,12
285,2,13
286,2,14
287,2,15
288,2,16
289,1,16
290,1,17
291,0,17
292,0,18
293,0,17
294,1,17
295,0,17
296,0,16
297,0,15
298,0,16
299,0,15
300,0,14
301,1,14
302,0,14
303,0,13
304,1,13
305,2,13
306,3,13
307,4,13
308,5,13
309,5,12
310,4,12
311,5,12
312,5,13
313,6,13
314,6,14
315,6,13
316,6,12
317,6,13
318,5,13
319,6,13
320,6,14
321,7,14
322,7,15
323,6,15
324,5,15
325,5,14
326,5,15
327,6,15
328,6,14
329,7,14
330,7,13
331,6,13
332,7,13
333,6,13
334,5,13
335,5,12
336,4,12
337,3,12
338,4,12
339,4,11
340,4,10
341,5,10
342,5,11
343,4,11
344,4,10
345,4,9
346,4,8
347,4,9
348,3,9
349,4,9
350,3,9
351,4,9
352,4,8
353,3,8
354,2,8
355,1,8
356,1,9
357,2,9
358,2,8
359,1,8
360,1,7
361,0,7
362,0,6
363,0,7
364,0,6
365,0,5
366,1,5
367,2,5
368,2,4
369,2,3
370,2,2
371,3,2
372,4,2
373,3,2
374,3,1
375,2,1
376,1,1
377,0,1
378,0,0
379,0,1
380,0,2
381,0,3
382,0,4
383,1,4
384,2,4
385,1,4
386,2,4
387,2,5
388,2,6
389,3,6
390,2,6
391,2,5
392,2,4
393,2,5
394,3,5
395,3,6
396,3,7
397,2,7
398,2,6
399,3,6
400,2,6
401,3,6
402,3,7
403,3,8
404,3,9
405,2,9
406,2,8
407,2,7
408,2,8
409,1,8
410,2,8
411,3,8
412,2,8
413,1,8
414,2,8
415,1,8
416,1,7
417,1,6
418,2,6
419,2,7
420,2,6
421,2,5
422,2,6
423,3,6
424,3,7
425,3,8
426,2,8
427,1,8
428,1,9
429,1,10
430,1,11
431,1,12
432,2,12
433,2,11
434,2,10
435,1,10
436,1,11
437,1,12
438,1,11
439,1,12
440,0,12
441,0,11
442,0,10
443,0,9
444,0,10
445,0,11
446,0,10
447,0,9
448,0,10
449,1,10
450,1,11
451,2,11
452,2,10
453,1,10
454,1,9
455,1,10
456,1,9
457,0,9
458,1,9
459,1,10
460,2,10
461,1,10
462,2,10
463,1,10
464,1,9
465,1,8
466,0,8
467,1,8
468,1,7
469,1,6
470,1,7
471,0,7
472,1,7
473,1,6
474,1,5
475,2,5
476,3,5
477,3,6
478,3,5
479,3,4
480,3,3
481,4,3
482,4,2
483,4,1
484,3,1
485,3,0
486,2,0
487,1,0
488,2,0
489,3,0
490,2,0
491,3,0
492,2,0
493,1,0
494,0,0
495,0,1
496,0,2
497,1,2
498,1,3
499,1,4
500,0,4
501,0,3
502,1,3
503,0,3
504,0,4
505,0,5
506,1,5
507,0,5
508,0,4
509,0,5
510,1,5
511,1,4
512,0,4
513,0,3
514,0,4
515,0,5
516,1,5
517,1,6
518,1,5
519,0,5
520,0,6
521,0,5
522,0,6
523,0,7
524,1,7
525,2,7
526,3,7
527,3,8
528,4,8
529,5,8
530,6,8
531,7,8
532,7,9
533,7,10
534,7,9
535,7,8
536,8,8
537,8,7
538,8,8
539,8,7
540,8,8
541,9,8
542,9,9
543,8,9
544,7,9
545,7,8
546,8,8
547,8,7
548,9,7
549,10,7
550,10,6
551,10,5
552,10,6
553,9,6
554,9,5
555,9,4
556,8,4
557,9,4
558,8,4
559,8,3
560,7,3
561,8,3
562,9,3
563,9,2
564,9,3
565,9,4
566,9,5
567,9,4
568,8,4
569,8,5
570,8,6
571,8,5
572,9,5
573,9,6
574,10,6
575,11,6
576,11,7
577,10,7
578,10,6
579,11,6
580,11,7
581,12,7
582,12,6
583,13,6
584,14,6
585,15,6
586,15,5
587,15,4
588,15,3
589,15,2
590,16,2
591,17,2
592,16,2
593,17,2
594,16,2
595,16,1
596,17,1
597,16,1
598,15,1
599,15,2
600,15,3
601,15,2
602,15,3
603,16,3
604,17,3
605,18,3
606,19,3
607,19,2
608,20,2
609,21,2
610,22,2
611,21,2
612,21,3
613,20,3
614,21,3
615,21,4
616,21,5
617,20,5
618,21,5
619,21,4
620,21,3
621,20,3
622,19,3
623,18,3
624,18,2
625,18,1
626,19,1
627,19,2
628,19,3
629,20,3
630,19,3
631,19,2
632,18,2
633,18,1
634,17,1
635,17,0
636,18,0
637,18,1
638,18,2
639,17,2
