step,row,col
0,0,0
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,8,0
9,9,0
10,10,0
11,11,0
12,12,0
13,13,0
14,14,0
15,15,0
16,16,0
17,17,0
18,18,0
19,19,0
20,20,0
21,21,0
22,22,0
23,23,0
24,24,0
25,25,0
26,26,0
27,27,0
28,28,0
29,29,0
30,30,0
31,31,0
32,32,0
33,33,0
34,34,0
35,35,0
36,36,0
37,37,0
38,38,0
39,39,0
40,40,0
41,41,0
42,42,0
43,43,0
44,44,0
45,45,0
46,46,0
47,47,0
48,48,0
49,49,0
50,49,1
51,48,1
52,47,1
53,46,1
54,45,1
55,44,1
56,43,1
57,42,1
58,41,1
59,40,1
60,39,1
61,38,1
62,37,1
63,36,1
64,35,1
65,34,1
66,33,1
67,32,1
68,31,1
69,30,1
70,29,1
71,28,1
72,27,1
73,26,1
74,25,1
75,24,1
76,23,1
77,22,1
78,21,1
79,20,1
80,19,1
81,18,1
82,17,1
83,16,1
84,15,1
85,14,1
86,13,1
87,12,1
88,11,1
89,10,1
90,9,1
91,8,1
92,7,1
93,6,1
94,5,1
95,4,1
96,3,1
97,2,1
98,1,1
99,0,1
100,0,2
101,1,2
102,2,2
103,3,2
104,4,2
105,5,2
106,6,2
107,7,2
108,8,2
109,9,2
110,10,2
111,11,2
112,12,2
113,13,2
114,14,2
115,15,2
116,16,2
117,17,2
118,18,2
119,19,2
120,20,2
121,21,2
122,22,2
123,23,2
124,24,2
125,25,2
126,26,2
127,27,2
128,28,2
129,29,2
130,30,2
131,31,2
132,32,2
133,33,2
134,34,2
135,35,2
136,36,2
137,37,2
138,38,2
139,39,2
140,40,2
141,41,2
142,42,2
143,43,2
144,44,2
145,45,2
146,46,2
147,47,2
148,48,2
149,49,2
150,49,3
151,48,3
152,47,3
153,46,3
154,45,3
155,44,3
156,43,3
157,42,3
158,41,3
159,40,3
160,39,3
161,38,3
162,37,3
163,36,3
164,35,3
165,34,3
166,33,3
167,32,3
168,31,3
169,30,3
170,29,3
171,28,3
172,27,3
173,26,3
174,25,3
175,24,3
176,23,3
177,22,3
178,21,3
179,20,3
180,19,3
181,18,3
182,17,3
183,16,3
184,15,3
185,14,3
186,13,3
187,12,3
188,11,3
189,10,3
190,9,3
191,8,3
192,7,3
193,6,3
194,5,3
195,4,3
196,3,3
197,2,3
198,1,3
199,0,3
200,0,4
201,1,4
202,2,4
203,3,4
204,3,5
205,2,5
206,1,5
207,0,5
208,0,6
209,1,6
210,2,6
211,3,6
212,3,7
213,2,7
214,1,7
215,0,7
216,0,8
217,1,8
218,2,8
219,3,8
220,4,8
221,5,8
222,6,8
223,7,8
224,8,8
225,9,8
226,10,8
227,11,8
228,12,8
229,13,8
230,14,8
231,15,8
232,16,8
233,17,8
234,18,8
235,19,8
236,20,8
237,21,8
238,22,8
239,23,8
240,24,8
241,25,8
242,25,9
243,24,9
244,23,9
245,22,9
246,21,9
247,20,9
248,19,9
249,18,9
250,17,9
251,16,9
252,15,9
253,14,9
254,13,9
255,12,9
256,11,9
257,10,9
258,9,9
259,8,9
260,7,9
261,6,9
262,5,9
263,4,9
264,3,9
265,2,9
266,1,9
267,0,9
268,0,8
269,1,8
270,2,8
271,3,8
272,4,8
273,5,8
274,6,8
275,7,8
276,8,8
277,8,7
278,9,7
279,10,7
280,11,7
281,12,7
282,13,7
283,14,7
284,15,7
285,15,6
286,14,6
287,13,6
288,12,6
289,11,6
290,10,6
291,9,6
292,8,6
293,8,5
294,9,5
295,10,5
296,11,5
297,12,5
298,13,5
299,14,5
300,15,5
301,15,4
302,14,4
303,13,4
304,12,4
305,11,4
306,10,4
307,9,4
308,8,4
309,8,5
310,8,6
311,8,7
312,8,8
313,8,9
314,8,10
315,9,10
316,8,10
317,7,10
318,6,10
319,5,10
320,4,10
321,3,10
322,2,10
323,1,10
324,0,10
325,0,11
326,1,11
327,2,11
328,3,11
329,4,11
330,5,11
331,6,11
332,7,11
333,8,11
334,9,11
335,9,12
336,8,12
337,7,12
338,6,12
339,5,12
340,4,12
341,3,12
342,2,12
343,1,12
344,0,12
345,0,13
346,1,13
347,2,13
348,3,13
349,4,13
350,5,13
351,6,13
352,7,13
353,8,13
354,9,13
355,9,14
356,8,14
357,7,14
358,6,14
359,5,14
360,4,14
361,3,14
362,2,14
363,1,14
364,0,14
365,0,15
366,1,15
367,2,15
368,3,15
369,4,15
370,5,15
371,6,15
372,7,15
373,8,15
374,9,15
375,8,15
376,7,15
377,6,15
378,5,15
379,4,15
380,3,15
381,3,16
382,2,16
383,1,16
384,0,16
385,0,17
386,1,17
387,2,17
388,3,17
389,3,18
390,2,18
391,1,18
392,0,18
393,0,19
394,1,19
395,2,19
396,3,19
397,3,20
398,2,20
399,1,20
400,0,20
401,1,20
402,2,20
403,3,20
404,4,20
405,5,20
406,6,20
407,7,20
408,8,20
409,9,20
410,10,20
411,11,20
412,12,20
413,13,20
414,14,20
415,15,20
416,15,21
417,14,21
418,13,21
419,12,21
420,11,21
421,10,21
422,9,21
423,8,21
424,7,21
425,6,21
426,5,21
427,4,21
428,3,21
429,2,21
430,1,21
431,0,21
432,0,22
433,1,22
434,2,22
435,3,22
436,4,22
437,5,22
438,6,22
439,7,22
440,8,22
441,9,22
442,10,22
443,11,22
444,12,22
445,13,22
446,14,22
447,15,22
448,15,23
449,14,23
450,13,23
451,12,23
452,11,23
453,10,23
454,9,23
455,8,23
456,7,23
457,6,23
458,5,23
459,4,23
460,3,23
461,2,23
462,1,23
463,0,23
464,0,24
465,1,24
466,2,24
467,3,24
468,4,24
469,5,24
470,6,24
471,7,24
472,8,24
473,9,24
474,10,24
475,11,24
476,12,24
477,13,24
478,14,24
479,15,24
480,15,25
481,14,25
482,13,25
483,12,25
484,11,25
485,10,25
486,9,25
487,8,25
488,7,25
489,6,25
490,5,25
491,4,25
492,3,25
493,2,25
494,1,25
495,0,25
496,0,26
497,1,26
498,2,26
499,3,26
500,4,26
501,5,26
502,6,26
503,7,26
504,8,26
505,9,26
506,10,26
507,11,26
508,12,26
509,13,26
510,14,26
511,15,26
512,15,27
513,14,27
514,13,27
515,12,27
516,11,27
517,10,27
518,9,27
519,8,27
520,7,27
521,6,27
522,5,27
523,4,27
524,3,27
525,2,27
526,1,27
527,0,27
528,0,28
529,1,28
530,2,28
531,3,28
532,4,28
533,5,28
534,6,28
535,7,28
536,8,28
537,9,28
538,10,28
539,11,28
540,12,28
541,13,28
542,14,28
543,15,28
544,16,28
545,17,28
546,18,28
547,19,28
548,20,28
549,21,28
550,22,28
551,23,28
552,24,28
553,25,28
554,26,28
555,27,28
556,28,28
557,29,28
558,30,28
559,31,28
560,32,28
561,33,28
562,34,28
563,35,28
564,36,28
565,37,28
566,37,29
567,36,29
568,35,29
569,34,29
570,33,29
571,32,29
572,31,29
573,30,29
574,29,29
575,28,29
576,27,29
577,26,29
578,25,29
579,24,29
580,23,29
581,22,29
582,21,29
583,20,29
584,19,29
585,18,29
586,17,29
587,16,29
588,15,29
589,14,29
590,13,29
591,12,29
592,11,29
593,10,29
594,9,29
595,8,29
596,7,29
597,6,29
598,5,29
599,4,29
600,3,29
601,2,29
602,1,29
603,0,29
604,0,30
605,1,30
606,2,30
607,3,30
608,4,30
609,5,30
610,6,30
611,7,30
612,8,30
613,9,30
614,10,30
615,11,30
616,12,30
617,13,30
618,14,30
619,15,30
620,16,30
621,17,30
622,18,30
623,19,30
624,19,31
625,18,31
626,17,31
627,16,31
628,15,31
629,14,31
630,13,31
631,12,31
632,11,31
633,10,31
634,9,31
635,8,31
636,7,31
637,6,31
638,5,31
639,4,31
