step,row,col
0,0,0
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,0,8
9,0,9
10,0,10
11,0,11
12,0,12
13,0,13
14,0,14
15,0,15
16,0,16
17,0,17
18,0,18
19,0,19
20,0,20
21,0,21
22,0,22
23,0,23
24,0,24
25,0,25
26,0,26
27,0,27
28,0,28
29,0,29
30,0,30
31,0,31
32,0,32
33,0,33
34,0,34
35,0,35
36,0,36
37,0,37
38,0,38
39,0,39
40,0,40
41,0,41
42,0,42
43,0,43
44,0,44
45,0,45
46,0,46
47,0,47
48,0,48
49,0,49
50,1,49
51,1,48
52,1,47
53,1,46
54,1,45
55,1,44
56,1,43
57,1,42
58,1,41
59,1,40
60,1,39
61,1,38
62,1,37
63,1,36
64,1,35
65,1,34
66,1,33
67,1,32
68,1,31
69,1,30
70,1,29
71,1,28
72,1,27
73,1,26
74,1,25
75,1,24
76,1,23
77,1,22
78,1,21
79,1,20
80,1,19
81,1,18
82,1,17
83,1,16
84,1,15
85,1,14
86,1,13
87,1,12
88,1,11
89,1,10
90,1,9
91,1,8
92,1,7
93,1,6
94,1,5
95,1,4
96,1,3
97,1,2
98,1,1
99,1,0
100,2,0
101,2,1
102,2,2
103,2,3
104,2,4
105,2,5
106,2,6
107,2,7
108,2,8
109,2,9
110,2,10
111,2,11
112,2,12
113,2,13
114,2,14
115,2,15
116,2,16
117,2,17
118,2,18
119,2,19
120,2,20
121,2,21
122,2,22
123,2,23
124,2,24
125,2,25
126,2,26
127,2,27
128,2,28
129,2,29
130,2,30
131,2,31
132,2,32
133,2,33
134,2,34
135,2,35
136,2,36
137,2,37
138,2,38
139,2,39
140,2,40
141,2,41
142,2,42
143,2,43
144,2,44
145,2,45
146,2,46
147,2,47
148,2,48
149,2,49
150,3,49
151,3,48
152,3,47
153,3,46
154,3,45
155,3,44
156,3,43
157,3,42
158,3,41
159,3,40
160,3,39
161,3,38
162,3,37
163,3,36
164,3,35
165,3,34
166,3,33
167,3,32
168,3,31
169,3,30
170,3,29
171,3,28
172,3,27
173,3,26
174,3,25
175,3,24
176,3,23
177,3,22
178,3,21
179,3,20
180,3,19
181,3,18
182,3,17
183,3,16
184,3,15
185,3,14
186,3,13
187,3,12
188,3,11
189,3,10
190,3,9
191,3,8
192,3,7
193,3,6
194,3,5
195,3,4
196,3,3
197,3,2
198,3,1
199,3,0
200,4,0
201,4,1
202,4,2
203,4,3
204,3,3
205,3,4
206,3,5
207,3,6
208,3,7
209,3,8
210,4,8
211,4,9
212,4,10
213,4,11
214,4,12
215,4,13
216,4,14
217,4,15
218,3,15
219,3,16
220,3,17
221,3,18
222,3,19
223,3,20
224,4,20
225,4,21
226,4,22
227,4,23
228,4,24
229,4,25
230,4,26
231,4,27
232,4,28
233,4,29
234,4,30
235,4,31
236,4,32
237,4,33
238,3,33
239,3,34
240,3,35
241,3,36
242,3,37
243,3,38
244,4,38
245,4,39
246,4,40
247,4,41
248,4,42
249,4,43
250,4,44
251,4,45
252,4,46
253,4,47
254,4,48
255,4,49
256,5,49
257,5,48
258,5,47
259,5,46
260,5,45
261,5,44
262,5,43
263,5,42
264,5,41
265,5,40
266,5,39
267,5,38
268,4,38
269,3,38
270,3,37
271,3,36
272,3,35
273,3,34
274,3,33
275,4,33
276,5,33
277,5,32
278,5,31
279,5,30
280,5,29
281,5,28
282,5,27
283,5,26
284,5,25
285,5,24
286,5,23
287,5,22
288,5,21
289,5,20
290,4,20
291,3,20
292,3,19
293,3,18
294,3,17
295,3,16
296,3,15
297,4,15
298,5,15
299,5,14
300,5,13
301,5,12
302,5,11
303,5,10
304,5,9
305,5,8
306,4,8
307,3,8
308,3,7
