step,row,col
0,0,0
1,0,1
2,0,0
3,0,1
4,0,2
5,1,2
6,2,2
7,1,2
8,2,2
9,2,3
10,2,4
11,3,4
12,3,3
13,3,4
14,3,3
15,3,2
16,4,2
17,3,2
18,4,2
19,5,2
20,5,1
21,5,2
22,6,2
23,5,2
24,6,2
25,5,2
26,4,2
27,3,2
28,2,2
29,1,2
30,2,2
31,2,3
32,2,4
33,3,4
34,3,3
35,3,2
36,4,2
37,4,1
38,3,1
39,2,1
40,1,1
41,0,1
42,1,1
43,1,2
44,0,2
45,0,1
46,0,2
47,0,1
48,0,0
49,0,1
50,0,2
51,0,1
52,1,1
53,1,2
54,1,1
55,1,2
56,2,2
57,2,3
58,2,2
59,2,1
60,2,0
61,3,0
62,3,1
63,3,0
64,3,1
65,4,1
66,5,1
67,4,1
68,3,1
69,3,0
70,4,0
71,4,1
72,4,0
73,5,0
74,6,0
75,7,0
76,7,1
77,7,2
78,7,3
79,6,3
80,5,3
81,5,2
82,5,1
83,6,1
84,7,1
85,6,1
86,5,1
87,5,0
88,5,1
89,5,0
90,4,0
91,3,0
92,4,0
93,4,1
94,3,1
95,2,1
96,3,1
97,3,2
98,4,2
99,4,1
100,5,1
101,5,0
102,5,1
103,4,1
104,3,1
105,4,1
106,4,0
107,5,0
108,6,0
109,7,0
110,7,1
111,7,2
112,7,3
113,8,3
114,8,2
115,8,1
116,8,0
117,7,0
118,6,0
119,6,1
120,5,1
121,4,1
122,4,0
123,4,1
124,4,0
125,4,1
126,5,1
127,4,1
128,4,2
129,4,1
130,5,1
131,5,2
132,6,2
133,7,2
134,7,3
135,7,2
136,6,2
137,6,1
138,6,2
139,6,3
140,5,3
141,5,2
142,6,2
143,7,2
144,8,2
145,8,1
146,8,2
147,8,3
148,8,4
149,8,3
150,9,3
151,8,3
152,8,2
153,9,2
154,9,3
155,9,2
156,10,2
157,11,2
158,11,3
159,11,2
160,12,2
161,12,3
162,13,3
163,13,4
164,14,4
165,14,5
166,15,5
167,15,6
168,14,6
169,14,7
170,13,7
171,13,6
172,14,6
173,14,5
174,14,6
175,14,5
176,14,6
177,13,6
178,13,7
179,14,7
180,14,6
181,13,6
182,14,6
183,13,6
184,13,7
185,14,7
186,15,7
187,15,8
188,16,8
189,17,8
190,17,9
191,16,9
192,15,9
193,14,9
194,15,9
195,15,10
196,15,11
197,14,11
198,15,11
199,15,12
200,15,11
201,15,12
202,15,11
203,15,10
204,15,9
205,16,9
206,15,9
207,15,8
208,16,8
209,17,8
210,17,9
211,17,8
212,16,8
213,16,9
214,15,9
215,16,9
216,16,8
217,15,8
218,15,7
219,15,6
220,14,6
221,15,6
222,15,5
223,14,5
224,13,5
225,14,5
226,14,4
227,14,3
228,14,2
229,13,2
230,12,2
231,12,3
232,12,4
233,12,3
234,13,3
235,13,2
236,13,3
237,12,3
238,13,3
239,12,3
240,12,4
241,13,4
242,12,4
243,12,5
244,13,5
245,14,5
246,13,5
247,14,5
248,14,4
249,14,5
250,14,6
251,13,6
252,13,7
253,12,7
254,13,7
255,13,8
256,14,8
257,14,7
258,14,6
259,14,7
260,15,7
261,15,8
262,15,7
263,15,8
264,15,9
265,15,8
266,16,8
267,17,8
268,17,9
269,17,8
270,16,8
271,16,9
272,16,8
273,16,9
274,16,8
275,16,9
276,16,8
277,15,8
278,15,7
279,15,6
280,15,5
281,14,5
282,14,6
283,15,6
284,14,6
285,13,6
286,13,5
287,13,6
288,13,5
289,12,5
290,11,5
291,12,5
292,11,5
293,10,5
294,10,6
295,11,6
296,12,6
297,12,5
298,13,5
299,13,4
300,13,3
301,13,4
302,12,4
303,11,4
304,11,5
305,10,5
306,10,4
307,11,4
308,11,3
