step,row,col
0,0,0
1,0,1
2,0,0
3,1,0
4,1,1
5,2,1
6,2,0
7,2,1
8,3,1
9,3,0
10,4,0
11,4,1
12,4,0
13,5,0
14,5,1
15,6,1
16,6,0
17,6,1
18,7,1
19,7,0
20,8,0
21,8,1
22,8,0
23,9,0
24,9,1
25,10,1
26,10,0
27,10,1
28,11,1
29,11,0
30,12,0
31,12,1
32,12,0
33,13,0
34,13,1
35,14,1
36,14,0
37,14,1
38,15,1
39,15,0
40,16,0
41,16,1
42,16,0
43,17,0
44,17,1
45,18,1
46,18,0
47,18,1
48,19,1
49,19,0
50,20,0
51,20,1
52,20,0
53,21,0
54,21,1
55,22,1
56,22,0
57,22,1
58,23,1
59,23,0
60,24,0
61,24,1
62,24,0
63,25,0
64,25,1
65,26,1
66,26,0
67,26,1
68,27,1
69,27,0
70,28,0
71,28,1
72,28,0
73,29,0
74,29,1
75,30,1
76,30,0
77,30,1
78,31,1
79,31,0
80,32,0
81,32,1
82,32,0
83,33,0
84,33,1
85,34,1
86,34,0
87,34,1
88,35,1
89,35,0
90,36,0
91,36,1
92,36,0
93,37,0
94,37,1
95,38,1
96,38,0
97,38,1
98,39,1
99,39,0
100,40,0
101,40,1
102,40,0
103,41,0
104,41,1
105,42,1
106,42,0
107,42,1
108,43,1
109,43,0
110,44,0
111,44,1
112,44,0
113,45,0
114,45,1
115,46,1
116,46,0
117,46,1
118,47,1
119,47,0
120,48,0
121,48,1
122,48,0
123,49,0
124,49,1
125,49,2
126,48,2
127,48,3
128,49,3
129,49,4
130,48,4
131,48,5
132,49,5
133,49,6
134,48,6
135,48,7
136,49,7
137,49,8
138,48,8
139,48,9
140,49,9
141,49,10
142,48,10
143,48,11
144,49,11
145,49,12
146,48,12
147,48,13
148,49,13
149,49,14
150,48,14
151,48,15
152,49,15
153,49,16
154,48,16
155,48,17
156,49,17
157,49,18
158,48,18
159,48,19
160,49,19
161,49,20
162,48,20
163,48,21
164,49,21
165,49,22
166,48,22
167,48,23
168,49,23
169,49,24
170,48,24
171,48,25
172,49,25
173,49,26
174,48,26
175,48,27
176,49,27
177,49,28
178,48,28
179,48,29
180,49,29
181,49,30
182,48,30
183,48,31
184,49,31
185,49,32
186,48,32
187,48,33
188,49,33
189,49,34
190,48,34
191,48,35
192,49,35
193,49,36
194,48,36
195,48,37
196,49,37
197,49,38
198,48,38
199,48,39
200,49,39
201,49,40
202,48,40
203,48,41
204,49,41
205,49,42
206,48,42
207,48,43
208,49,43
209,49,44
210,48,44
211,48,45
212,49,45
213,49,46
214,48,46
215,48,47
216,49,47
217,49,48
218,48,48
219,48,49
220,49,49
221,48,49
222,47,49
223,46,49
224,46,48
225,47,48
226,46,48
227,45,48
228,44,48
229,44,49
230,45,49
231,44,49
232,43,49
233,42,49
234,42,48
235,43,48
236,42,48
237,41,48
238,40,48
239,40,49
240,41,49
241,40,49
242,39,49
243,38,49
244,38,48
245,39,48
246,38,48
247,37,48
248,36,48
249,36,49
250,37,49
251,36,49
252,35,49
253,34,49
254,34,48
255,35,48
256,34,48
257,33,48
258,32,48
259,32,49
260,33,49
261,32,49
262,31,49
263,30,49
264,30,48
265,31,48
266,30,48
267,29,48
268,28,48
269,28,49
270,29,49
271,28,49
272,27,49
273,26,49
274,26,48
275,27,48
276,26,48
277,25,48
278,24,48
279,24,49
280,25,49
281,24,49
282,23,49
283,22,49
284,22,48
285,23,48
286,22,48
287,21,48
288,20,48
289,20,49
290,21,49
291,20,49
292,19,49
293,18,49
294,18,48
295,19,48
296,18,48
297,17,48
298,16,48
299,16,49
300,17,49
301,16,49
302,15,49
303,14,49
304,14,48
305,15,48
306,14,48
307,13,48
308,12,48
