step,row,col
0,0,0
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,8,0
9,9,0
10,10,0
11,11,0
12,12,0
13,13,0
14,14,0
15,15,0
16,16,0
17,17,0
18,18,0
19,19,0
20,20,0
21,21,0
22,22,0
23,23,0
24,24,0
25,25,0
26,26,0
27,27,0
28,28,0
29,29,0
30,30,0
31,31,0
32,32,0
33,33,0
34,34,0
35,35,0
36,36,0
37,37,0
38,38,0
39,39,0
40,40,0
41,41,0
42,42,0
43,43,0
44,44,0
45,45,0
46,46,0
47,47,0
48,48,0
49,49,0
50,49,1
51,49,2
52,49,3
53,49,4
54,49,5
55,49,6
56,49,7
57,49,8
58,49,9
59,49,10
60,49,11
61,49,12
62,49,13
63,49,14
64,49,15
65,49,16
66,49,17
67,49,18
68,49,19
69,49,20
70,49,21
71,49,22
72,49,23
73,49,24
74,49,25
75,49,26
76,49,27
77,49,28
78,49,29
79,49,30
80,49,31
81,49,32
82,49,33
83,49,34
84,49,35
85,49,36
86,49,37
87,49,38
88,49,39
89,49,40
90,49,41
91,49,42
92,49,43
93,49,44
94,49,45
95,49,46
96,49,47
97,49,48
98,49,49
99,48,49
100,47,49
101,46,49
102,45,49
103,44,49
104,43,49
105,42,49
106,41,49
107,40,49
108,39,49
109,38,49
110,37,49
111,36,49
112,35,49
113,34,49
114,33,49
115,32,49
116,31,49
117,30,49
118,29,49
119,28,49
120,27,49
121,26,49
122,25,49
123,24,49
124,23,49
125,22,49
126,21,49
127,20,49
128,19,49
129,18,49
130,17,49
131,16,49
132,15,49
133,14,49
134,13,49
135,12,49
136,11,49
137,10,49
138,9,49
139,8,49
140,7,49
141,6,49
142,5,49
143,4,49
144,3,49
145,2,49
146,1,49
147,0,49
148,0,48
149,0,47
150,0,46
151,1,46
152,2,46
153,3,46
154,4,46
155,5,46
156,6,46
157,7,46
158,8,46
159,9,46
160,10,46
161,11,46
162,12,46
163,13,46
164,14,46
165,15,46
166,16,46
167,17,46
168,18,46
169,19,46
170,20,46
171,21,46
172,22,46
173,23,46
174,24,46
175,25,46
176,26,46
177,27,46
178,28,46
179,29,46
180,30,46
181,31,46
182,32,46
183,33,46
184,34,46
185,35,46
186,36,46
187,37,46
188,38,46
189,39,46
190,40,46
191,41,46
192,42,46
193,43,46
194,44,46
195,45,46
196,46,46
197,46,45
198,45,45
199,44,45
200,43,45
201,42,45
202,41,45
203,40,45
204,39,45
205,38,45
206,37,45
207,36,45
208,35,45
209,34,45
210,33,45
211,32,45
212,31,45
213,30,45
214,29,45
215,28,45
216,27,45
217,26,45
218,25,45
219,24,45
220,24,44
221,24,43
222,24,42
223,25,42
224,26,42
225,27,42
226,28,42
227,29,42
228,30,42
229,30,41
230,29,41
231,28,41
232,27,41
233,26,41
234,25,41
235,24,41
236,23,41
237,22,41
238,21,41
239,20,41
240,19,41
241,19,42
242,19,43
243,19,44
244,19,45
245,18,45
246,17,45
247,16,45
248,15,45
249,14,45
250,13,45
251,12,45
252,11,45
253,10,45
254,9,45
255,8,45
256,7,45
257,6,45
258,5,45
259,4,45
260,3,45
261,2,45
262,1,45
263,0,45
264,0,44
265,0,43
266,0,42
267,1,42
268,2,42
269,3,42
270,4,42
271,5,42
272,6,42
273,7,42
274,8,42
275,9,42
276,10,42
277,11,42
278,12,42
279,13,42
280,14,42
281,15,42
282,16,42
283,16,41
284,15,41
285,14,41
286,13,41
287,12,41
288,11,41
289,10,41
290,9,41
291,8,41
292,7,41
293,6,41
294,5,41
295,4,41
296,3,41
297,2,41
298,1,41
299,0,41
300,0,40
301,0,39
302,0,38
303,1,38
304,2,38
305,3,38
306,4,38
307,5,38
308,6,38
309,7,38
310,8,38
311,9,38
312,10,38
313,11,38
314,12,38
315,13,38
316,14,38
317,15,38
318,16,38
319,17,38
320,18,38
321,19,38
322,20,38
323,21,38
324,22,38
325,23,38
326,24,38
327,25,38
328,26,38
329,27,38
330,28,38
331,29,38
332,30,38
333,30,37
334,30,36
335,31,36
336,32,36
337,33,36
338,34,36
339,35,36
340,36,36
341,37,36
342,38,36
343,39,36
344,40,36
345,41,36
346,42,36
347,43,36
348,44,36
349,45,36
350,46,36
351,47,36
352,47,37
353,47,38
354,47,39
355,47,40
356,47,41
357,47,42
358,47,43
359,46,43
360,45,43
361,44,43
362,43,43
363,42,43
364,41,43
365,40,43
366,39,43
367,38,43
368,37,43
369,36,43
370,36,42
371,36,41
372,36,40
373,37,40
374,38,40
375,39,40
376,40,40
377,40,39
378,39,39
379,38,39
380,37,39
381,36,39
382,36,38
383,37,38
384,38,38
385,39,38
386,40,38
387,41,38
388,41,39
389,41,40
390,41,41
391,40,41
392,39,41
393,38,41
394,37,41
395,37,42
396,38,42
397,39,42
398,40,42
399,41,42
400,42,42
401,43,42
402,44,42
403,45,42
404,46,42
405,46,41
406,46,40
407,46,39
408,46,38
409,46,37
410,46,36
411,46,35
412,45,35
413,44,35
414,43,35
415,42,35
416,41,35
417,40,35
418,39,35
419,38,35
420,37,35
421,36,35
422,35,35
423,34,35
424,33,35
425,32,35
426,31,35
427,30,35
428,30,34
429,30,33
430,30,32
431,31,32
432,32,32
433,33,32
434,34,32
435,35,32
436,36,32
437,37,32
438,38,32
439,39,32
440,40,32
441,41,32
442,42,32
443,43,32
444,44,32
445,45,32
446,46,32
447,46,31
448,45,31
449,44,31
450,43,31
451,42,31
452,42,30
453,42,29
454,42,28
455,43,28
456,44,28
457,45,28
458,46,28
459,46,27
460,45,27
461,44,27
462,43,27
463,42,27
464,41,27
465,40,27
466,39,27
467,38,27
468,37,27
469,37,28
470,37,29
471,37,30
472,37,31
473,36,31
474,35,31
475,34,31
476,33,31
477,32,31
478,31,31
479,30,31
480,29,31
481,28,31
482,27,31
483,26,31
484,25,31
485,25,32
486,25,33
487,25,34
488,25,35
489,25,36
490,26,36
491,27,36
492,28,36
493,29,36
494,29,37
495,28,37
496,27,37
497,26,37
498,25,37
499,24,37
500,23,37
501,22,37
502,21,37
503,20,37
504,19,37
505,18,37
506,17,37
507,16,37
508,15,37
509,14,37
510,14,36
511,14,35
512,14,34
513,15,34
514,16,34
515,17,34
516,18,34
517,19,34
518,20,34
519,21,34
520,22,34
521,23,34
522,23,35
523,22,35
524,21,35
525,20,35
526,19,35
527,18,35
528,18,34
529,18,33
530,17,33
531,16,33
532,15,33
533,14,33
534,13,33
535,12,33
536,11,33
537,10,33
538,9,33
539,9,34
540,9,35
541,9,36
542,9,37
543,8,37
544,8,36
545,8,35
546,8,34
547,8,33
548,7,33
549,6,33
550,5,33
551,4,33
552,3,33
553,3,34
554,3,35
555,3,36
556,3,37
557,2,37
558,1,37
559,0,37
560,0,36
561,0,35
562,0,34
563,0,33
564,0,32
565,0,31
566,0,30
567,1,30
568,2,30
569,3,30
570,4,30
571,5,30
572,6,30
573,7,30
574,8,30
575,9,30
576,10,30
577,11,30
578,12,30
579,13,30
580,14,30
581,15,30
582,16,30
583,17,30
584,18,30
585,18,29
586,18,28
587,19,28
588,20,28
589,21,28
590,22,28
591,23,28
592,24,28
593,25,28
594,26,28
595,27,28
596,28,28
597,29,28
598,30,28
599,31,28
600,32,28
601,33,28
602,34,28
603,34,27
604,33,27
605,32,27
606,31,27
607,30,27
608,29,27
609,28,27
610,27,27
611,26,27
612,25,27
613,24,27
614,23,27
615,22,27
616,21,27
617,20,27
618,20,26
619,20,25
620,20,24
621,21,24
622,22,24
623,23,24
624,24,24
625,25,24
626,26,24
627,27,24
628,28,24
629,29,24
630,30,24
631,31,24
632,32,24
633,33,24
634,34,24
635,35,24
636,36,24
637,37,24
638,38,24
639,39,24
