step,row,col
0,0,0
1,1,0
2,2,0
3,3,0
4,3,1
5,3,2
6,4,2
7,5,2
8,6,2
9,7,2
10,8,2
11,9,2
12,10,2
13,11,2
14,12,2
15,13,2
16,14,2
17,15,2
18,16,2
19,17,2
20,18,2
21,19,2
22,20,2
23,21,2
24,22,2
25,23,2
26,24,2
27,25,2
28,26,2
29,27,2
30,28,2
31,29,2
32,30,2
33,31,2
34,32,2
35,33,2
36,34,2
37,35,2
38,36,2
39,37,2
40,38,2
41,39,2
42,40,2
43,41,2
44,42,2
45,43,2
46,44,2
47,45,2
48,46,2
49,47,2
50,47,3
51,47,4
52,47,5
53,47,6
54,47,7
55,47,8
56,47,9
57,47,10
58,47,11
59,47,12
60,47,13
61,47,14
62,47,15
63,47,16
64,47,17
65,47,18
66,47,19
67,47,20
68,47,21
69,47,22
70,47,23
71,47,24
72,47,25
73,47,26
74,47,27
75,47,28
76,47,29
77,47,30
78,47,31
79,47,32
80,47,33
81,47,34
82,47,35
83,47,36
84,47,37
85,47,38
86,47,39
87,47,40
88,47,41
89,47,42
90,47,43
91,47,44
92,47,45
93,47,46
94,47,47
95,46,47
96,45,47
97,44,47
98,43,47
99,42,47
100,41,47
101,40,47
102,39,47
103,38,47
104,37,47
105,36,47
106,35,47
107,34,47
108,33,47
109,32,47
110,31,47
111,30,47
112,29,47
113,28,47
114,27,47
115,26,47
116,25,47
117,24,47
118,23,47
119,22,47
120,21,47
121,20,47
122,19,47
123,18,47
124,17,47
125,16,47
126,15,47
127,14,47
128,13,47
129,12,47
130,11,47
131,10,47
132,9,47
133,8,47
134,7,47
135,6,47
136,5,47
137,4,47
138,3,47
139,2,47
140,2,46
141,2,45
142,2,44
143,2,43
144,2,42
145,3,42
146,4,42
147,5,42
148,6,42
149,7,42
150,8,42
151,9,42
152,10,42
153,11,42
154,12,42
155,13,42
156,14,42
157,15,42
158,16,42
159,16,41
160,16,40
161,17,40
162,18,40
163,18,39
164,18,38
165,19,38
166,20,38
167,21,38
168,22,38
169,23,38
170,24,38
171,25,38
172,26,38
173,27,38
174,28,38
175,29,38
176,29,39
177,29,40
178,29,41
179,29,42
180,29,43
181,28,43
182,27,43
183,27,44
184,28,44
185,29,44
186,30,44
187,31,44
188,32,44
189,33,44
190,34,44
191,35,44
192,36,44
193,37,44
194,38,44
195,38,43
196,38,42
197,39,42
198,40,42
199,41,42
200,42,42
201,43,42
202,43,43
203,43,44
204,44,44
205,44,43
206,44,42
207,45,42
208,45,43
209,45,44
210,45,45
211,44,45
212,43,45
213,42,45
214,41,45
215,40,45
216,40,44
217,41,44
218,42,44
219,42,43
220,41,43
221,40,43
222,40,42
223,40,41
224,39,41
225,38,41
226,38,40
227,38,39
228,38,38
229,38,37
230,38,36
231,39,36
232,40,36
233,40,35
234,40,34
235,41,34
236,42,34
237,42,33
238,42,32
239,42,31
240,42,30
241,42,29
242,42,28
243,42,27
244,42,26
245,42,25
246,41,25
247,40,25
248,39,25
249,38,25
250,37,25
251,37,26
252,37,27
253,36,27
254,35,27
255,35,28
256,35,29
257,35,30
258,35,31
259,35,32
260,36,32
261,37,32
262,37,33
263,37,34
264,37,35
265,37,36
266,37,37
267,36,37
268,35,37
269,34,37
270,33,37
271,32,37
272,31,37
273,30,37
274,30,36
275,30,35
276,30,34
277,31,34
278,32,34
279,32,33
280,32,32
281,32,31
282,31,31
283,30,31
284,30,30
285,30,29
286,29,29
287,28,29
288,27,29
289,26,29
290,25,29
291,24,29
292,24,28
293,24,27
294,23,27
295,22,27
296,22,26
297,22,25
298,22,24
299,22,23
300,22,22
301,22,21
302,22,20
303,22,19
304,22,18
305,23,18
306,24,18
307,24,17
308,24,16
309,25,16
310,26,16
311,27,16
312,28,16
313,29,16
314,30,16
315,30,15
316,30,14
317,31,14
318,32,14
319,33,14
320,34,14
321,35,14
322,36,14
323,37,14
324,38,14
325,39,14
326,39,15
327,39,16
328,39,17
329,39,18
330,40,18
331,41,18
332,41,19
333,41,20
334,42,20
335,43,20
336,44,20
337,45,20
338,45,21
339,45,22
340,45,23
341,45,24
342,45,25
343,45,26
344,45,27
345,45,28
346,45,29
347,45,30
348,45,31
349,45,32
350,45,33
351,45,34
352,45,35
353,45,36
354,45,37
355,44,37
356,43,37
357,42,37
358,42,36
359,43,36
360,44,36
361,44,35
362,44,34
363,44,33
364,44,32
365,44,31
366,44,30
367,44,29
368,44,28
369,44,27
370,44,26
371,44,25
372,44,24
373,44,23
374,43,23
375,42,23
376,41,23
377,40,23
378,39,23
379,38,23
380,37,23
381,36,23
382,36,22
383,36,21
384,36,20
385,36,19
386,36,18
387,36,17
388,35,17
389,34,17
390,33,17
391,32,17
392,32,16
393,33,16
394,34,16
395,35,16
396,36,16
397,37,16
398,37,17
399,37,18
400,37,19
401,37,20
402,38,20
403,39,20
404,39,21
405,38,21
406,37,21
407,37,22
408,38,22
409,39,22
410,40,22
411,41,22
412,42,22
413,43,22
414,44,22
415,44,21
416,44,20
417,44,19
418,43,19
419,42,19
420,42,18
421,43,18
422,44,18
423,45,18
424,45,19
425,45,20
426,45,21
427,44,21
428,43,21
429,42,21
430,41,21
431,40,21
432,40,20
433,40,19
434,40,18
435,40,17
436,40,16
437,40,15
438,40,14
439,40,13
440,40,12
441,40,11
442,40,10
443,41,10
444,42,10
445,42,9
446,42,8
447,42,7
448,42,6
449,43,6
450,44,6
451,45,6
452,45,7
453,45,8
454,45,9
455,45,10
456,45,11
457,45,12
458,45,13
459,44,13
460,43,13
461,42,13
462,42,12
463,43,12
464,44,12
465,44,11
466,44,10
467,44,9
468,44,8
469,44,7
470,44,6
471,44,5
472,43,5
473,42,5
474,42,4
475,43,4
476,44,4
477,45,4
478,45,5
479,45,6
480,45,7
481,44,7
482,43,7
483,43,8
484,43,9
485,42,9
486,41,9
487,40,9
488,39,9
489,38,9
490,37,9
491,37,10
492,37,11
493,36,11
494,35,11
495,34,11
496,33,11
497,32,11
498,32,10
499,32,9
500,32,8
501,32,7
502,32,6
503,33,6
504,34,6
505,34,5
506,33,5
507,32,5
508,31,5
509,31,6
510,31,7
511,30,7
512,29,7
513,28,7
514,27,7
515,26,7
516,25,7
517,24,7
518,23,7
519,23,8
520,23,9
521,23,10
522,23,11
523,23,12
524,24,12
525,25,12
526,26,12
527,27,12
528,28,12
529,29,12
530,30,12
531,31,12
532,32,12
533,33,12
534,34,12
535,35,12
536,36,12
537,37,12
538,38,12
539,38,11
540,38,10
541,39,10
542,39,11
543,39,12
544,39,13
545,38,13
546,37,13
547,36,13
548,35,13
549,34,13
550,33,13
551,32,13
552,31,13
553,30,13
554,30,12
555,30,11
556,30,10
557,30,9
558,30,8
559,31,8
560,31,9
561,31,10
562,31,11
563,31,12
564,31,13
565,30,13
566,29,13
567,29,14
568,29,15
569,28,15
570,27,15
571,26,15
572,25,15
573,24,15
574,23,15
575,22,15
576,21,15
577,21,16
578,21,17
579,20,17
580,19,17
581,18,17
582,17,17
583,16,17
584,15,17
585,15,18
586,15,19
587,14,19
588,13,19
589,13,20
590,13,21
591,13,22
592,13,23
593,13,24
594,13,25
595,13,26
596,13,27
597,13,28
598,14,28
599,15,28
600,15,29
601,15,30
602,16,30
603,17,30
604,17,31
605,17,32
606,17,33
607,17,34
608,18,34
609,19,34
610,20,34
611,21,34
612,22,34
613,23,34
614,24,34
615,24,33
616,24,32
617,24,31
618,24,30
619,25,30
620,26,30
621,27,30
622,28,30
623,29,30
624,29,31
625,28,31
626,27,31
627,26,31
628,25,31
629,25,32
630,25,33
631,25,34
632,25,35
633,25,36
634,26,36
635,27,36
636,28,36
637,29,36
638,29,37
639,28,37
