step,row,col
0,0,0
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,8,0
9,9,0
10,10,0
11,11,0
12,12,0
13,13,0
14,14,0
15,15,0
16,16,0
17,17,0
18,18,0
19,19,0
20,20,0
21,21,0
22,22,0
23,23,0
24,24,0
25,25,0
26,26,0
27,27,0
28,28,0
29,29,0
30,29,1
31,28,1
32,27,1
33,26,1
34,25,1
35,24,1
36,23,1
37,22,1
38,21,1
39,20,1
40,19,1
41,18,1
42,17,1
43,16,1
44,15,1
45,14,1
46,13,1
47,12,1
48,11,1
49,10,1
50,9,1
51,8,1
52,7,1
53,6,1
54,5,1
55,4,1
56,3,1
57,2,1
58,1,1
59,0,1
60,1,1
61,2,1
62,3,1
63,4,1
64,5,1
65,6,1
66,7,1
67,8,1
68,9,1
69,10,1
70,11,1
71,12,1
72,13,1
73,14,1
74,15,1
75,16,1
76,17,1
77,18,1
78,19,1
79,20,1
80,20,2
81,21,2
82,22,2
83,23,2
84,24,2
85,25,2
86,25,3
87,24,3
88,23,3
89,22,3
90,21,3
91,20,3
92,20,4
93,21,4
94,22,4
95,23,4
96,24,4
97,25,4
98,26,4
99,27,4
100,28,4
101,29,4
102,29,5
103,28,5
104,27,5
105,26,5
106,25,5
107,24,5
108,23,5
109,22,5
110,21,5
111,20,5
112,20,6
113,21,6
114,22,6
115,23,6
116,23,7
117,22,7
118,21,7
119,20,7
120,20,8
121,21,8
122,20,8
123,19,8
124,18,8
125,17,8
126,16,8
127,15,8
128,14,8
129,13,8
130,12,8
131,12,9
132,13,9
133,14,9
134,15,9
135,16,9
136,17,9
137,18,9
138,19,9
139,20,9
140,21,9
141,20,9
142,19,9
143,18,9
144,17,9
145,16,9
146,15,9
147,15,10
148,14,10
149,13,10
150,12,10
151,12,11
152,13,11
153,14,11
154,15,11
155,15,10
156,15,9
157,15,8
158,14,8
159,13,8
160,13,7
161,12,7
162,12,6
163,13,6
164,13,5
165,14,5
166,15,5
167,16,5
168,17,5
169,16,5
170,15,5
171,14,5
172,13,5
173,12,5
174,11,5
175,10,5
176,9,5
177,8,5
178,7,5
179,6,5
180,5,5
181,4,5
182,3,5
183,2,5
184,1,5
185,0,5
186,0,4
187,1,4
188,2,4
189,3,4
190,4,4
191,5,4
192,6,4
193,7,4
194,8,4
195,9,4
196,10,4
197,11,4
198,12,4
199,13,4
200,14,4
201,15,4
202,16,4
203,17,4
204,17,5
205,16,5
206,15,5
207,14,5
208,13,5
209,12,5
210,11,5
211,10,5
212,9,5
213,9,6
214,8,6
215,8,7
216,9,7
217,9,8
218,8,8
219,7,8
220,6,8
221,5,8
222,4,8
223,4,9
224,5,9
225,6,9
226,7,9
227,8,9
228,9,9
229,8,9
230,7,9
231,6,9
232,5,9
233,5,10
234,4,10
235,4,11
236,5,11
237,5,12
238,4,12
239,4,13
240,5,13
241,5,14
242,4,14
243,4,15
244,5,15
245,5,16
246,4,16
247,4,17
248,5,17
249,5,18
250,4,18
251,4,19
252,5,19
253,5,20
254,4,20
255,5,20
256,6,20
257,7,20
258,8,20
259,9,20
260,9,21
261,8,21
262,7,21
263,6,21
264,5,21
265,4,21
266,4,20
267,5,20
268,6,20
269,7,20
270,8,20
271,8,19
272,9,19
273,10,19
274,11,19
275,12,19
276,13,19
277,14,19
278,15,19
279,16,19
280,17,19
281,17,18
282,16,18
283,15,18
284,14,18
285,13,18
286,12,18
287,11,18
288,10,18
289,9,18
290,8,18
291,8,19
292,9,19
293,10,19
294,11,19
295,12,19
296,12,20
297,13,20
298,13,21
299,12,21
300,12,22
301,13,22
302,13,23
303,12,23
304,12,24
305,13,24
306,14,24
307,15,24
308,16,24
309,17,24
310,18,24
311,19,24
312,20,24
313,21,24
314,22,24
315,23,24
316,24,24
317,25,24
318,26,24
319,27,24
320,28,24
321,29,24
322,29,25
323,28,25
324,27,25
325,26,25
326,25,25
327,24,25
328,23,25
329,22,25
330,21,25
331,20,25
332,19,25
333,18,25
334,17,25
335,16,25
336,15,25
337,14,25
338,13,25
339,12,25
340,12,24
341,13,24
342,14,24
343,15,24
344,16,24
345,16,23
346,17,23
347,17,22
348,16,22
349,16,21
350,17,21
351,17,20
352,16,20
353,16,21
354,16,22
355,16,23
356,16,24
357,16,25
358,15,25
359,14,25
360,13,25
361,13,26
362,12,26
363,12,27
364,13,27
365,13,28
366,12,28
367,12,29
368,13,29
369,13,30
370,12,30
371,11,30
372,10,30
373,9,30
374,8,30
375,8,31
376,9,31
377,10,31
378,11,31
379,12,31
380,13,31
381,13,30
382,12,30
383,11,30
384,10,30
385,9,30
386,9,29
387,8,29
388,8,28
389,9,28
390,9,27
391,8,27
392,8,26
393,9,26
394,9,25
395,8,25
396,7,25
397,6,25
398,5,25
399,4,25
400,3,25
401,2,25
402,1,25
403,0,25
404,0,24
405,1,24
406,2,24
407,3,24
408,4,24
409,5,24
410,6,24
411,7,24
412,8,24
413,9,24
414,8,24
415,7,24
416,6,24
417,5,24
418,4,24
419,3,24
420,2,24
421,1,24
422,1,23
423,0,23
424,0,22
425,1,22
426,1,21
427,0,21
428,0,20
429,1,20
430,1,19
431,0,19
432,0,18
433,1,18
434,1,17
435,0,17
436,0,16
437,1,16
438,1,15
439,0,15
440,0,14
441,1,14
442,1,13
443,0,13
444,0,12
445,1,12
446,1,11
447,0,11
448,0,10
449,1,10
450,1,9
451,0,9
452,0,8
453,1,8
454,1,7
455,0,7
456,0,6
457,1,6
458,1,7
459,1,8
460,1,9
461,1,10
462,1,11
463,1,12
464,1,13
465,1,14
466,1,15
467,1,16
468,1,17
469,1,18
470,1,19
471,1,20
472,1,21
473,1,22
474,1,23
475,1,24
476,1,25
477,2,25
478,3,25
479,4,25
480,5,25
481,6,25
482,7,25
483,8,25
484,8,26
485,8,27
486,8,28
487,8,29
488,8,30
489,8,31
490,8,32
491,9,32
492,10,32
493,11,32
494,12,32
495,13,32
496,14,32
497,15,32
498,16,32
499,17,32
500,18,32
501,19,32
502,20,32
503,21,32
504,21,33
505,20,33
506,19,33
507,18,33
508,17,33
509,16,33
510,15,33
511,14,33
512,13,33
513,12,33
514,11,33
515,10,33
516,9,33
517,8,33
518,8,34
519,9,34
520,10,34
521,11,34
522,12,34
523,13,34
524,14,34
525,15,34
526,16,34
527,17,34
528,18,34
529,19,34
530,20,34
531,21,34
532,21,35
533,20,35
534,19,35
535,18,35
536,17,35
537,16,35
538,15,35
539,14,35
540,13,35
541,12,35
542,11,35
543,10,35
544,9,35
545,8,35
546,8,36
547,9,36
548,9,37
549,8,37
550,8,38
551,9,38
552,9,39
553,8,39
554,8,40
555,9,40
556,10,40
557,11,40
558,12,40
559,13,40
560,14,40
561,15,40
562,16,40
563,17,40
564,18,40
565,19,40
566,20,40
567,21,40
568,21,41
569,20,41
570,19,41
571,18,41
572,17,41
573,16,41
574,15,41
575,14,41
576,13,41
577,12,41
578,11,41
579,10,41
580,9,41
581,8,41
582,9,41
583,10,41
584,10,42
585,11,42
586,12,42
587,13,42
588,14,42
589,15,42
590,16,42
591,17,42
592,18,42
593,19,42
594,20,42
595,21,42
596,21,43
597,20,43
598,19,43
599,18,43
600,17,43
601,16,43
602,15,43
603,14,43
604,13,43
605,12,43
606,11,43
607,10,43
608,10,44
609,9,44
610,8,44
611,7,44
612,6,44
613,5,44
614,4,44
615,3,44
616,2,44
617,1,44
618,0,44
619,1,44
620,2,44
621,3,44
622,4,44
623,5,44
624,6,44
625,7,44
626,8,44
627,9,44
628,10,44
629,11,44
630,12,44
631,13,44
632,14,44
633,15,44
634,16,44
635,17,44
636,18,44
637,19,44
638,20,44
639,21,44
