step,row,col
0,0,0
1,0,1
2,1,1
3,1,0
4,2,0
5,2,1
6,3,1
7,3,0
8,4,0
9,4,1
10,5,1
11,5,0
12,6,0
13,6,1
14,7,1
15,7,0
16,8,0
17,8,1
18,9,1
19,9,0
20,10,0
21,10,1
22,11,1
23,11,0
24,12,0
25,12,1
26,13,1
27,13,0
28,14,0
29,14,1
30,15,1
31,15,0
32,16,0
33,16,1
34,17,1
35,17,0
36,18,0
37,18,1
38,19,1
39,19,0
40,20,0
41,20,1
42,20,2
43,20,3
44,20,4
45,20,5
46,20,6
47,20,7
48,20,8
49,20,9
50,21,9
51,21,8
52,21,7
53,21,6
54,21,5
55,21,4
56,21,3
57,21,2
58,21,1
59,21,0
60,22,0
61,22,1
62,22,2
63,22,3
64,22,4
65,22,5
66,22,6
67,22,7
68,23,7
69,23,6
70,23,5
71,23,4
72,23,3
73,23,2
74,23,1
75,23,0
76,24,0
77,24,1
78,24,2
79,24,3
80,24,4
81,24,5
82,25,5
83,25,4
84,25,3
85,25,2
86,25,1
87,25,0
88,26,0
89,26,1
90,27,1
91,27,0
92,28,0
93,28,1
94,28,2
95,28,3
96,28,4
97,28,5
98,29,5
99,29,4
100,29,3
101,29,2
102,29,1
103,29,0
104,28,0
105,28,1
106,28,2
107,28,3
108,28,4
109,27,4
110,27,5
111,26,5
112,26,4
113,25,4
114,24,4
115,23,4
116,22,4
117,21,4
118,20,4
119,20,5
120,20,6
121,20,7
122,20,8
123,19,8
124,19,9
125,18,9
126,18,8
127,17,8
128,17,9
129,16,9
130,16,8
131,15,8
132,15,9
133,15,10
134,15,11
135,15,12
136,15,13
137,15,14
138,15,15
139,15,16
140,15,17
141,15,18
142,15,19
143,16,19
144,16,20
145,16,21
146,16,22
147,16,23
148,16,24
149,16,25
150,17,25
151,17,24
152,17,23
153,17,22
154,17,21
155,17,20
156,17,19
157,17,18
158,17,17
159,17,16
160,17,15
161,17,14
162,17,13
163,17,12
164,18,12
165,18,13
166,19,13
167,19,12
168,20,12
169,20,13
170,20,14
171,20,15
172,20,16
173,20,17
174,20,18
175,20,19
176,20,20
177,20,21
178,20,22
179,20,23
180,20,24
181,20,25
182,21,25
183,21,24
184,21,23
185,21,22
186,21,21
187,21,20
188,21,19
189,21,18
190,21,17
191,21,16
192,21,15
193,21,14
194,21,13
195,21,12
196,22,12
197,22,13
198,23,13
199,23,12
200,24,12
201,24,13
202,25,13
203,25,12
204,25,11
205,25,10
206,25,9
207,25,8
208,26,8
209,26,9
210,27,9
211,27,8
212,28,8
213,28,9
214,28,10
215,28,11
216,28,12
217,28,13
218,28,14
219,28,15
220,28,16
221,28,17
222,29,17
223,29,16
224,29,15
225,29,14
226,29,13
227,29,12
228,29,11
229,29,10
230,29,9
231,29,8
232,30,8
233,30,9
234,31,9
235,31,8
236,32,8
237,32,9
238,32,10
239,32,11
240,32,12
241,32,13
242,33,13
243,33,12
244,33,11
245,33,10
246,33,9
247,33,8
248,32,8
249,32,9
250,32,10
251,32,11
252,32,12
253,31,12
254,31,13
255,30,13
256,30,12
257,30,13
258,29,13
259,29,14
260,29,15
261,29,16
262,30,16
263,30,17
264,31,17
265,31,16
266,32,16
267,32,17
268,33,17
269,33,16
270,34,16
271,34,17
272,35,17
273,35,16
274,36,16
275,36,17
276,37,17
277,37,16
278,37,15
279,37,14
280,37,13
281,37,12
282,37,11
283,37,10
284,37,9
285,37,8
286,38,8
287,38,9
288,39,9
289,39,8
290,40,8
291,40,9
292,41,9
293,41,8
294,42,8
295,42,9
296,43,9
297,43,8
298,44,8
299,44,9
300,44,10
301,44,11
302,44,12
303,44,13
304,44,14
305,44,15
306,44,16
307,44,17
308,45,17
