step,row,col
0,0,0
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,8,0
9,9,0
10,10,0
11,11,0
12,12,0
13,13,0
14,14,0
15,15,0
16,16,0
17,17,0
18,18,0
19,19,0
20,20,0
21,21,0
22,22,0
23,23,0
24,24,0
25,25,0
26,26,0
27,27,0
28,28,0
29,29,0
30,29,1
31,28,1
32,27,1
33,26,1
34,25,1
35,24,1
36,23,1
37,22,1
38,21,1
39,20,1
40,19,1
41,18,1
42,17,1
43,16,1
44,15,1
45,14,1
46,13,1
47,12,1
48,11,1
49,10,1
50,9,1
51,8,1
52,7,1
53,6,1
54,5,1
55,4,1
56,3,1
57,2,1
58,1,1
59,0,1
60,1,1
61,2,1
62,3,1
63,4,1
64,5,1
65,6,1
66,7,1
67,8,1
68,9,1
69,10,1
70,11,1
71,12,1
72,13,1
73,14,1
74,15,1
75,16,1
76,17,1
77,18,1
78,19,1
79,20,1
80,20,2
81,21,2
82,22,2
83,23,2
84,24,2
85,25,2
86,25,3
87,24,3
88,23,3
89,22,3
90,21,3
91,20,3
92,20,4
93,21,4
94,22,4
95,23,4
96,24,4
97,25,4
98,26,4
99,27,4
100,28,4
101,29,4
102,29,5
103,28,5
104,27,5
105,26,5
106,25,5
107,24,5
108,23,5
109,22,5
110,21,5
111,20,5
112,20,6
113,21,6
114,22,6
115,23,6
116,23,7
117,22,7
118,21,7
119,20,7
120,20,6
121,20,5
122,20,4
123,21,4
124,22,4
125,23,4
126,24,4
127,25,4
128,26,4
129,27,4
130,28,4
131,28,3
132,29,3
133,29,2
134,28,2
135,28,3
136,28,4
137,28,5
138,27,5
139,26,5
140,25,5
141,24,5
142,23,5
143,23,6
144,23,7
145,22,7
146,21,7
147,21,8
148,20,8
149,19,8
150,18,8
151,17,8
152,16,8
153,15,8
154,14,8
155,13,8
156,12,8
157,12,9
158,13,9
159,14,9
160,15,9
161,16,9
162,17,9
163,18,9
164,19,9
165,20,9
166,21,9
167,20,9
168,19,9
169,18,9
170,17,9
171,16,9
172,15,9
173,15,10
174,14,10
175,13,10
176,12,10
177,12,11
178,13,11
179,14,11
180,15,11
181,15,10
182,15,9
183,15,8
184,14,8
185,13,8
186,13,7
187,12,7
188,12,6
189,13,6
190,13,5
191,14,5
192,15,5
193,16,5
194,17,5
195,16,5
196,15,5
197,14,5
198,13,5
199,12,5
200,11,5
201,10,5
202,9,5
203,8,5
204,7,5
205,6,5
206,5,5
207,4,5
208,3,5
209,2,5
210,1,5
211,0,5
212,0,4
213,1,4
214,2,4
215,3,4
216,4,4
217,5,4
218,6,4
219,7,4
220,8,4
221,9,4
222,10,4
223,11,4
224,12,4
225,13,4
226,14,4
227,15,4
228,16,4
229,17,4
230,17,5
231,16,5
232,15,5
233,14,5
234,13,5
235,12,5
236,11,5
237,10,5
238,9,5
239,8,5
240,7,5
241,6,5
242,5,5
243,4,5
244,3,5
245,2,5
246,1,5
247,1,6
248,0,6
249,0,7
250,1,7
251,1,8
252,0,8
253,0,9
254,1,9
255,1,10
256,0,10
257,0,11
258,1,11
259,1,12
260,0,12
261,0,13
262,1,13
263,1,14
264,0,14
265,0,15
266,1,15
267,1,16
268,0,16
269,0,17
270,1,17
271,1,18
272,0,18
273,0,19
274,1,19
275,1,20
276,0,20
277,0,21
278,1,21
279,1,22
280,0,22
281,0,23
282,1,23
283,1,24
284,2,24
285,3,24
286,4,24
287,5,24
288,6,24
289,7,24
290,8,24
291,9,24
292,8,24
293,7,24
294,6,24
295,5,24
296,4,24
297,3,24
298,2,24
299,1,24
300,0,24
301,0,25
302,1,25
303,2,25
304,3,25
305,4,25
306,5,25
307,6,25
308,7,25
309,8,25
310,9,25
311,9,26
312,8,26
313,8,27
314,9,27
315,9,28
316,8,28
317,8,29
318,9,29
319,9,30
320,8,30
321,9,30
322,10,30
323,11,30
324,12,30
325,13,30
326,13,31
327,12,31
328,11,31
329,10,31
330,9,31
331,8,31
332,8,30
333,9,30
334,10,30
335,11,30
336,12,30
337,12,29
338,13,29
339,13,28
340,12,28
341,12,27
342,13,27
343,13,26
344,12,26
345,12,25
346,13,25
347,14,25
348,15,25
349,16,25
350,17,25
351,18,25
352,19,25
353,20,25
354,21,25
355,22,25
356,23,25
357,24,25
358,25,25
359,26,25
360,27,25
361,28,25
362,29,25
363,29,24
364,28,24
365,27,24
366,26,24
367,25,24
368,24,24
369,23,24
370,22,24
371,21,24
372,20,24
373,19,24
374,18,24
375,17,24
376,16,24
377,15,24
378,14,24
379,13,24
380,12,24
381,12,23
382,13,23
383,13,22
384,12,22
385,12,21
386,13,21
387,13,20
388,12,20
389,12,19
390,11,19
391,10,19
392,9,19
393,8,19
394,9,19
395,10,19
396,11,19
397,12,19
398,13,19
399,14,19
400,15,19
401,16,19
402,17,19
403,17,18
404,16,18
405,15,18
406,14,18
407,13,18
408,12,18
409,11,18
410,10,18
411,9,18
412,8,18
413,8,17
414,9,17
415,10,17
416,11,17
417,12,17
418,13,17
419,14,17
420,15,17
421,16,17
422,17,17
423,18,17
424,19,17
425,20,17
426,21,17
427,22,17
428,23,17
429,24,17
430,25,17
431,25,16
432,24,16
433,23,16
434,22,16
435,21,16
436,20,16
437,19,16
438,18,16
439,17,16
440,16,16
441,15,16
442,14,16
443,13,16
444,12,16
445,11,16
446,10,16
447,9,16
448,8,16
449,9,16
450,10,16
451,11,16
452,12,16
453,12,15
454,13,15
455,14,15
456,15,15
457,16,15
458,17,15
459,17,14
460,16,14
461,15,14
462,14,14
463,13,14
464,12,14
465,12,13
466,13,13
467,14,13
468,15,13
469,16,13
470,17,13
471,18,13
472,19,13
473,20,13
474,21,13
475,22,13
476,23,13
477,24,13
478,25,13
479,25,12
480,24,12
481,23,12
482,22,12
483,21,12
484,20,12
485,19,12
486,18,12
487,17,12
488,16,12
489,15,12
490,14,12
491,13,12
492,12,12
493,13,12
494,14,12
495,15,12
496,16,12
497,17,12
498,18,12
499,19,12
500,20,12
501,21,12
502,22,12
503,23,12
504,24,12
505,24,11
506,25,11
507,25,10
508,24,10
509,24,9
510,25,9
511,26,9
512,27,9
513,28,9
514,29,9
515,30,9
516,31,9
517,32,9
518,33,9
519,33,8
520,32,8
521,31,8
522,30,8
523,29,8
524,28,8
525,27,8
526,26,8
527,25,8
528,24,8
529,24,9
530,25,9
531,26,9
532,27,9
533,28,9
534,28,10
535,29,10
536,29,11
537,28,11
538,28,12
539,29,12
540,30,12
541,31,12
542,32,12
543,33,12
544,33,13
545,32,13
546,31,13
547,30,13
548,29,13
549,28,13
550,28,14
551,29,14
552,29,15
553,28,15
554,28,14
555,28,13
556,28,12
557,29,12
558,30,12
559,31,12
560,32,12
561,32,11
562,33,11
563,33,10
564,32,10
565,32,11
566,32,12
567,32,13
568,31,13
569,30,13
570,29,13
571,29,14
572,29,15
573,29,16
574,30,16
575,31,16
576,32,16
577,31,16
578,30,16
579,29,16
580,28,16
581,29,16
582,30,16
583,31,16
584,32,16
585,33,16
586,34,16
587,35,16
588,36,16
589,37,16
590,38,16
591,39,16
592,40,16
593,41,16
594,42,16
595,43,16
596,44,16
597,45,16
598,46,16
599,47,16
600,48,16
601,49,16
602,49,17
603,48,17
604,47,17
605,46,17
606,45,17
607,44,17
608,43,17
609,42,17
610,41,17
611,40,17
612,39,17
613,38,17
614,37,17
615,36,17
616,35,17
617,34,17
618,33,17
619,32,17
620,31,17
621,30,17
622,29,17
623,28,17
624,28,16
625,29,16
626,30,16
627,31,16
628,32,16
629,33,16
630,34,16
631,35,16
632,36,16
633,36,15
634,37,15
635,37,14
636,36,14
637,36,13
638,37,13
639,37,12
