step,row,col
0,0,0
1,1,0
2,0,0
3,0,1
4,1,1
5,1,0
6,0,0
7,1,0
8,2,0
9,3,0
10,2,0
11,3,0
12,4,0
13,3,0
14,4,0
15,5,0
16,4,0
17,5,0
18,6,0
19,7,0
20,7,1
21,7,0
22,6,0
23,6,1
24,6,0
25,5,0
26,6,0
27,7,0
28,7,1
29,7,0
30,6,0
31,7,0
32,7,1
33,7,0
34,7,1
35,8,1
36,9,1
37,10,1
38,10,0
39,10,1
40,9,1
41,8,1
42,8,0
43,7,0
44,6,0
45,7,0
46,7,1
47,8,1
48,7,1
49,8,1
50,9,1
51,8,1
52,9,1
53,9,0
54,8,0
55,8,1
56,9,1
57,10,1
58,10,0
59,9,0
60,9,1
61,9,0
62,8,0
63,9,0
64,9,1
65,10,1
66,11,1
67,12,1
68,11,1
69,11,0
70,11,1
71,11,0
72,11,1
73,10,1
74,10,0
75,10,1
76,10,0
77,9,0
78,10,0
79,11,0
80,10,0
81,9,0
82,9,1
83,10,1
84,11,1
85,12,1
86,12,0
87,11,0
88,12,0
89,13,0
90,13,1
91,13,0
92,13,1
93,13,0
94,14,0
95,15,0
96,14,0
97,13,0
98,12,0
99,13,0
100,13,1
101,14,1
102,14,0
103,14,1
104,15,1
105,16,1
106,15,1
107,15,0
108,15,1
109,15,0
110,15,1
111,15,0
112,14,0
113,14,1
114,13,1
115,13,0
116,12,0
117,11,0
118,10,0
119,11,0
120,12,0
121,13,0
122,12,0
123,13,0
124,14,0
125,14,1
126,13,1
127,14,1
128,15,1
129,15,0
130,15,1
131,15,0
132,16,0
133,16,1
134,15,1
135,16,1
136,17,1
137,16,1
138,17,1
139,17,0
140,17,1
141,17,0
142,17,1
143,18,1
144,18,0
145,19,0
146,19,1
147,19,0
148,18,0
149,19,0
150,18,0
151,17,0
152,17,1
153,17,0
154,16,0
155,16,1
156,16,0
157,16,1
158,16,0
159,15,0
160,16,0
161,17,0
162,17,1
163,18,1
164,18,0
165,19,0
166,18,0
167,19,0
168,20,0
169,20,1
170,20,0
171,20,1
172,21,1
173,22,1
174,22,0
175,21,0
176,20,0
177,19,0
178,20,0
179,21,0
180,21,1
181,20,1
182,21,1
183,21,2
184,22,2
185,21,2
186,21,1
187,21,0
188,21,1
189,21,0
190,22,0
191,21,0
192,22,0
193,21,0
194,20,0
195,21,0
196,22,0
197,21,0
198,21,1
199,21,0
200,21,1
201,21,2
202,21,1
203,21,0
204,22,0
205,21,0
206,20,0
207,21,0
208,21,1
209,20,1
210,20,2
211,21,2
212,21,1
213,20,1
214,20,0
215,21,0
216,21,1
217,20,1
218,21,1
219,21,0
220,21,1
221,21,2
222,22,2
223,21,2
224,22,2
225,23,2
226,22,2
227,21,2
228,20,2
229,20,3
230,20,2
231,20,3
232,20,2
233,20,3
234,20,2
235,21,2
236,22,2
237,22,3
238,23,3
239,23,2
240,22,2
241,21,2
242,20,2
243,20,3
244,20,2
245,21,2
246,22,2
247,21,2
248,21,3
249,21,4
250,21,3
251,21,2
252,20,2
253,21,2
254,22,2
255,23,2
256,22,2
257,21,2
258,20,2
259,20,1
260,19,1
261,20,1
262,19,1
263,18,1
264,19,1
265,20,1
266,21,1
267,20,1
268,20,2
269,20,1
270,19,1
271,19,0
272,18,0
273,18,1
274,19,1
275,20,1
276,19,1
277,19,0
278,18,0
279,17,0
280,17,1
281,16,1
282,16,0
283,15,0
284,14,0
285,15,0
286,14,0
287,13,0
288,14,0
289,14,1
290,13,1
291,12,1
292,12,0
293,12,1
294,12,0
295,13,0
296,13,1
297,13,0
298,14,0
299,13,0
300,14,0
301,13,0
302,14,0
303,14,1
304,14,0
305,15,0
306,15,1
307,14,1
308,14,0
309,14,1
310,15,1
311,16,1
312,15,1
313,16,1
314,15,1
315,16,1
316,15,1
317,14,1
318,14,0
319,14,1
320,13,1
321,12,1
322,11,1
323,11,0
324,11,1
325,11,0
326,11,1
327,10,1
328,11,1
329,12,1
330,13,1
331,12,1
332,12,0
333,12,1
334,12,0
335,11,0
336,11,1
337,12,1
338,12,0
339,13,0
340,14,0
341,13,0
342,14,0
343,13,0
344,13,1
345,13,0
346,12,0
347,12,1
348,13,1
349,14,1
350,14,0
351,13,0
352,13,1
353,13,0
354,13,1
355,13,0
356,12,0
357,13,0
358,13,1
359,13,0
360,13,1
361,13,0
362,14,0
363,13,0
364,13,1
365,13,0
366,14,0
367,13,0
368,13,1
369,13,0
370,14,0
371,14,1
372,15,1
373,14,1
374,13,1
375,12,1
376,13,1
377,13,0
378,12,0
379,11,0
380,11,1
381,10,1
382,11,1
383,11,0
384,11,1
385,11,0
386,11,1
387,11,0
388,10,0
389,10,1
390,10,0
391,9,0
392,8,0
393,9,0
394,10,0
395,9,0
396,10,0
397,11,0
398,10,0
399,10,1
400,11,1
401,11,0
402,11,1
403,11,0
404,12,0
405,11,0
406,11,1
407,12,1
408,13,1
409,13,0
410,13,1
411,14,1
412,13,1
413,14,1
414,14,0
415,15,0
416,16,0
417,16,1
418,16,0
419,17,0
420,16,0
421,16,1
422,15,1
423,16,1
424,15,1
425,15,0
426,16,0
427,17,0
428,16,0
429,15,0
430,14,0
431,14,1
432,13,1
433,13,0
434,13,1
435,12,1
436,13,1
437,13,0
438,12,0
439,12,1
440,13,1
441,13,0
442,13,1
443,13,0
444,14,0
445,15,0
446,16,0
447,17,0
448,16,0
449,15,0
450,16,0
451,16,1
452,15,1
453,15,0
454,15,1
455,14,1
456,15,1
457,14,1
458,15,1
459,15,0
460,16,0
461,17,0
462,18,0
463,18,1
464,17,1
465,16,1
466,17,1
467,18,1
468,18,0
469,19,0
470,20,0
471,20,1
472,19,1
473,18,1
474,19,1
475,18,1
476,17,1
477,18,1
478,19,1
479,18,1
480,19,1
481,18,1
482,18,0
483,17,0
484,18,0
485,17,0
486,16,0
487,17,0
488,16,0
489,16,1
490,16,0
491,15,0
492,15,1
493,16,1
494,15,1
495,15,0
496,15,1
497,16,1
498,16,0
499,16,1
500,15,1
501,15,0
502,14,0
503,13,0
504,13,1
505,12,1
506,11,1
507,11,0
508,11,1
509,10,1
510,11,1
511,10,1
512,11,1
513,12,1
514,13,1
515,12,1
516,11,1
517,12,1
518,13,1
519,12,1
520,11,1
521,12,1
522,13,1
523,13,0
524,12,0
525,12,1
526,13,1
527,13,0
528,14,0
529,14,1
530,15,1
531,14,1
532,13,1
533,12,1
534,13,1
535,14,1
536,14,0
537,13,0
538,14,0
539,15,0
540,16,0
541,17,0
542,18,0
543,17,0
544,18,0
545,19,0
546,20,0
547,19,0
548,20,0
549,21,0
550,21,1
551,21,2
552,20,2
553,21,2
554,21,1
555,21,2
556,22,2
557,22,3
558,22,4
559,21,4
560,21,5
561,21,6
562,21,5
563,21,4
564,22,4
565,22,5
566,22,6
567,22,5
568,21,5
569,21,4
570,20,4
571,20,3
572,20,4
573,21,4
574,20,4
575,20,3
576,20,2
577,21,2
578,21,3
579,22,3
580,22,4
581,21,4
582,22,4
583,22,3
584,22,4
585,23,4
586,24,4
587,23,4
588,23,3
589,23,2
590,24,2
591,24,1
592,23,1
593,24,1
594,23,1
595,23,2
596,24,2
597,23,2
598,22,2
599,22,3
600,23,3
601,23,2
602,23,1
603,24,1
604,23,1
605,22,1
606,23,1
607,23,2
608,24,2
609,24,3
610,24,2
611,24,1
612,24,2
613,24,1
614,24,2
615,23,2
616,22,2
617,22,3
618,23,3
619,22,3
620,22,2
621,22,3
622,22,4
623,22,5
624,22,6
625,22,5
626,22,4
627,22,5
628,22,4
629,22,3
630,23,3
631,23,4
632,22,4
633,22,5
634,22,6
635,21,6
636,21,7
637,21,8
638,21,9
639,21,8
