step,row,col
0,0,0
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,8,0
9,9,0
10,10,0
11,11,0
12,12,0
13,13,0
14,14,0
15,15,0
16,16,0
17,17,0
18,18,0
19,19,0
20,20,0
21,21,0
22,22,0
23,23,0
24,24,0
25,25,0
26,26,0
27,27,0
28,28,0
29,29,0
30,29,1
31,29,2
32,29,3
33,29,4
34,29,5
35,28,5
36,27,5
37,26,5
38,25,5
39,24,5
40,23,5
41,23,6
42,23,7
43,22,7
44,21,7
45,21,8
46,21,9
47,20,9
48,19,9
49,18,9
50,17,9
51,16,9
52,15,9
53,15,10
54,15,11
55,15,12
56,16,12
57,17,12
58,18,12
59,19,12
60,20,12
61,21,12
62,22,12
63,23,12
64,24,12
65,24,11
66,24,10
67,24,9
68,24,8
69,25,8
70,26,8
71,27,8
72,28,8
73,29,8
74,30,8
75,31,8
76,32,8
77,33,8
78,33,9
79,33,10
80,33,11
81,33,12
82,33,13
83,32,13
84,31,13
85,30,13
86,29,13
87,29,14
88,29,15
89,29,16
90,30,16
91,31,16
92,32,16
93,33,16
94,34,16
95,35,16
96,36,16
97,37,16
98,38,16
99,39,16
100,40,16
101,41,16
102,42,16
103,43,16
104,44,16
105,45,16
106,46,16
107,47,16
108,48,16
109,49,16
110,49,17
111,49,18
112,49,19
113,49,20
114,49,21
115,49,22
116,49,23
117,49,24
118,49,25
119,48,25
120,47,25
121,46,25
122,45,25
123,45,26
124,45,27
125,45,28
126,46,28
127,47,28
128,48,28
129,49,28
130,50,28
131,51,28
132,52,28
133,53,28
134,54,28
135,55,28
136,56,28
137,57,28
138,58,28
139,59,28
140,60,28
141,61,28
142,61,29
143,61,30
144,62,30
145,63,30
146,63,31
147,62,31
148,61,31
149,61,32
150,61,33
151,61,34
152,61,35
153,61,36
154,61,37
155,61,38
156,61,39
157,61,40
158,62,40
159,63,40
160,64,40
161,65,40
162,66,40
163,67,40
164,68,40
165,68,39
166,68,38
167,69,38
168,70,38
169,70,37
170,70,36
171,71,36
172,72,36
173,73,36
174,74,36
175,75,36
176,76,36
177,77,36
178,78,36
179,79,36
180,80,36
181,81,36
182,81,37
183,81,38
184,81,39
185,81,40
186,82,40
187,83,40
188,84,40
189,85,40
190,86,40
191,87,40
192,88,40
193,89,40
194,90,40
195,91,40
196,92,40
197,93,40
198,94,40
199,95,40
200,96,40
201,96,39
202,96,38
203,96,37
204,95,37
205,94,37
206,93,37
207,92,37
208,91,37
209,90,37
210,89,37
211,89,38
212,89,39
213,88,39
214,88,38
215,88,37
216,87,37
217,86,37
218,85,37
219,84,37
220,84,36
221,85,36
222,86,36
223,87,36
224,88,36
225,89,36
226,90,36
227,90,37
228,89,37
229,88,37
230,88,36
231,88,35
232,88,34
233,89,34
234,90,34
235,91,34
236,92,34
237,92,33
238,92,32
239,93,32
240,94,32
241,95,32
242,96,32
243,96,31
244,96,30
245,96,29
246,96,28
247,96,27
248,96,26
249,96,25
250,96,24
251,96,23
252,96,22
253,96,21
254,95,21
255,94,21
256,93,21
257,93,22
258,93,23
259,93,24
260,93,25
261,93,26
262,93,27
263,93,28
264,93,29
265,92,29
266,91,29
267,91,30
268,91,31
269,91,32
270,91,33
271,90,33
272,89,33
273,88,33
274,88,32
275,89,32
276,90,32
277,90,31
278,90,30
279,90,29
280,89,29
281,88,29
282,87,29
283,86,29
284,85,29
285,85,30
286,85,31
287,85,32
288,85,33
289,84,33
290,83,33
291,82,33
292,81,33
293,81,34
294,81,35
295,80,35
296,80,34
297,80,33
298,80,32
299,81,32
300,82,32
301,83,32
302,84,32
303,84,31
304,84,30
305,84,29
306,83,29
307,82,29
308,81,29
309,80,29
310,79,29
311,78,29
312,77,29
313,77,30
314,77,31
315,77,32
316,77,33
317,76,33
318,75,33
319,74,33
320,73,33
321,73,34
322,73,35
323,72,35
324,71,35
325,70,35
326,69,35
327,69,36
328,69,37
329,68,37
330,68,36
331,68,35
332,68,34
333,68,33
334,68,32
335,69,32
336,70,32
337,70,31
338,70,30
339,71,30
340,72,30
341,72,29
342,72,28
343,73,28
344,74,28
345,74,27
346,74,26
347,75,26
348,76,26
349,76,25
350,76,24
351,77,24
352,78,24
353,79,24
354,80,24
355,81,24
356,81,25
357,81,26
358,81,27
359,80,27
360,80,26
361,80,25
362,79,25
363,78,25
364,77,25
365,76,25
366,75,25
367,74,25
368,73,25
369,73,26
370,73,27
371,72,27
372,71,27
373,71,28
374,71,29
375,70,29
376,69,29
377,69,30
378,69,31
379,68,31
380,67,31
381,67,32
382,67,33
383,66,33
384,65,33
385,65,34
386,65,35
387,65,36
388,65,37
389,65,38
390,66,38
391,67,38
392,67,39
393,66,39
394,65,39
395,64,39
396,64,38
397,64,37
398,64,36
399,64,35
400,64,34
401,64,33
402,64,32
403,65,32
404,66,32
405,66,31
406,66,30
407,66,29
408,65,29
409,64,29
410,64,28
411,64,27
412,64,26
413,64,25
414,64,24
415,65,24
416,66,24
417,67,24
418,68,24
419,69,24
420,70,24
421,70,23
422,70,22
423,71,22
424,72,22
425,72,21
426,72,20
427,73,20
428,74,20
429,75,20
430,76,20
431,76,19
432,75,19
433,74,19
434,73,19
435,72,19
436,71,19
437,71,20
438,71,21
439,70,21
440,69,21
441,69,22
442,69,23
443,68,23
444,68,22
445,68,21
446,67,21
447,66,21
448,65,21
449,64,21
450,63,21
451,62,21
452,61,21
453,60,21
454,59,21
455,59,22
456,59,23
457,59,24
458,60,24
459,61,24
460,61,25
461,61,26
462,61,27
463,60,27
464,60,26
465,60,25
466,59,25
467,58,25
468,57,25
469,56,25
470,55,25
471,54,25
472,53,25
473,52,25
474,52,24
475,52,23
476,52,22
477,52,21
478,52,20
479,52,19
480,52,18
481,52,17
482,52,16
483,53,16
484,54,16
485,55,16
486,56,16
487,57,16
488,58,16
489,59,16
490,60,16
491,61,16
492,61,17
493,61,18
494,62,18
495,63,18
496,63,19
497,62,19
498,61,19
499,60,19
500,60,18
501,60,17
502,59,17
503,58,17
504,57,17
505,56,17
506,55,17
507,54,17
508,53,17
509,53,18
510,53,19
511,53,20
512,53,21
513,53,22
514,53,23
515,53,24
516,54,24
517,55,24
518,56,24
519,57,24
520,58,24
521,58,23
522,58,22
523,58,21
524,57,21
525,56,21
526,56,20
527,57,20
528,58,20
529,59,20
530,60,20
531,61,20
532,62,20
533,63,20
534,64,20
535,65,20
536,66,20
537,67,20
538,68,20
539,69,20
540,70,20
541,70,19
542,69,19
543,68,19
544,68,18
545,68,17
546,67,17
547,66,17
548,65,17
549,64,17
550,64,16
551,64,15
552,64,14
553,64,13
554,63,13
555,62,13
556,61,13
557,60,13
558,59,13
559,58,13
560,57,13
561,56,13
562,56,12
563,56,11
564,56,10
565,56,9
566,55,9
567,54,9
568,53,9
569,53,10
570,53,11
571,53,12
572,53,13
573,52,13
574,51,13
575,50,13
576,49,13
577,48,13
578,47,13
579,46,13
580,45,13
581,45,14
582,45,15
583,44,15
584,44,14
585,44,13
586,44,12
587,44,11
588,44,10
589,45,10
590,46,10
591,47,10
592,48,10
593,49,10
594,50,10
595,50,9
596,49,9
597,48,9
598,47,9
599,46,9
600,45,9
601,44,9
602,43,9
603,42,9
604,41,9
605,40,9
606,39,9
607,38,9
608,37,9
609,37,10
610,37,11
611,37,12
612,37,13
613,37,14
614,37,15
615,36,15
616,36,14
617,36,13
618,36,12
619,36,11
620,36,10
621,36,9
622,36,8
623,37,8
624,38,8
625,39,8
626,40,8
627,41,8
628,42,8
629,43,8
630,44,8
631,45,8
632,46,8
633,46,7
634,46,6
635,47,6
636,48,6
637,49,6
638,50,6
639,50,5
