step,row,col
0,0,0
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,8,0
9,9,0
10,10,0
11,11,0
12,12,0
13,13,0
14,14,0
15,15,0
16,16,0
17,17,0
18,18,0
19,19,0
20,20,0
21,21,0
22,22,0
23,23,0
24,23,1
25,23,2
26,23,3
27,23,4
28,24,4
29,25,4
30,26,4
31,27,4
32,28,4
33,28,3
34,28,2
35,28,1
36,27,1
37,26,1
38,25,1
39,25,2
40,25,3
41,24,3
42,24,2
43,24,1
44,24,0
45,25,0
46,26,0
47,27,0
48,28,0
49,29,0
50,29,1
51,29,2
52,29,3
53,29,4
54,29,5
55,28,5
56,27,5
57,26,5
58,25,5
59,24,5
60,23,5
61,22,5
62,21,5
63,21,6
64,21,7
65,21,8
66,21,9
67,20,9
68,19,9
69,18,9
70,17,9
71,16,9
72,15,9
73,15,10
74,15,11
75,15,12
76,15,13
77,15,14
78,15,15
79,15,16
80,16,16
81,17,16
82,17,17
83,17,18
84,17,19
85,17,20
86,17,21
87,17,22
88,17,23
89,17,24
90,18,24
91,19,24
92,20,24
93,21,24
94,22,24
95,23,24
96,24,24
97,25,24
98,26,24
99,27,24
100,28,24
101,29,24
102,29,25
103,29,26
104,29,27
105,29,28
106,29,29
107,29,30
108,29,31
109,29,32
110,29,33
111,29,34
112,29,35
113,28,35
114,27,35
115,26,35
116,25,35
117,25,36
118,25,37
119,25,38
120,25,39
121,25,40
122,26,40
123,27,40
124,28,40
125,29,40
126,30,40
127,31,40
128,32,40
129,33,40
130,33,41
131,33,42
132,33,43
133,33,44
134,33,45
135,33,46
136,34,46
137,35,46
138,35,47
139,35,48
140,35,49
141,35,50
142,35,51
143,34,51
144,33,51
145,33,52
146,33,53
147,32,53
148,31,53
149,30,53
150,29,53
151,28,53
152,28,52
153,28,51
154,28,50
155,28,49
156,28,48
157,29,48
158,30,48
159,30,47
160,29,47
161,28,47
162,28,46
163,28,45
164,27,45
165,26,45
166,25,45
167,25,46
168,25,47
169,25,48
170,25,49
171,24,49
172,23,49
173,22,49
174,21,49
175,20,49
176,19,49
177,18,49
178,17,49
179,17,50
180,17,51
181,16,51
182,15,51
183,14,51
184,14,50
185,14,49
186,14,48
187,14,47
188,14,46
189,14,45
190,14,44
191,15,44
192,16,44
193,17,44
194,18,44
195,18,43
196,17,43
197,16,43
198,16,42
199,16,41
200,15,41
201,14,41
202,13,41
203,13,42
204,13,43
205,13,44
206,13,45
207,12,45
208,11,45
209,10,45
210,9,45
211,9,46
212,9,47
213,9,48
214,9,49
215,9,50
216,9,51
217,9,52
218,10,52
219,11,52
220,12,52
221,13,52
222,14,52
223,15,52
224,16,52
225,17,52
226,18,52
227,19,52
228,20,52
229,21,52
230,22,52
231,23,52
232,24,52
233,25,52
234,26,52
235,27,52
236,27,53
237,26,53
238,25,53
239,24,53
240,23,53
241,22,53
242,21,53
243,20,53
244,19,53
245,18,53
246,18,52
247,18,51
248,18,50
249,19,50
250,19,51
251,19,52
252,19,53
253,18,53
254,17,53
255,16,53
256,15,53
257,14,53
258,13,53
259,12,53
260,12,52
261,12,51
262,12,50
263,12,49
264,12,48
265,12,47
266,12,46
267,13,46
268,13,47
269,13,48
270,13,49
271,13,50
272,13,51
273,13,52
274,13,53
275,12,53
276,11,53
277,10,53
278,9,53
279,8,53
280,8,52
281,8,51
282,8,50
283,8,49
284,7,49
285,6,49
286,5,49
287,4,49
288,4,48
289,4,47
290,4,46
291,4,45
292,3,45
293,2,45
294,1,45
295,1,46
296,1,47
297,1,48
298,1,49
299,1,50
300,1,51
301,1,52
302,2,52
303,3,52
304,4,52
305,5,52
306,5,53
307,5,54
308,5,55
309,5,56
310,5,57
311,5,58
312,5,59
313,5,60
314,5,61
315,5,62
316,5,63
317,5,64
318,6,64
319,7,64
320,8,64
321,9,64
322,10,64
323,11,64
324,12,64
325,12,63
326,11,63
327,10,63
328,10,62
329,10,61
330,10,60
331,10,59
332,9,59
333,8,59
334,8,58
335,8,57
336,8,56
337,9,56
338,10,56
339,11,56
340,12,56
341,13,56
342,14,56
343,15,56
344,16,56
345,17,56
346,18,56
347,19,56
348,20,56
349,21,56
350,21,57
351,21,58
352,21,59
353,21,60
354,21,61
355,21,62
356,21,63
357,21,64
358,22,64
359,23,64
360,24,64
361,25,64
362,26,64
363,27,64
364,27,65
365,27,66
366,27,67
367,27,68
368,28,68
369,29,68
370,29,69
371,29,70
372,30,70
373,31,70
374,31,71
375,31,72
376,32,72
377,33,72
378,33,73
379,33,74
380,34,74
381,35,74
382,35,75
383,35,76
384,36,76
385,37,76
386,37,77
387,37,78
388,37,79
389,37,80
390,37,81
391,36,81
392,35,81
393,34,81
394,33,81
395,32,81
396,32,80
397,32,79
398,31,79
399,30,79
400,29,79
401,28,79
402,28,78
403,28,77
404,27,77
405,26,77
406,26,76
407,26,75
408,26,74
409,26,73
410,25,73
411,24,73
412,23,73
413,22,73
414,21,73
415,21,74
416,21,75
417,21,76
418,22,76
419,23,76
420,24,76
421,25,76
422,25,77
423,24,77
424,23,77
425,22,77
426,21,77
427,20,77
428,19,77
429,18,77
430,17,77
431,16,77
432,15,77
433,15,78
434,15,79
435,15,80
436,15,81
437,15,82
438,16,82
439,17,82
440,18,82
441,19,82
442,20,82
443,21,82
444,21,83
445,21,84
446,22,84
447,23,84
448,24,84
449,25,84
450,26,84
451,27,84
452,28,84
453,29,84
454,29,85
455,29,86
456,29,87
457,29,88
458,29,89
459,29,90
460,29,91
461,29,92
462,29,93
463,28,93
464,27,93
465,26,93
466,25,93
467,25,94
468,25,95
469,24,95
470,23,95
471,23,96
472,23,97
473,22,97
474,21,97
475,20,97
476,19,97
477,18,97
478,17,97
479,16,97
480,15,97
481,14,97
482,13,97
483,12,97
484,11,97
485,10,97
486,9,97
487,8,97
488,8,96
489,9,96
490,10,96
491,11,96
492,12,96
493,13,96
494,14,96
495,15,96
496,16,96
497,17,96
498,18,96
499,19,96
500,20,96
501,20,95
502,20,94
503,20,93
504,19,93
505,18,93
506,17,93
507,16,93
508,15,93
509,14,93
510,14,92
511,14,91
512,14,90
513,14,89
514,14,88
515,15,88
516,16,88
517,16,87
518,15,87
519,14,87
520,13,87
521,12,87
522,11,87
523,10,87
524,9,87
525,8,87
526,7,87
527,6,87
528,6,86
529,6,85
530,6,84
531,6,83
532,6,82
533,7,82
534,8,82
535,9,82
536,10,82
537,10,81
538,9,81
539,8,81
540,8,80
541,8,79
542,7,79
543,6,79
544,5,79
545,5,80
546,5,81
547,5,82
548,5,83
549,5,84
550,5,85
551,5,86
552,5,87
553,5,88
554,6,88
555,7,88
556,8,88
557,9,88
558,10,88
559,11,88
560,12,88
561,13,88
562,13,89
563,13,90
564,13,91
565,13,92
566,13,93
567,12,93
568,11,93
569,10,93
570,9,93
571,8,93
572,7,93
573,6,93
574,5,93
575,5,94
576,5,95
577,5,96
578,5,97
579,4,97
580,3,97
581,2,97
582,1,97
583,0,97
584,0,96
585,0,95
586,0,94
587,0,93
588,0,92
589,0,91
590,0,90
591,0,89
592,0,88
593,0,87
594,0,86
595,0,85
596,0,84
597,0,83
598,0,82
599,0,81
600,0,80
601,0,79
602,0,78
603,0,77
604,0,76
605,0,75
606,0,74
607,0,73
608,0,72
609,0,71
610,0,70
611,0,69
612,0,68
613,1,68
614,2,68
615,3,68
616,4,68
617,5,68
618,5,69
619,5,70
620,5,71
621,5,72
622,6,72
623,7,72
624,8,72
625,9,72
626,9,73
627,9,74
628,9,75
629,8,75
630,7,75
631,6,75
632,5,75
633,5,76
634,5,77
635,4,77
636,4,76
637,4,75
638,4,74
639,5,74
