step,row,col
0,0,0
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,1,6
8,2,6
9,2,5
10,2,4
11,2,3
12,3,3
13,4,3
14,3,3
15,2,3
16,2,2
17,2,1
18,2,0
19,2,1
20,2,2
21,2,3
22,3,3
23,4,3
24,4,2
25,4,1
26,4,0
27,4,1
28,4,2
29,4,3
30,4,4
31,4,5
32,4,6
33,5,6
34,6,6
35,7,6
36,7,5
37,6,5
38,6,4
39,7,4
40,7,3
41,6,3
42,6,2
43,7,2
44,7,1
45,6,1
46,6,0
47,7,0
48,7,1
49,7,2
50,7,3
51,7,4
52,7,5
53,7,6
54,6,6
55,5,6
56,4,6
57,4,7
58,4,8
59,4,9
60,4,8
61,4,7
62,4,6
63,5,6
64,6,6
65,6,7
66,6,8
67,6,9
68,7,9
69,7,8
70,7,7
71,7,6
72,6,6
73,5,6
74,4,6
75,4,5
76,4,4
77,4,3
78,3,3
79,2,3
80,2,4
81,2,5
82,2,6
83,1,6
84,0,6
85,0,7
86,0,8
87,0,9
88,0,8
89,0,7
90,0,6
91,1,6
92,2,6
93,2,7
94,2,8
95,2,9
