step,row,col
0,0,0
1,0,1
2,0,0
3,0,1
4,0,0
5,0,1
6,0,0
7,0,1
8,0,2
9,0,3
10,0,2
11,0,3
12,0,4
13,0,3
14,0,2
15,0,1
16,0,0
17,0,1
18,0,2
19,0,3
20,0,4
21,0,3
22,0,2
23,0,3
24,0,2
25,0,1
26,0,2
27,0,1
28,0,2
29,0,3
30,0,2
31,0,3
32,0,4
33,0,5
34,0,6
35,1,6
36,2,6
37,2,5
38,2,4
39,2,5
40,2,4
41,2,3
42,3,3
43,2,3
44,2,4
45,2,3
46,2,2
47,2,3
48,3,3
49,2,3
50,3,3
51,2,3
52,3,3
53,2,3
54,3,3
55,2,3
56,2,2
57,2,3
58,3,3
59,2,3
60,3,3
61,2,3
62,3,3
63,4,3
64,4,4
65,4,5
66,4,4
67,4,3
68,4,2
69,4,3
70,3,3
71,4,3
72,4,2
73,4,1
74,4,0
75,4,1
76,4,0
77,4,1
78,4,0
79,4,1
80,4,2
81,4,1
82,4,2
83,4,1
84,4,2
85,4,3
86,4,4
87,4,3
88,4,4
89,4,5
90,4,4
91,4,3
92,4,2
93,4,3
94,4,2
95,4,3
96,3,3
97,4,3
98,4,4
99,4,3
100,4,4
101,4,5
102,4,4
103,4,5
104,4,6
105,4,7
106,4,6
107,4,7
108,4,8
109,4,7
110,4,8
111,4,9
112,4,8
113,4,7
114,4,8
115,4,9
116,4,8
117,4,7
118,4,6
119,5,6
120,4,6
121,4,7
122,4,8
123,4,9
124,4,8
125,4,9
126,4,8
127,4,7
128,4,8
129,4,9
130,4,8
131,4,7
132,4,8
133,4,9
134,4,8
135,4,7
136,4,6
137,4,7
138,4,8
139,4,9
140,4,8
141,4,9
142,4,8
143,4,9
144,4,8
145,4,9
146,4,8
147,4,7
148,4,8
149,4,7
150,4,6
151,5,6
152,6,6
153,7,6
154,6,6
155,6,7
156,6,6
157,7,6
158,7,5
159,6,5
160,7,5
161,7,6
162,7,7
163,7,8
164,7,9
165,7,8
166,6,8
167,6,9
168,6,8
169,6,7
170,6,6
171,7,6
172,7,5
173,6,5
174,7,5
175,7,4
176,7,5
177,6,5
178,7,5
179,7,6
180,7,5
181,7,4
182,6,4
183,6,3
184,7,3
185,6,3
186,6,4
187,6,3
188,7,3
189,6,3
190,6,2
191,6,1
192,7,1
193,6,1
194,6,0
195,6,1
196,7,1
197,7,0
198,6,0
199,7,0
200,6,0
201,6,1
202,6,0
203,6,1
204,7,1
205,6,1
206,7,1
207,7,0
208,6,0
209,7,0
210,6,0
211,7,0
212,6,0
213,7,0
214,7,1
215,6,1
216,6,2
217,7,2
218,7,3
219,7,4
220,7,3
221,6,3
222,7,3
223,7,2
224,7,1
225,7,0
226,7,1
227,6,1
228,7,1
229,6,1
230,7,1
231,6,1
232,7,1
233,7,0
234,6,0
235,6,1
236,6,0
237,7,0
238,6,0
239,6,1
240,6,2
241,7,2
242,7,3
243,7,2
244,6,2
245,6,1
246,7,1
247,6,1
248,6,0
249,7,0
250,6,0
251,6,1
252,6,0
253,6,1
254,7,1
255,7,0
256,7,1
257,7,2
258,7,1
259,7,0
260,6,0
261,7,0
262,7,1
263,7,2
264,7,1
265,7,2
266,7,1
267,6,1
268,7,1
269,7,0
270,7,1
271,6,1
272,7,1
273,7,0
274,6,0
275,7,0
276,7,1
277,7,0
278,6,0
279,6,1
280,6,2
281,6,3
282,6,4
283,7,4
284,6,4
285,6,5
286,6,4
287,6,5
288,6,6
289,6,7
290,7,7
291,7,8
292,6,8
293,6,7
294,6,6
295,6,5
296,6,6
297,7,6
298,7,5
299,7,6
300,6,6
301,5,6
302,6,6
303,5,6
304,4,6
305,4,5
306,4,4
307,4,5
308,4,4
