step,row,col
0,0,0
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,0,6
9,1,6
10,2,6
11,2,7
12,2,6
13,2,5
14,2,4
15,2,3
16,2,2
17,2,3
18,3,3
19,2,3
20,2,2
21,2,1
22,2,0
23,2,1
24,2,2
25,2,3
26,3,3
27,4,3
28,4,2
29,4,1
30,4,0
31,4,1
32,4,2
33,4,3
34,4,4
35,4,5
36,4,6
37,4,7
38,4,6
39,5,6
40,6,6
41,6,7
42,6,6
43,7,6
44,7,7
45,7,6
46,7,5
47,6,5
48,6,4
49,7,4
50,7,3
51,6,3
52,6,2
53,7,2
54,7,1
55,6,1
56,6,0
57,7,0
58,7,1
59,7,2
60,7,3
61,7,4
62,7,5
63,7,6
64,7,7
65,7,8
66,6,8
67,6,9
68,7,9
69,7,8
70,7,7
71,7,6
72,6,6
73,5,6
74,4,6
75,4,7
76,4,8
77,4,9
78,4,8
79,4,7
80,4,6
81,4,5
82,4,4
83,4,3
84,3,3
85,2,3
86,2,4
87,2,5
88,2,6
89,2,7
90,2,8
91,2,9
92,2,8
93,2,7
94,2,6
95,1,6
96,0,6
97,0,7
98,0,8
99,0,9
