step,row,col
0,0,0
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,0,8
9,0,9
10,0,8
11,0,7
12,0,6
13,1,6
14,2,6
15,2,7
16,2,8
17,2,9
18,2,8
19,2,7
20,2,6
21,2,5
22,2,4
23,2,3
24,2,2
25,2,1
26,2,0
27,2,1
28,2,2
29,2,3
30,3,3
31,4,3
32,4,2
33,4,1
34,4,0
35,4,1
36,4,2
37,4,3
38,4,4
39,4,5
40,4,6
41,4,7
42,4,8
43,4,9
44,4,8
45,4,7
46,4,6
47,5,6
48,6,6
49,6,7
50,6,8
51,6,9
52,7,9
53,7,8
54,7,7
55,7,6
56,7,5
57,6,5
58,6,4
59,6,3
60,6,2
61,6,1
62,6,0
63,7,0
64,7,1
65,7,2
66,7,3
67,7,4
68,7,3
69,7,2
70,7,1
71,7,0
72,6,0
73,6,1
74,7,1
75,6,1
76,6,2
77,7,2
78,6,2
79,6,3
80,7,3
81,6,3
82,6,4
83,7,4
84,6,4
85,6,5
86,7,5
87,7,4
88,7,5
89,7,6
90,7,7
91,7,8
92,7,9
93,6,9
94,6,8
95,7,8
96,6,8
97,6,7
98,7,7
99,6,7
100,6,6
101,6,5
102,6,6
103,7,6
104,6,6
105,5,6
106,4,6
107,4,5
108,4,4
109,4,3
110,3,3
111,2,3
112,2,4
113,2,5
114,2,6
115,1,6
116,0,6
117,0,5
118,0,4
119,0,3
120,0,2
121,0,1
122,0,0
