step,row,col
0,0,0
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,0,8
9,0,9
10,1,9
11,1,8
12,1,7
13,1,6
14,1,5
15,1,4
16,1,3
17,1,2
18,1,1
19,1,0
20,2,0
21,2,1
22,2,2
23,2,3
24,2,4
25,2,5
26,2,6
27,2,7
28,2,8
29,2,9
30,3,9
31,3,8
32,3,7
33,3,6
34,3,5
35,4,5
36,4,6
37,4,7
38,4,8
39,4,9
40,5,9
41,5,8
42,5,7
43,5,6
44,5,5
45,5,4
46,5,3
47,5,2
48,5,1
49,5,0
50,6,0
51,6,1
52,6,2
53,6,3
54,6,4
55,6,5
56,6,6
57,6,7
58,6,8
59,6,9
60,7,9
61,7,8
62,7,7
63,7,6
64,7,5
65,7,4
66,7,3
67,7,2
68,7,1
69,7,0
70,6,0
71,5,0
72,4,0
73,3,0
74,3,1
75,3,2
76,4,2
77,4,1
