step,row,col
0,0,0
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,7,1
9,6,1
10,5,1
11,4,1
12,3,1
13,2,1
14,1,1
15,0,1
16,0,2
17,1,2
18,2,2
19,3,2
20,4,2
21,5,2
22,6,2
23,7,2
24,6,2
25,5,2
26,4,2
27,3,2
28,2,2
29,2,3
30,1,3
31,0,3
32,0,4
33,1,4
34,2,4
35,2,5
36,1,5
37,0,5
38,1,5
39,2,5
40,3,5
41,4,5
42,5,5
43,6,5
44,7,5
45,7,6
46,6,6
47,5,6
48,4,6
49,3,6
50,2,6
51,1,6
52,0,6
53,0,7
54,1,7
55,2,7
56,3,7
57,4,7
58,5,7
59,6,7
60,7,7
61,7,8
62,6,8
63,5,8
64,4,8
65,3,8
66,2,8
67,1,8
68,0,8
69,0,9
70,1,9
71,2,9
72,3,9
73,4,9
74,5,9
75,6,9
76,7,9
77,7,8
78,7,7
79,7,6
80,7,5
81,7,4
82,6,4
83,5,4
84,5,3
85,6,3
86,7,3
