step,row,col
0,0,0
1,0,1
2,0,2
3,0,1
4,0,2
5,0,3
6,0,4
7,0,5
8,1,5
9,0,5
10,0,6
11,1,6
12,1,5
13,0,5
14,0,6
15,0,5
16,1,5
17,1,6
18,2,6
19,2,5
20,3,5
21,4,5
22,5,5
23,4,5
24,4,6
25,4,7
26,5,7
27,4,7
28,3,7
29,3,8
30,4,8
31,4,7
32,4,8
33,5,8
34,5,7
35,5,6
36,6,6
37,7,6
38,7,5
39,6,5
40,5,5
41,6,5
42,6,6
43,7,6
44,7,7
45,7,6
46,7,7
47,7,8
48,7,7
49,7,8
50,7,7
51,7,8
52,7,7
53,7,8
54,6,8
55,6,9
56,5,9
57,4,9
58,3,9
59,2,9
60,1,9
61,1,8
62,2,8
63,1,8
64,0,8
65,1,8
66,1,7
67,1,6
68,0,6
69,0,7
70,0,8
71,1,8
72,1,9
73,1,8
74,2,8
75,2,9
76,2,8
77,1,8
78,0,8
79,0,9
80,1,9
81,1,8
82,1,9
83,0,9
84,1,9
85,1,8
86,2,8
87,2,7
88,3,7
89,4,7
90,4,6
91,4,7
92,4,8
93,5,8
94,6,8
95,6,9
96,6,8
97,5,8
98,5,7
99,6,7
100,6,6
101,6,5
102,5,5
103,6,5
104,6,6
105,7,6
106,7,7
107,7,6
108,7,7
109,7,8
110,7,7
111,7,8
112,7,7
113,7,6
114,7,7
115,7,8
116,6,8
117,6,7
118,6,6
119,7,6
120,7,7
121,7,8
122,7,9
123,6,9
124,6,8
125,6,9
126,7,9
127,7,8
128,7,7
129,6,7
130,6,8
131,5,8
132,5,7
133,5,6
134,5,7
135,4,7
136,4,6
137,4,5
138,4,6
139,4,7
140,5,7
141,4,7
142,3,7
143,4,7
144,4,8
145,4,9
146,4,8
147,5,8
148,5,7
149,5,8
150,4,8
151,3,8
152,3,9
153,2,9
154,1,9
155,2,9
156,1,9
157,0,9
158,0,8
159,1,8
160,1,7
161,1,6
162,1,7
163,1,8
164,1,9
165,1,8
166,1,7
167,0,7
168,0,8
169,1,8
170,0,8
171,0,9
172,0,8
173,0,9
174,1,9
175,2,9
176,1,9
177,0,9
178,1,9
179,1,8
180,1,9
181,2,9
182,3,9
183,4,9
184,4,8
185,5,8
186,5,9
187,4,9
188,4,8
189,3,8
190,3,9
191,4,9
192,3,9
193,4,9
194,4,8
195,3,8
196,2,8
197,2,7
198,1,7
199,1,8
200,1,9
201,1,8
202,2,8
203,3,8
204,3,7
205,2,7
206,2,8
207,3,8
208,4,8
209,4,9
210,3,9
211,4,9
212,3,9
213,3,8
214,2,8
215,2,9
216,2,8
217,2,9
218,3,9
219,2,9
220,2,8
221,3,8
222,3,7
223,3,8
224,3,7
225,3,8
226,3,9
227,3,8
228,3,9
229,2,9
230,1,9
231,0,9
232,1,9
233,1,8
234,1,9
235,2,9
236,1,9
237,0,9
238,1,9
239,1,8
240,1,9
241,1,8
242,0,8
243,1,8
244,1,9
245,1,8
246,0,8
247,0,9
248,0,8
249,1,8
250,0,8
251,0,9
252,1,9
253,2,9
254,2,8
255,2,7
256,2,6
257,3,6
258,4,6
259,4,5
260,5,5
261,4,5
262,5,5
263,6,5
264,6,6
265,7,6
266,7,7
267,7,8
268,7,7
269,7,6
270,6,6
271,5,6
272,4,6
273,4,5
274,3,5
275,4,5
276,4,6
277,4,5
278,4,6
279,3,6
280,4,6
281,5,6
282,5,7
283,5,8
284,4,8
285,4,9
286,4,8
287,4,9
288,4,8
289,5,8
290,5,7
291,5,6
292,6,6
293,6,5
294,6,4
295,6,3
296,6,2
297,6,1
298,5,1
299,4,1
300,5,1
301,5,0
302,4,0
303,5,0
304,5,1
305,4,1
306,4,0
307,4,1
308,5,1
