step,row,col
0,0,0
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,0,8
9,0,9
10,1,9
11,1,8
12,1,7
13,1,6
14,1,5
15,1,4
16,1,3
17,1,2
18,1,1
19,1,0
20,2,0
21,2,1
22,2,2
23,2,3
24,2,4
25,2,5
26,2,6
27,2,7
28,2,8
29,2,9
30,3,9
31,3,8
32,3,7
33,3,6
34,3,5
35,4,5
36,4,6
37,4,7
38,4,8
39,4,9
40,5,9
41,5,8
42,5,7
43,5,6
44,5,5
45,5,4
46,5,3
47,5,2
48,5,1
49,5,0
50,4,0
51,3,0
52,3,1
53,3,2
54,4,2
55,4,1
56,4,2
57,3,2
58,3,1
59,4,1
60,3,1
61,3,0
62,4,0
63,4,1
64,4,0
65,5,0
66,6,0
67,6,1
68,6,2
69,6,3
70,6,4
71,6,5
72,6,6
73,6,7
74,6,8
75,6,9
76,7,9
77,7,8
78,7,7
79,7,6
80,7,5
81,7,4
82,7,3
83,7,2
84,7,1
85,7,0
86,7,1
87,7,2
88,7,3
89,7,4
90,7,5
91,7,6
92,7,7
93,7,8
94,7,9
95,6,9
96,6,8
97,7,8
98,6,8
99,6,7
100,7,7
101,6,7
102,6,6
103,7,6
104,6,6
105,6,5
106,7,5
107,6,5
108,6,4
109,7,4
110,6,4
111,6,3
112,7,3
113,6,3
114,6,2
115,7,2
116,6,2
117,6,1
118,7,1
119,6,1
120,6,0
121,7,0
122,6,0
123,5,0
124,5,1
125,4,1
126,5,1
127,6,1
128,5,1
129,5,2
130,4,2
131,5,2
132,6,2
133,5,2
134,5,3
135,6,3
136,5,3
137,5,4
138,6,4
139,5,4
140,5,5
141,6,5
142,5,5
143,5,6
144,6,6
145,5,6
146,5,7
147,6,7
148,5,7
149,5,8
150,6,8
151,5,8
152,5,9
153,6,9
154,5,9
155,4,9
156,4,8
157,5,8
158,4,8
159,4,7
160,5,7
161,4,7
162,4,6
163,5,6
164,4,6
165,4,5
166,5,5
167,4,5
168,3,5
169,3,6
170,4,6
171,3,6
172,3,7
173,4,7
174,3,7
175,3,8
176,4,8
177,3,8
178,3,9
179,4,9
180,3,9
181,2,9
182,2,8
183,3,8
184,2,8
185,2,7
186,3,7
187,2,7
188,2,6
189,3,6
190,2,6
191,2,5
192,3,5
193,2,5
194,2,4
195,2,3
196,2,2
197,3,2
198,2,2
199,2,1
200,3,1
201,2,1
202,2,0
203,3,0
204,2,0
205,1,0
206,1,1
207,2,1
208,1,1
209,1,2
210,2,2
211,1,2
212,1,3
213,2,3
214,1,3
215,1,4
216,2,4
217,1,4
218,1,5
219,2,5
220,1,5
221,1,6
222,2,6
223,1,6
224,1,7
225,2,7
226,1,7
227,1,8
228,2,8
229,1,8
230,1,9
231,2,9
232,1,9
233,0,9
234,0,8
235,1,8
236,0,8
237,0,7
238,1,7
239,0,7
240,0,6
241,1,6
242,0,6
243,0,5
244,1,5
245,0,5
246,0,4
247,1,4
248,0,4
249,0,3
250,1,3
251,0,3
252,0,2
253,1,2
254,0,2
255,0,1
256,1,1
257,0,1
258,0,0
259,1,0
260,0,0
