step,row,col
0,0,0
1,0,1
2,0,2
3,0,3
4,0,2
5,0,3
6,0,2
7,0,3
8,0,4
9,0,5
10,0,6
11,0,7
12,0,6
13,0,5
14,0,6
15,0,7
16,0,6
17,0,5
18,0,6
19,0,5
20,0,4
21,0,5
22,0,6
23,0,5
24,0,4
25,0,5
26,0,6
27,0,5
28,0,4
29,0,5
30,0,6
31,0,5
32,0,6
33,0,5
34,0,4
35,0,5
36,0,4
37,0,3
38,0,2
39,0,1
40,0,0
41,0,1
42,0,2
43,0,1
44,0,0
45,0,1
46,0,0
47,0,1
48,0,0
49,0,1
50,0,2
51,0,1
52,0,2
53,0,3
54,0,2
55,0,3
56,0,4
57,0,5
58,0,6
59,0,5
60,0,4
61,0,5
62,0,6
63,0,7
64,0,6
65,0,7
66,0,6
67,0,5
68,0,4
69,0,3
70,0,4
71,0,5
72,0,6
73,0,5
74,0,6
75,0,5
76,0,4
77,0,5
78,0,6
79,0,5
80,0,6
81,0,7
82,0,8
83,0,7
84,0,8
85,0,7
86,0,6
87,0,5
88,0,4
89,0,5
90,0,6
91,0,5
92,0,4
93,0,3
94,0,2
95,0,3
96,0,2
97,0,3
98,0,2
99,0,3
100,0,4
101,0,5
102,0,6
103,0,5
104,0,6
105,0,5
106,0,6
107,0,5
108,0,6
109,0,7
110,0,8
111,0,7
112,0,6
113,0,7
114,0,8
115,0,9
116,1,9
117,0,9
118,0,8
119,0,9
120,0,8
121,0,7
122,0,6
123,0,7
124,0,8
125,0,9
126,0,8
127,0,9
128,0,8
129,0,9
130,1,9
131,0,9
132,0,8
133,0,9
134,0,8
135,0,9
136,0,8
137,0,9
138,1,9
139,0,9
140,1,9
141,0,9
142,1,9
143,0,9
144,1,9
145,0,9
146,1,9
147,2,9
148,1,9
149,0,9
150,0,8
151,0,7
152,0,6
153,0,7
154,0,6
155,0,5
156,0,6
157,0,7
158,0,8
159,0,9
160,0,8
161,0,7
162,0,8
163,0,7
164,0,8
165,0,9
166,1,9
167,2,9
168,2,8
169,2,9
170,2,8
171,2,9
172,1,9
173,2,9
174,2,8
175,2,9
176,1,9
177,0,9
178,1,9
179,2,9
180,1,9
181,0,9
182,0,8
183,0,9
184,1,9
185,0,9
186,0,8
187,0,9
188,1,9
189,2,9
190,1,9
191,0,9
192,1,9
193,2,9
194,2,8
195,2,9
196,1,9
197,0,9
198,0,8
199,0,7
200,0,6
201,0,7
202,0,8
203,0,7
204,0,8
205,0,9
206,1,9
207,0,9
208,0,8
209,0,9
210,0,8
211,0,9
212,1,9
213,0,9
214,1,9
215,2,9
216,2,8
217,2,9
218,2,8
219,2,7
220,2,8
221,2,7
222,2,8
223,2,7
224,2,8
225,2,7
226,2,6
227,2,5
228,2,6
229,2,5
230,2,4
231,2,5
232,2,4
233,2,3
234,2,4
235,2,5
236,2,6
237,2,7
238,2,8
239,2,7
240,2,6
241,2,7
242,2,6
243,2,7
244,2,6
245,2,5
246,2,4
247,2,5
248,2,4
249,2,5
250,2,6
251,2,7
252,2,8
253,2,9
254,1,9
255,0,9
256,1,9
257,2,9
258,1,9
259,2,9
260,1,9
261,0,9
262,1,9
263,2,9
264,1,9
265,2,9
266,1,9
267,0,9
268,0,8
269,0,9
270,1,9
271,2,9
272,1,9
273,2,9
274,1,9
275,0,9
276,0,8
277,0,9
278,1,9
279,2,9
280,1,9
281,0,9
282,1,9
283,2,9
284,2,8
285,2,9
286,1,9
287,2,9
288,1,9
289,0,9
290,0,8
291,0,9
292,1,9
293,2,9
294,1,9
295,2,9
296,2,8
297,2,7
298,2,6
299,2,5
300,2,6
301,2,5
302,2,6
303,2,5
304,2,6
305,2,7
306,2,8
307,2,9
308,1,9
