step,row,col
0,0,0
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,0,8
9,0,9
10,0,10
11,0,11
12,0,12
13,0,13
14,0,14
15,0,15
16,0,16
17,0,17
18,0,18
19,0,19
20,0,20
21,0,21
22,0,22
23,0,23
24,0,24
25,0,25
26,0,26
27,0,27
28,0,28
29,0,29
30,0,30
31,0,31
32,0,32
33,0,33
34,0,34
35,0,35
36,0,36
37,0,37
38,0,38
39,0,39
40,0,40
41,0,41
42,0,42
43,0,43
44,0,44
45,0,45
46,0,46
47,0,47
48,0,48
49,0,49
50,0,50
51,0,51
52,0,52
53,0,53
54,0,54
55,0,55
56,0,56
57,0,57
58,0,58
59,0,59
60,0,60
61,0,61
62,0,62
63,0,63
64,0,64
65,0,65
66,0,66
67,0,67
68,0,68
69,0,69
70,0,70
71,0,71
72,0,72
73,0,73
74,0,74
75,0,75
76,1,75
77,1,74
78,1,73
79,1,72
80,1,71
81,1,70
82,1,69
83,1,68
84,1,67
85,1,66
86,1,65
87,1,64
88,1,63
89,1,62
90,1,61
91,1,60
92,1,59
93,1,58
94,1,57
95,1,56
96,1,55
97,1,54
98,1,53
99,1,52
100,1,51
101,1,50
102,1,49
103,1,48
104,1,47
105,1,46
106,1,45
107,1,44
108,1,43
109,1,42
110,1,41
111,1,40
112,1,39
113,1,38
114,1,37
115,1,36
116,1,35
117,1,34
118,1,33
119,1,32
120,1,31
121,1,30
122,1,29
123,1,28
124,1,27
125,1,26
126,1,25
127,1,24
128,1,23
129,1,22
130,1,21
131,1,20
132,1,19
133,1,18
134,1,17
135,1,16
136,1,15
137,1,14
138,1,13
139,1,12
140,1,11
141,1,10
142,1,9
143,1,8
144,1,7
145,1,6
146,1,5
147,1,4
148,1,3
149,1,2
150,1,1
151,1,0
152,2,0
153,2,1
154,2,2
155,2,3
156,3,3
157,3,2
158,3,1
159,3,0
160,4,0
161,4,1
162,4,2
163,4,3
164,4,4
165,4,5
166,4,6
167,4,7
168,5,7
169,5,6
170,5,5
171,5,4
172,5,3
173,5,2
174,5,1
175,5,0
176,6,0
177,6,1
178,6,2
179,6,3
180,6,4
181,6,5
182,6,6
183,6,7
184,6,8
185,6,9
186,6,10
187,6,11
188,6,12
189,6,13
190,6,14
191,6,15
192,6,16
193,6,17
194,6,18
195,6,19
196,6,20
197,6,21
198,6,22
199,6,23
200,6,24
201,6,25
202,6,26
203,6,27
204,7,27
205,7,26
206,7,25
207,7,24
208,7,23
209,7,22
210,7,21
211,7,20
212,7,19
213,7,18
214,7,17
215,7,16
216,7,15
217,7,14
218,7,13
219,7,12
220,7,11
221,7,10
222,7,9
223,7,8
224,7,7
225,7,6
226,7,5
227,7,4
228,7,3
229,7,2
230,7,1
231,7,0
232,8,0
233,8,1
234,8,2
235,8,3
236,8,4
237,8,5
238,8,6
239,8,7
240,8,8
241,8,9
242,8,10
243,8,11
244,8,12
245,8,13
246,8,14
247,8,15
248,8,16
249,8,17
250,8,18
251,8,19
252,8,20
253,8,21
254,8,22
255,8,23
256,8,24
257,8,25
258,8,26
259,8,27
260,8,28
261,8,29
262,8,30
263,8,31
264,8,32
265,8,33
266,9,33
267,9,32
268,9,31
269,9,30
270,9,29
271,9,28
272,9,27
273,9,26
274,9,25
275,9,24
276,9,23
277,9,22
278,9,21
279,9,20
280,9,19
281,9,18
282,9,17
283,9,16
284,9,15
285,9,14
286,9,13
287,9,12
288,9,11
289,9,10
290,9,9
291,9,8
292,9,7
293,9,6
294,9,5
295,9,4
296,9,3
297,9,2
298,9,1
299,9,0
300,10,0
301,10,1
302,10,2
303,10,3
304,10,4
305,10,5
306,10,6
307,10,7
308,10,8
