step,row,col
0,0,0
1,0,1
2,0,2
3,0,1
4,1,1
5,1,2
6,1,1
7,1,2
8,1,3
9,0,3
10,0,4
11,1,4
12,0,4
13,0,5
14,1,5
15,1,4
16,1,3
17,1,4
18,1,3
19,1,2
20,1,3
21,1,2
22,2,2
23,1,2
24,1,3
25,2,3
26,1,3
27,1,4
28,1,3
29,0,3
30,0,2
31,0,3
32,0,4
33,1,4
34,1,5
35,0,5
36,1,5
37,1,4
38,1,3
39,1,2
40,0,2
41,1,2
42,2,2
43,1,2
44,2,2
45,1,2
46,1,3
47,2,3
48,3,3
49,2,3
50,2,2
51,3,2
52,3,3
53,3,2
54,3,1
55,3,0
56,2,0
57,2,1
58,3,1
59,3,0
60,4,0
61,5,0
62,6,0
63,7,0
64,7,1
65,6,1
66,5,1
67,6,1
68,6,0
69,7,0
70,6,0
71,7,0
72,8,0
73,9,0
74,10,0
75,9,0
76,9,1
77,9,0
78,10,0
79,10,1
80,11,1
81,12,1
82,12,0
83,13,0
84,12,0
85,12,1
86,13,1
87,14,1
88,13,1
89,12,1
90,12,2
91,13,2
92,13,1
93,12,1
94,12,0
95,12,1
96,12,0
97,12,1
98,12,0
99,11,0
100,12,0
101,12,1
102,12,0
103,12,1
104,13,1
105,13,2
106,12,2
107,11,2
108,11,3
109,12,3
110,12,2
111,12,1
112,12,2
113,11,2
114,11,3
115,12,3
116,13,3
117,12,3
118,13,3
119,12,3
120,12,4
121,13,4
122,13,3
123,13,4
124,13,3
125,12,3
126,12,2
127,13,2
128,12,2
129,13,2
130,13,1
131,12,1
132,12,2
133,11,2
134,12,2
135,12,1
136,12,2
137,12,3
138,12,2
139,12,1
140,12,2
141,12,3
142,13,3
143,14,3
144,14,4
145,15,4
146,14,4
147,14,3
148,13,3
149,14,3
150,14,2
151,15,2
152,15,1
153,14,1
154,15,1
155,15,0
156,14,0
157,15,0
158,14,0
159,13,0
160,14,0
161,15,0
162,14,0
163,14,1
164,14,2
165,14,1
166,13,1
167,13,2
168,13,3
169,13,2
170,13,3
171,13,4
172,12,4
173,12,5
174,13,5
175,13,6
176,14,6
177,14,5
178,14,6
179,15,6
180,16,6
181,16,7
182,16,6
183,17,6
184,17,7
185,16,7
186,15,7
187,15,8
188,16,8
189,16,7
190,15,7
191,15,8
192,14,8
193,15,8
194,15,7
195,16,7
196,17,7
197,17,6
198,17,7
199,16,7
200,16,6
201,16,7
202,16,6
203,16,7
204,17,7
205,17,8
206,17,9
207,17,10
208,18,10
209,19,10
210,19,9
211,19,10
212,18,10
213,19,10
214,20,10
215,19,10
216,19,11
217,18,11
218,18,10
219,18,9
220,18,8
221,18,9
222,18,10
223,18,11
224,17,11
225,17,10
226,18,10
227,19,10
228,18,10
229,18,11
230,19,11
231,18,11
232,18,12
233,17,12
234,18,12
235,19,12
236,20,12
237,20,11
238,20,10
239,21,10
240,21,11
241,21,10
242,22,10
243,23,10
244,23,11
245,23,12
246,23,11
247,23,12
248,22,12
249,22,11
250,22,12
251,22,11
252,22,12
253,23,12
254,23,11
255,23,12
256,22,12
257,22,13
258,21,13
259,22,13
260,22,12
261,21,12
262,20,12
263,20,13
264,19,13
265,18,13
266,19,13
267,18,13
268,19,13
269,20,13
270,20,12
271,20,11
272,20,10
273,19,10
274,18,10
275,19,10
276,18,10
277,18,9
278,18,10
279,17,10
280,17,9
281,17,10
282,17,11
283,16,11
284,16,12
285,16,11
286,16,12
287,16,11
288,15,11
289,16,11
290,16,10
291,16,9
292,16,8
293,15,8
294,15,7
295,15,6
296,15,5
297,15,6
298,15,7
299,16,7
300,15,7
301,15,6
302,16,6
303,16,7
304,15,7
305,15,8
306,14,8
307,13,8
308,13,7
